"HASTP Whether has Asthma","Has asthma","Does not have asthma","Not stated","Total",
"SA2 (UR)",
"Braidwood",363,3532,454,4343,
"Karabar",868,6898,749,8517,
"Queanbeyan",995,9503,851,11342,
"Queanbeyan - East",470,4264,351,5085,
"Queanbeyan West - Jerrabomberra",1095,10891,754,12744,
"Googong",533,5361,332,6224,
"Queanbeyan Surrounds",1455,13742,1342,16539,
"Bombala",158,2014,273,2454,
"Cooma",568,5479,705,6761,
"Cooma Surrounds",291,2765,415,3472,
"Jindabyne - Berridale",649,6569,821,8035,
"Batemans Bay",783,6952,850,8581,
"Batemans Bay - South",850,7195,894,8938,
"Bega - Tathra",850,7149,868,8872,
"Bega-Eden Hinterland",824,7830,904,9557,
"Broulee - Tomakin",317,3184,291,3792,
"Deua - Wadbilliga",0,36,5,43,
"Eden",302,2724,399,3425,
"Eurobodalla Hinterland",249,2845,434,3525,
"Merimbula - Tura Beach",975,9658,883,11513,
"Moruya - Tuross Head",777,6920,896,8600,
"Narooma - Bermagui",841,8093,948,9888,
"Goulburn",2608,19400,2557,24565,
"Goulburn Surrounds",1212,11165,1464,13839,
"Yass",744,5491,523,6763,
"Yass Surrounds",1117,10538,1054,12713,
"Young",1196,8770,1043,11004,
"Young Surrounds",791,5999,889,7677,
"Avoca Beach - Copacabana",535,6508,476,7513,
"Box Head - MacMasters Beach",926,9388,732,11042,
"Calga - Kulnura",384,3829,510,4716,
"Erina - Green Point",1291,12549,916,14758,
"Gosford - Springfield",2020,17505,1680,21204,
"Kariong",630,5425,425,6485,
"Kincumber - Picketts Valley",694,6340,577,7615,
"Narara",760,6014,383,7157,
"Niagara Park - Lisarow",815,6947,446,8205,
"Point Clare - Koolewong",595,5572,398,6571,
"Saratoga - Davistown",612,6052,487,7160,
"Terrigal - North Avoca",1080,12720,1051,14849,
"Umina - Booker Bay - Patonga",2349,20224,2124,24697,
"Wamberal - Forresters Beach",830,9131,712,10675,
"Woy Woy - Blackwall",1415,11758,1171,14346,
"Wyoming",1269,9278,875,11423,
"Bateau Bay - Killarney Vale",2155,18604,2071,22825,
"Blue Haven - San Remo",1376,8974,942,11290,
"Budgewoi - Buff Point - Halekulani",1006,7850,880,9728,
"Chittaway Bay - Tumbi Umbi",1526,13337,1142,16006,
"Gorokan - Kanwal - Charmhaven",2479,17632,2252,22362,
"Jilliby - Yarramalong",250,2903,265,3420,
"Lake Munmorah - Mannering Park",1147,8906,901,10960,
"Ourimbah - Fountaindale",525,4072,329,4928,
"Summerland Point - Gwandalan",647,5320,529,6492,
"The Entrance",1550,12780,1508,15839,
"Toukley - Norah Head",973,8048,888,9909,
"Tuggerah - Kangy Angy",513,4374,340,5229,
"Warnervale - Wadalba",1954,16625,1477,20051,
"Wyong",966,7179,977,9120,
"Bathurst - East",1458,9925,949,12330,
"Bathurst Surrounds",627,5456,828,6909,
"Oberon",432,3618,790,4834,
"Bathurst - South",1160,8025,1569,10752,
"Bathurst - West",1670,11558,1085,14313,
"Condobolin",692,4766,920,6372,
"Cowra",942,7436,896,9273,
"Cowra Surrounds",552,4450,721,5716,
"Forbes",927,7922,1173,10020,
"Grenfell",398,2871,326,3597,
"Parkes (NSW)",1200,8665,1056,10919,
"Parkes Surrounds",337,2494,433,3262,
"West Wyalong",482,4390,656,5525,
"Lithgow",1281,9660,1448,12385,
"Lithgow Surrounds",742,6828,875,8448,
"Mudgee",1185,10253,1126,12563,
"Mudgee Surrounds - East",316,2666,416,3398,
"Mudgee Surrounds - West",1026,8769,1280,11072,
"Wollangambe - Wollemi",0,0,0,0,
"Blayney",783,6027,710,7517,
"Orange",1907,15328,1784,19023,
"Orange - North",2289,18807,1793,22895,
"Orange Surrounds",1036,9685,1107,11830,
"Grafton",2120,15313,1820,19255,
"Grafton Surrounds",1403,12759,2717,16875,
"Maclean - Yamba - Iluka",1555,14479,1501,17533,
"Bellingen",454,5065,646,6168,
"Coffs Harbour - North",1631,14831,1633,18099,
"Coffs Harbour - South",945,9090,1270,11305,
"Coramba - Nana Glen - Bucca",299,3285,366,3950,
"Dorrigo",242,2597,417,3250,
"Korora - Emerald Beach",793,8740,725,10262,
"Sawtell - Boambee",1880,16503,1678,20066,
"Urunga",352,4094,465,4907,
"Woolgoolga - Arrawarra",1119,12173,1172,14463,
"Bourke - Brewarrina",285,2452,683,3428,
"Cobar",369,3060,695,4129,
"Coonamble",469,2805,654,3926,
"Nyngan - Warren",441,3575,575,4591,
"Walgett - Lightning Ridge",397,3592,1541,5534,
"Broken Hill",2118,13355,2120,17588,
"Far West",181,1646,463,2288,
"Coonabarabran",772,5839,1308,7921,
"Dubbo - East",1238,8097,1294,10633,
"Dubbo - South",1963,15583,2087,19628,
"Dubbo - West",1108,7973,1237,10317,
"Dubbo Surrounds",569,4682,710,5963,
"Gilgandra",414,3360,622,4398,
"Narromine",622,4780,1064,6458,
"Wellington",739,6155,1872,8769,
"Branxton - Greta - Pokolbin",1211,10689,866,12770,
"Cessnock",2633,17452,3408,23495,
"Cessnock Surrounds",932,7463,743,9145,
"Dungog",1002,7883,654,9541,
"Kurri Kurri - Abermain",2426,16468,1744,20631,
"Singleton",1587,13891,1536,17018,
"Singleton Surrounds",484,4274,574,5332,
"Maitland",941,7098,578,8611,
"Maitland - North",848,7283,605,8727,
"East Maitland - Metford",2000,14601,1381,17981,
"Rutherford (North) - Aberglasslyn",1927,14467,1336,17730,
"Rutherford (South) - Telarah",1008,6220,750,7976,
"Tenambit - East Maitland",1111,8316,665,10091,
"Thornton - Millers Forest",1696,13257,945,15899,
"Anna Bay",519,5378,551,6449,
"Lemon Tree Passage - Tanilba Bay",737,5598,554,6887,
"Nelson Bay Peninsula",1821,18446,1702,21972,
"Raymond Terrace",1701,11502,1388,14588,
"Seaham - Woodville",519,4728,445,5693,
"Tea Gardens - Hawks Nest",499,4734,575,5804,
"Williamtown - Medowie - Karuah",1566,12364,1092,15020,
"Muswellbrook",1391,9483,1396,12272,
"Muswellbrook Surrounds",377,3295,412,4083,
"Scone",558,4963,515,6035,
"Scone Surrounds",850,6549,793,8194,
"Dapto - Avondale",2491,20059,1642,24195,
"Horsley - Kembla Grange",1177,10271,710,12155,
"Port Kembla Industrial",0,6,0,5,
"Unanderra - Mount Kembla",1355,13019,911,15280,
"Berkeley - Lake Heights - Cringila",1280,11701,1216,14200,
"Port Kembla - Warrawong",841,8019,874,9740,
"Windang - Primbee",363,3508,367,4239,
"Illawarra Catchment Reserve",0,9,0,9,
"Albion Park - Macquarie Pass",1750,15984,1300,19026,
"Albion Park Rail",765,5588,564,6920,
"Kiama",703,7469,602,8786,
"Kiama Downs - Minnamurra",507,5164,387,6063,
"Kiama Hinterland - Gerringong",660,6852,622,8136,
"Shellharbour - Flinders",1512,16409,1415,19341,
"Shellharbour - Oak Flats",959,8776,854,10590,
"Warilla",1996,16416,1994,20397,
"Balgownie - Fairy Meadow",1717,18228,1574,21519,
"Corrimal - Tarrawanna - Bellambi",1468,13429,1145,16041,
"Figtree - Keiraville",1784,19392,1587,22773,
"Helensburgh",804,7810,516,9135,
"Thirroul - Austinmer - Coalcliff",854,10361,738,11957,
"Woonona - Bulli - Russell Vale",1812,17701,1245,20761,
"Wollongong - East",1243,13650,1126,16020,
"Wollongong - West",1306,13953,1291,16551,
"Bulahdelah - Stroud",433,4204,601,5235,
"Forster",1387,12053,1271,14709,
"Forster-Tuncurry Surrounds",609,5645,737,6988,
"Tuncurry",669,5247,459,6376,
"Kempsey",1712,11438,2502,15654,
"Kempsey Surrounds",850,7557,1064,9472,
"Macksville - Scotts Head",498,4209,479,5189,
"Nambucca Heads",701,5641,770,7111,
"Nambucca Heads Surrounds",715,6473,914,8102,
"South West Rocks",482,4670,476,5628,
"Lord Howe Island",23,384,39,445,
"Laurieton - Bonny Hills",1734,15547,1198,18484,
"Port Macquarie - West",2253,17146,1750,21147,
"Port Macquarie Surrounds",392,4369,533,5301,
"Wauchope",1358,10378,1059,12796,
"Port Macquarie - East",1080,9839,839,11764,
"Port Macquarie - South",1536,14712,1035,17284,
"Gloucester",479,4375,450,5310,
"Old Bar - Manning Point - Red Head",1232,10216,1037,12476,
"Taree",2512,16326,2283,21123,
"Taree Surrounds",1283,10605,1149,13044,
"Wingham",605,4286,498,5395,
"Albury - East",1746,14933,1151,17831,
"Albury - North",1136,8332,1061,10527,
"Albury - South",1033,8594,900,10519,
"Albury Surrounds",1240,9981,1291,12507,
"Lavington",1672,12548,1447,15665,
"Hay",320,2160,415,2897,
"Wentworth - Buronga",606,5052,855,6511,
"Wentworth-Balranald Region",291,2719,642,3648,
"Corowa",589,4529,477,5595,
"Corowa Surrounds",736,5703,824,7262,
"Deniliquin",734,5497,807,7038,
"Deniliquin Surrounds",623,5452,768,6837,
"Moama",616,5757,567,6930,
"Tocumwal - Finley - Jerilderie",1056,7499,1223,9778,
"Armidale",2257,18863,2846,23967,
"Armidale Surrounds - North",408,3445,683,4527,
"Armidale Surrounds - South",612,4794,479,5894,
"Walcha",275,2494,374,3144,
"Glen Innes",869,6832,1228,8931,
"Inverell",1202,9464,1399,12057,
"Inverell Surrounds - East",469,4049,688,5200,
"Inverell Surrounds - West",537,4525,668,5734,
"Tenterfield",630,5406,780,6810,
"Moree",699,5513,1633,7845,
"Moree Surrounds",383,3498,1470,5356,
"Narrabri",739,5441,726,6898,
"Narrabri Surrounds",475,3376,770,4616,
"Gunnedah",959,7548,1240,9745,
"Gunnedah Surrounds",449,3363,560,4369,
"Quirindi",738,5749,1066,7551,
"Tamworth - East",2515,16781,2056,21360,
"Tamworth - North",1740,13169,1605,16517,
"Tamworth - West",704,4301,988,5998,
"Tamworth Surrounds",2101,15246,1689,19038,
"Belmont - Bennetts Green",1824,14813,1225,17864,
"Belmont South - Blacksmiths",570,4653,453,5680,
"Charlestown - Dudley",2382,21247,1624,25254,
"Glendale - Cardiff - Hillsborough",2522,20611,1455,24588,
"Mount Hutton - Windale",1252,7299,958,9504,
"Redhead",319,3172,293,3785,
"Swansea - Caves Beach",1210,10506,846,12559,
"Valentine - Eleebana",1150,10741,675,12568,
"Warners Bay - Boolaroo",1465,12294,926,14694,
"Bolton Point - Teralba",1102,8009,1025,10135,
"Bonnells Bay - Silverwater",1047,7963,680,9691,
"Edgeworth - Cameron Park",1741,13563,1072,16375,
"Morisset - Cooranbong",1803,15027,1299,18129,
"Toronto - Awaba",1496,11400,1065,13961,
"Wangi Wangi - Rathmines",927,7801,740,9467,
"West Wallsend - Barnsley - Killingworth",813,5961,476,7254,
"Adamstown - Kotara",1454,14179,968,16600,
"Beresfield - Hexham",1028,6837,690,8561,
"Hamilton - Broadmeadow",1215,10370,1185,12772,
"Lambton - New Lambton",1618,14580,1150,17343,
"Maryland - Fletcher - Minmi",1698,13815,919,16429,
"Mayfield - Warabrook",1630,12766,1132,15526,
"Merewether - The Junction",1161,12414,925,14506,
"Newcastle - Cooks Hill",1087,10738,984,12805,
"Newcastle Port - Kooragang",4,22,5,31,
"Shortland - Jesmond",1254,9665,1674,12593,
"Stockton - Fullerton Cove",777,7292,759,8824,
"Wallsend - Elermore Vale",2212,17285,1461,20958,
"Waratah - North Lambton",1237,10527,1120,12883,
"Wickham - Carrington - Tighes Hill",861,7711,599,9171,
"Ballina",1515,15491,1625,18629,
"Ballina Surrounds",1576,15377,1373,18327,
"Bangalow",441,5592,927,6958,
"Brunswick Heads - Ocean Shores",598,7517,1051,9170,
"Byron Bay",635,9041,1238,10914,
"Evans Head",533,4457,655,5643,
"Lennox Head - Skennars Head",658,7824,752,9236,
"Mullumbimby",489,7020,1383,8896,
"Casino",1371,9529,1392,12298,
"Casino Surrounds",679,5636,1072,7381,
"Goonellabah",1623,10854,1119,13591,
"Kyogle",693,6018,900,7611,
"Lismore",1642,11953,1638,15229,
"Lismore Surrounds",1147,12808,1829,15786,
"Kingscliff - Fingal Head",1213,12396,1203,14818,
"Murwillumbah",916,7590,1002,9501,
"Murwillumbah Surrounds",731,8245,1374,10352,
"Pottsville",994,11702,1389,14086,
"Tweed Heads",1577,16867,2122,20563,
"Banora Point",1440,13662,1223,16320,
"Terranora - North Tumbulgum",254,2802,264,3324,
"Tweed Heads South",891,6831,704,8423,
"Griffith (NSW)",1819,16743,2008,20569,
"Griffith Surrounds",1405,9450,1904,12760,
"Leeton",1187,8096,1055,10330,
"Narrandera",668,4460,774,5905,
"Tumbarumba",333,2697,485,3522,
"Tumut",764,5233,664,6667,
"Tumut Surrounds",455,3743,547,4744,
"Cootamundra",841,6155,711,7705,
"Gundagai",329,2895,493,3715,
"Junee",667,4349,1336,6351,
"Temora",757,5313,535,6603,
"Wagga Wagga - East",1925,13821,1178,16921,
"Wagga Wagga - North",570,4523,505,5605,
"Wagga Wagga - South",2617,18119,1786,22522,
"Wagga Wagga - West",1399,9382,1185,11962,
"Wagga Wagga Surrounds",1853,14161,1772,17788,
"Berry - Kangaroo Valley",719,8035,732,9489,
"Callala Bay - Currarong",317,3047,285,3642,
"Culburra Beach",444,4300,357,5105,
"Ettrema - Sassafras - Budawang",4,55,8,62,
"Huskisson - Vincentia",354,4104,390,4844,
"North Nowra - Bomaderry",1593,13183,1320,16098,
"Nowra",2247,17277,3063,22584,
"St Georges Basin - Erowal Bay",1532,12361,1368,15259,
"Sussex Inlet - Berrara",407,3795,496,4694,
"Tomerong - Wandandian - Woollamia",295,3039,371,3708,
"Ulladulla",1412,14242,1375,17026,
"Ulladulla Surrounds",441,4846,530,5822,
"Bowral",982,11645,999,13626,
"Hill Top - Colo Vale",620,5354,420,6393,
"Mittagong",889,9294,737,10931,
"Moss Vale - Berrima",962,8735,954,10648,
"Robertson - Fitzroy Falls",322,3174,338,3829,
"Southern Highlands",570,6098,580,7250,
"Baulkham Hills - East",1533,22103,1092,24726,
"Baulkham Hills (West) - Bella Vista",1312,19388,987,21683,
"Glenhaven",435,5598,334,6361,
"West Pennant Hills",834,11327,528,12683,
"Castle Hill - Central",510,6822,337,7677,
"Castle Hill - East",331,4797,545,5670,
"Castle Hill - North",788,10839,568,12189,
"Castle Hill - South",632,9290,491,10419,
"Castle Hill - West",292,4707,182,5183,
"Cherrybrook",1137,17178,768,19082,
"Kellyville - East",1166,15845,694,17709,
"Kellyville - West",577,10241,561,11375,
"Dural - Kenthurst - Wisemans Ferry",1471,19587,1421,22479,
"Galston - Laughtondale",363,4644,419,5436,
"Bilpin - Colo - St Albans",202,2292,349,2846,
"Kurrajong Heights - Ebenezer",1794,18964,1404,22161,
"Pitt Town - McGraths Hill",807,9714,896,11414,
"Box Hill - Nelson",624,9167,492,10287,
"North Kellyville",962,15474,969,17401,
"Rouse Hill - Beaumont Hills",1088,15799,692,17581,
"Blacktown (East) - Kings Park",983,14557,1495,17032,
"Blacktown (North) - Marayong",1437,17511,1630,20584,
"Doonside - Woodcroft",1739,19889,1754,23384,
"Lalor Park - Kings Langley",2117,21315,1934,25373,
"Blacktown - South",895,10765,984,12646,
"Blacktown - West",1141,14570,1431,17141,
"Seven Hills - Prospect",1051,12785,1030,14866,
"Toongabbie - West",727,10058,790,11578,
"Glenwood",1027,14198,610,15829,
"Acacia Gardens",252,3325,93,3668,
