sa2,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over
Ulladulla,1456,1789,952,1197,1700,2048,2167,1740,953,145,3
Ulladulla Region,479,480,247,364,607,876,890,485,183,23,0
Bowral,1288,1532,703,897,1581,1606,1986,1520,834,191,6
Hill Top - Colo Vale,915,897,625,704,908,749,527,258,83,8,0
Mittagong,939,1251,704,764,1048,1162,1060,751,361,61,3
Moss Vale - Berrima,1151,1224,889,940,1208,1149,1190,693,411,75,0
Robertson - Fitzroy Falls,449,406,226,349,490,515,587,270,83,8,0
Southern Highlands,683,728,345,521,880,929,1155,619,242,43,6
Baulkham Hills (East),3302,2498,2297,3623,3176,2330,2255,1216,532,119,3
Baulkham Hills (West) - Bella Vista,2317,3059,2319,2050,2975,2862,1999,763,239,33,0
Castle Hill,3485,3764,3356,3612,3908,3917,3218,1432,681,82,0
Cherrybrook,2510,4064,2683,2094,3912,3664,2292,1261,1401,468,14
Glenhaven,654,895,651,483,880,967,662,377,230,35,0
Kellyville,4028,3913,2553,3423,4000,3019,1821,725,250,24,0
West Pennant Hills,1240,1966,1652,1063,1843,2373,1547,452,250,55,4
Dural - Kenthurst - Wisemans Ferry,2393,3280,2074,1910,3212,2938,2492,1220,597,118,4
Galston - Laughtondale,632,721,506,490,753,765,623,323,233,49,0
Bilpin - Colo - St Albans,302,380,165,298,457,374,410,190,60,9,0
Kurrajong Heights - Ebenezer,2826,3539,2275,2495,3548,3219,2207,905,355,61,0
Pitt Town - McGraths Hill,1257,1324,1095,1136,1375,1227,958,441,169,31,0
Rouse Hill - Beaumont Hills,3435,2911,1760,3031,3106,1969,1333,458,145,13,0
Blacktown (East) - Kings Park,2337,1605,3033,2999,1831,1511,1108,657,401,51,4
Blacktown (North) - Marayong,2381,2279,2521,2513,2050,2120,1536,865,531,78,0
Blacktown (South),4007,3636,3795,4030,3640,3047,2080,1528,752,105,3
Doonside - Woodcroft,2708,3143,2862,2652,2853,2661,1608,667,317,40,0
Lalor Park - Kings Langley,3408,3048,3057,3594,3368,3292,2219,1213,672,102,3
Seven Hills - Toongabbie,3176,2877,3079,3541,3040,2866,2299,1090,486,54,0
Glenwood,2694,2530,1854,2618,2613,1663,918,326,102,14,0
Parklea - Kellyville Ridge,4699,2686,3209,5337,3207,1768,962,399,126,7,0
Quakers Hill - Acacia Gardens,4423,3873,3725,4786,3819,2851,1507,550,234,41,0
Riverstone - Marsden Park,1492,1616,1492,1507,1579,1460,1174,622,268,25,0
Bidwill - Hebersham - Emerton,3388,3389,2526,2220,2348,2026,1772,739,171,18,0
Glendenning Dean Park,1465,1305,1189,1447,1209,809,391,147,128,40,0
Hassall Grove - Plumpton,3287,3597,2862,2815,3102,2307,999,384,212,33,0
Lethbridge Park - Tregear,2894,2856,2240,2026,2007,1535,1540,735,193,17,0
Mount Druitt - Whalan,3918,3315,3282,3192,2853,2201,1681,912,341,30,0
Prospect Reservoir,0,4,9,0,3,0,4,4,0,0,0
Rooty Hill - Minchinbury,2760,3170,2747,2700,2857,2480,1580,675,508,149,0
Banksmeadow,0,0,0,0,0,4,9,0,0,0,0
Botany,1398,1024,932,1522,1416,1013,737,495,292,59,0
Mascot - Eastlakes,2356,2132,3278,3351,2761,2249,1791,1256,613,73,0
Pagewood - Hillsdale - Daceyville,1271,1214,1499,1506,1518,1293,1100,679,414,93,0
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,0,0,0,0,3,0,0,0,0,0,0
Marrickville,2784,1945,4098,4821,3848,2867,1933,1466,704,141,5
Petersham - Stanmore,2018,1287,3656,4318,3057,1932,1335,786,371,43,0
Sydenham - Tempe - St Peters,829,516,1203,1576,1185,880,534,301,159,10,0
Darlinghurst,327,235,2876,2841,1571,1053,740,261,132,17,0
Erskineville - Alexandria,1202,579,3246,4235,2327,1295,636,274,90,13,0
Glebe - Forest Lodge,1135,1125,4365,3639,2068,1888,1407,615,307,37,0
Newtown - Camperdown - Darlington,1555,1468,6698,5087,3081,1866,1040,491,213,20,0
Potts Point - Woolloomooloo,625,536,4341,4694,2725,2128,1581,785,463,141,12
Pyrmont - Ultimo,1128,1031,6652,4749,2004,1536,1035,422,157,13,0
Redfern - Chippendale,864,594,4963,3754,2378,1687,1124,804,357,36,0
Surry Hills,617,433,4425,4396,2289,1418,817,499,342,100,3
Sydney - Haymarket - The Rocks,787,1286,9500,5215,2064,1797,1260,570,244,49,0
Waterloo - Beaconsfield,1539,1483,5714,4689,2634,1983,1508,1034,433,62,0
Bondi - Tamarama - Bronte,1957,1305,3244,4273,2584,1748,1338,829,507,104,0
Bondi Beach - North Bondi,2208,1150,4068,5310,2666,1611,1180,641,405,79,0
Bondi Junction - Waverly,1793,1198,2665,3124,2196,1621,1353,927,769,200,0
Centennial Park,0,0,0,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,2327,2268,3676,4116,3081,2783,2712,1524,1126,300,9
Dover Heights,1347,1162,1320,1758,1478,1274,1009,564,431,79,3
Paddington - Moore Park,1346,791,2878,3371,2085,1423,1392,618,286,48,7
Rose Bay - Vaucluse - Watsons Bay,1541,1781,1212,1410,1687,1515,1286,678,486,112,0
Woollahra,755,519,1024,1200,1012,813,856,523,362,124,0
Coogee - Clovelly,2797,1851,4004,5135,3571,2554,1838,1100,694,128,0
Kensington - Kingsford,2264,3043,8718,3873,2941,2188,1705,1215,806,125,0
Malabar - La Perouse - Chifley,2416,2556,2502,2684,3324,2854,2279,1386,951,164,5
Maroubra,3372,2995,5087,4842,3997,3403,2597,1870,1204,217,5
Randwick,3100,2035,5617,5831,3863,2809,1977,1214,995,272,13
Bankstown,5321,3790,5195,5006,3911,3365,2023,1293,786,131,3
Bass Hill - Georges Hall,2891,2798,2450,2577,2578,2341,2202,1243,804,185,5
Chullora,0,0,0,0,0,0,0,0,0,0,0
Condell Park,1618,1500,1412,1366,1276,1204,884,555,315,62,0
Greenacre - Mount Lewis,4020,3989,3362,2991,3109,2710,1903,1236,849,136,4
Padstow,1841,1945,1963,1966,2210,2108,1484,1089,870,147,5
Panania - Milperra - Picnic Point,3289,3231,2803,3284,3407,3185,2489,1490,949,87,3
Revesby,1949,1921,1873,2091,2036,1925,1260,911,756,145,0
Yagoona - Birrong,2827,2727,2577,2427,2551,2386,1522,985,825,126,3
Belmore - Belfield,2519,2319,2679,2666,2647,2183,1680,1243,584,101,0
Canterbury (South) - Campsie,3190,2877,4748,4284,4068,3309,2039,1469,741,97,0
Kingsgrove (North) - Earlwood,2780,2574,2403,3139,3413,2778,2375,1863,1036,154,3
Lakemba - Wiley Park,4664,2938,4617,4621,3113,2330,1425,901,502,100,3
Punchbowl,3033,3006,2948,2620,2517,2235,1385,916,480,60,0
Roselands,1916,1663,1592,1871,1876,1461,1161,862,557,97,3
Hurstville,2177,2300,4361,2934,2648,2365,1544,1077,573,163,7
Mortdale - Penshurst,2746,2398,3375,3563,3215,2911,1859,1093,892,218,3
Narwee - Beverly Hills,1519,1522,1709,1769,1804,1586,1190,946,606,121,0
Oatley - Hurstville Grove,1436,1582,1415,1501,1707,1746,1219,714,522,99,4
Peakhurst - Lugarno,2166,2263,1728,2023,2453,2159,1970,1466,977,200,4
Riverwood,1034,1125,1252,1241,1278,1294,1052,737,395,43,0
South Hurstville - Blakehurst,2500,2929,3657,2983,3326,2779,2032,1314,880,201,3
Arncliffe - Bardwell Valley,1855,1605,2792,2555,1930,1532,1148,754,425,75,5
Bexley,3264,3020,3701,3996,3541,2966,2124,1399,887,222,9
Kingsgrove (South) - Bardwell Park,1600,1431,1306,1715,1719,1415,1222,924,566,112,0
Kogarah,1175,912,1752,1890,1349,944,680,504,330,70,5
Kogarah Bay - Carlton - Allawah,1769,1660,2205,2339,2197,1920,1387,827,451,79,0
Monterey - Brighton-le-Sands - Kyeemagh,1450,1269,1605,2125,1956,1563,1420,1028,582,123,0
Rockdale - Banksia,2002,1597,4308,3420,2185,1817,1367,875,586,161,3
Sans Souci - Ramsgate,1726,1449,1411,2031,2212,1885,1742,1312,877,159,0
Concord - Mortlake - Cabarita,2468,2232,2257,2738,3015,2657,2082,1308,704,115,0
Concord West - North Strathfield,2153,1701,4398,3572,2261,1767,1108,615,384,54,3
Drummoyne - Rodd Point,2171,1509,2079,3037,2642,2134,1744,1128,840,177,4
Five Dock - Abbotsford,2318,1645,2225,3616,2921,2339,1842,1283,793,123,3
Balmain,1818,1015,1656,3089,2522,2005,1683,643,276,43,0
Leichhardt - Annandale,3363,1548,3564,5516,4088,2741,1929,1020,558,101,4
Lilyfield - Rozelle,1868,820,1459,3151,2274,1513,1088,504,279,52,0
Ashfield,2219,1922,4774,4121,2995,2522,1711,1220,955,329,12
Burwood - Croydon,1927,2327,4562,3035,2768,2516,1612,1256,853,169,5
Canterbury (North) - Ashbury,1112,1053,1219,1322,1547,1234,950,634,270,38,0
Croydon Park - Enfield,1998,1949,2199,2343,2492,2020,1538,1061,662,130,0
Dulwich Hill - Lewisham,1977,1357,2425,3147,2714,1848,1222,774,374,71,0
Haberfield - Summer Hill,1566,1255,1782,2147,2163,1653,1088,814,618,136,4
Homebush,1359,1394,3287,2370,1639,1258,620,398,171,25,0
Strathfield,2299,3214,5930,3537,3230,3075,2122,1418,957,216,7
Chatswood (East) - Artarmon,2891,2395,4430,4684,3442,2573,1836,1080,773,234,3
Chatswood (West) - Lane Cove North,2339,1742,2758,3469,2650,2067,1527,844,566,147,7
Lane Cove - Greenwich,3248,2993,2738,3393,3716,3126,2450,1317,920,241,8
St Leonards - Naremburn,1112,519,1841,2521,1273,912,622,311,142,19,0
Willoughby - Castle Cove - Northbridge,3803,3157,2046,3036,4150,3186,2407,1392,957,193,6
Asquith - Mount Colah,2534,2505,1847,2318,2865,2664,1661,821,456,61,0
Berowra - Brooklyn - Cowan,1766,1627,1011,1429,1958,1645,1240,517,180,21,0
Hornsby - Waitara,3937,2935,4101,5824,4196,3273,2310,1447,1076,270,8
Normanhurst - Thornleigh - Westleigh,2551,2639,1704,2178,2792,2316,1902,1180,618,140,3
Gordon - Killara,1966,3250,1965,1676,2971,2679,1880,1154,917,282,15
Lindfield - Roseville,3012,3356,1980,2083,3485,2905,2061,1232,844,217,3
Pymble,2121,2715,1479,1456,2666,2163,1593,846,586,108,0
St Ives,2167,2905,1653,1597,2940,2658,2104,1534,942,140,0
Turramurra,2262,2646,1361,1683,2837,2287,1916,1458,1236,329,13
Wahroonga - Warrawee,2064,2894,1763,1523,2629,2466,1854,1157,739,162,3
Cremorne - Cammeray,2037,1190,2615,3828,2740,2188,1954,941,473,88,7
Crows Nest - Waverton,1430,819,3389,4378,2169,1773,1498,719,374,60,5
Mosman,3298,3076,3018,3980,4285,3540,3139,1618,1183,314,13
Neutral Bay - Kirribilli,1168,665,3474,4066,2142,1808,1682,924,589,181,5
North Sydney - Lavender Bay,659,540,1881,2276,1329,1103,1024,472,189,45,3
Balgowlah - Clontarf - Seaforth,3224,2564,1633,2465,3345,2402,1754,993,697,104,0
Manly - Fairlight,2252,1303,3330,5055,2821,2067,1851,1027,681,170,8
Avalon - Palm Beach,1562,1657,896,1095,1905,1948,1679,835,492,120,3
Bayview - Elanora Heights,1264,1349,751,939,1568,1500,1343,820,550,112,4
Newport - Bilgola,1727,1655,1245,1489,2008,2064,1538,747,361,56,0
Warriewood - Mona Vale,3147,2585,2068,3077,3246,2889,2326,1321,951,237,3
Beacon Hill - Narraweena,1790,1795,1200,1525,2092,1698,1249,967,618,103,0
Cromer,1090,890,601,923,1134,852,797,502,363,52,0
Dee Why - North Curl Curl,2876,1964,3710,4671,3550,2604,1672,1007,617,94,3
Forestville - Killarney Heights,1908,1689,865,1411,2043,1431,1139,1137,580,90,7
Frenchs Forest - Belrose,3607,3367,1829,2689,3942,2879,2825,1745,936,255,7
Freshwater - Brookvale,2646,1863,2747,3972,3127,2076,1336,753,589,120,3
Manly Vale - Allambie Heights,2499,1844,1558,2361,2649,1835,1383,873,696,188,4
Narrabeen - Collaroy,2851,2367,2779,3530,3270,2661,2057,1366,1376,433,6
Terrey Hills - Duffys Forest,434,564,318,339,580,519,451,221,84,26,0
Camden - Ellis Lane,1659,1496,1428,1586,1505,1564,1255,751,697,176,8
Elderslie - Harrington Park,2704,2618,1848,2478,2506,1888,1181,595,243,19,0
Mount Annan - Currans Hill,4447,3979,3201,4252,3732,2357,1314,542,181,18,0
Bradbury - Wedderburn,3094,3196,2694,2760,2367,2131,1853,750,284,23,0
Campbelltown - Woodbine,2159,2060,2668,2188,1997,1844,1459,855,463,48,3
Claymore - Eagle Vale - Raby,3349,3619,3341,2679,2858,2972,1466,511,190,26,0
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,2118,2326,2357,2175,2493,2451,1521,732,383,39,0
Leumeah - Minto Heights,2140,2072,2322,2225,1918,2294,2009,684,270,41,0
Macquarie Fields - Glenfield,2994,3211,2841,2959,2759,2721,1910,875,507,146,0
Minto - St Andrews,2555,2746,2711,2324,2531,2530,1414,508,222,37,0
Rosemeadow - Glen Alpine,2889,3295,3071,2410,2802,2952,1752,651,269,65,0
Bargo,852,812,563,709,782,684,581,303,113,8,0
Douglas Park - Appin,1016,1058,720,879,1204,965,752,313,137,22,0
Picton - Tahmoor - Buxton,2309,2366,1699,1993,2238,2068,1456,761,403,80,0
The Oaks - Oakdale,1252,1321,1039,1119,1186,1258,882,353,129,21,0
Blackheath - Megalong Valley,640,571,355,567,856,852,919,488,198,25,0
Blaxland - Warrimoo - Lapstone,2538,2627,1894,2288,2665,2875,2145,987,422,65,0
Blue Mountains - North,8,8,0,0,9,4,0,0,0,0,0
Katoomba - Leura,1417,1393,1158,1369,1861,2183,1835,1019,554,126,3
Lawson - Hazelbrook - Linden,1602,1574,973,1340,1781,1779,1189,562,258,29,0
Springwood - Winmalee,2814,3206,2180,2512,3125,3343,2413,1152,818,215,3
Wentworth Falls,665,687,410,518,833,950,964,570,274,67,0
Blue Mountains - South,3,0,0,3,0,0,0,0,0,0,0
Cambridge Park,2154,2046,2357,2224,1818,2234,1521,514,236,27,0
Castlereagh - Cranebrook,2771,2870,2659,2515,2483,2175,1200,516,163,23,0
Emu Plains - Leonay,1903,1865,1573,2062,1754,1780,1699,781,389,74,3
Glenmore Park - Regentville,3619,3523,2757,3397,3318,2427,1215,467,155,15,0
Jamisontown - South Penrith,2361,2022,2566,2445,2009,2275,1933,811,416,60,0
Kingswood - Werrington,2740,2243,2950,2687,2287,1879,1314,658,302,56,3
Mulgoa - Luddenham - Orchard Hills,806,1066,793,735,971,882,779,344,122,13,0
Penrith,1426,1216,1991,1748,1465,1294,1107,758,644,167,3
Warragamba - Silverdale,776,847,597,644,803,724,377,202,80,4,0
Richmond - Clarendon,1695,1739,2145,1673,1748,1527,1306,848,602,150,3
Windsor - Bligh Park,2434,2424,2426,2059,2329,1783,1056,602,299,50,0
Yarramundi - Londonderry,901,1057,1047,937,1021,923,645,224,77,9,0
Erskine Park,885,1372,953,783,1198,936,375,103,45,11,0
St Clair,2788,3061,3310,2679,2707,3160,1496,424,184,21,0
St Marys - Colyton,3747,3453,3750,3632,3356,3063,2501,1337,617,99,6
Auburn,4982,4468,7374,4998,4123,3277,1987,1139,652,115,0
Homebush Bay - Silverwater,1470,897,2242,2799,1784,1166,634,220,78,10,0
Lidcombe - Regents Park,3798,3731,5557,4609,4024,3860,2159,1319,792,131,0
Rookwood Cemetery,0,0,4,0,0,0,0,0,0,0,0
Carlingford,2722,3550,2936,2691,3791,3548,2570,1763,886,155,9
Ermington - Rydalmere,2587,2409,2439,2847,2993,2455,1613,1095,674,96,0
Oatlands - Dundas Valley,1869,2141,2082,2135,2467,2135,1420,973,484,50,4
Chester Hill - Sefton,2254,2515,2301,2068,2255,2111,1361,928,767,89,3
Fairfield - East,2227,1993,2111,1813,1856,1754,1123,803,600,119,3
Granville - Clyde,2771,2327,3567,2874,2291,2015,1234,707,393,56,0
Greystanes - Pemulwuy,3389,2951,2876,3664,3139,2640,2831,1363,533,76,0
Guildford - South Granville,3093,2813,3080,2427,2226,1966,1335,808,514,67,3
Guildford West - Merrylands West,2952,2487,2969,2829,2425,2130,1421,1003,669,125,5
Merrylands - Holroyd,3811,3217,4519,4212,3269,2721,1956,1221,781,86,0
Smithfield Industrial,0,3,3,0,3,0,0,0,0,0,0
Yennora Industrial,3,0,0,3,0,0,4,0,0,0,0
Girraween - Westmead,3848,2863,3898,4865,3500,2653,1878,1287,832,184,3
North Parramatta,2266,2070,4373,4190,2594,2023,1247,734,603,182,3
North Rocks,983,1024,715,958,1128,1011,1055,467,211,59,0
Northmead,2546,1331,3385,3978,2067,1494,1194,654,533,103,0
Parramatta - Rosehill,2891,1436,6958,5640,2218,1671,962,564,310,55,0
Toongabbie - Constitution Hill,2751,2494,2724,3012,2865,2472,1939,1498,809,142,0
Winston Hills,1518,1221,1027,1573,1477,1172,1359,649,294,83,0
Epping - North Epping,2477,3338,3481,2813,3524,3453,2158,1376,826,122,0
Pennant Hills - Cheltenham,2272,2883,2049,2008,2947,2845,2089,1296,815,212,8
Eastwood - Denistone,2629,2867,3735,2896,3385,3129,2070,1316,845,120,3
Gladesville - Huntleys Point,1698,1460,1499,2139,2107,1609,1388,851,567,104,0
Hunters Hill - Woolwich,1176,1687,800,913,1426,1251,1038,596,648,246,15
Macquarie Park - Marsfield,1606,1398,5136,3149,1999,1806,1343,978,830,250,9
North Ryde - East Ryde,1511,1459,1293,1499,1860,1651,1062,919,639,79,3
Ryde - Putney,3278,2917,3653,4004,3846,3155,2292,1605,1180,205,8
West Ryde - Meadowbank,1941,1499,3269,3528,2283,1888,1325,787,407,68,5
Ashcroft - Busby - Miller,2701,2898,2281,1969,2175,1963,1202,1094,340,24,0
Badgerys Creek - Greendale,1321,1545,1271,1293,1363,1204,1029,484,307,53,0
Cobbitty - Leppington,824,944,814,682,891,901,765,437,141,13,0
Green Valley - Cecil Hills,4239,5163,4121,3884,4665,3790,1833,756,282,33,0
Hoxton Park - Horningsea Park,3306,3191,2543,3251,3010,1933,920,338,119,28,0
Bonnyrigg Heights - Bonnyrigg,1959,2502,2352,1901,2201,2230,1218,531,262,39,0
Bossley Park - Abbotsbury,2114,2770,2779,2081,2518,2923,1734,853,393,61,0
Cabramatta - Lansvale,3156,3196,3225,3218,3647,3023,1841,1169,749,137,12
Cabramatta West - Mount Pritchard,2295,2459,2106,2027,2169,1981,1233,1042,461,46,0
Canley Vale - Canley Heights,2662,2974,2837,2597,2878,2482,1480,982,593,91,3
Edensor Park,1159,1542,1466,1116,1425,1447,786,360,140,15,0
Fairfield,2444,2233,2586,2449,2403,2036,1277,914,461,51,0
Fairfield - West,2428,2649,2302,2367,2408,2109,1629,1035,455,37,0
Greenfield Park - Prairiewood,957,1132,1104,965,1030,1147,823,441,152,10,0
Horsley Park - Kemps Creek,476,641,542,509,621,593,476,294,153,27,0
Smithfield - Wetherill Park,2153,2316,2364,2233,2178,2227,1781,1203,496,51,0
St Johns Park - Wakeley,1217,1485,1556,1298,1389,1638,1123,603,281,46,3
Wetherill Park Industrial,0,0,0,4,8,4,4,0,0,0,0
Casula,2270,2153,2095,2099,2117,1751,1153,687,338,34,0
Chipping Norton - Moorebank,2159,1955,2075,2305,2065,1995,1933,760,324,59,0
Holsworthy - Wattle Grove,3196,3081,2961,3205,3163,1983,1031,501,352,74,3
Liverpool - Warwick Farm,4306,3396,4688,4593,3757,3349,2268,1460,678,83,8
Prestons - Lurnea,4536,4108,3379,4017,3808,2682,1625,1045,446,60,0
Caringbah - Lilli Pilli,3349,3091,3082,3394,3532,3465,2521,1690,1319,173,3
Cronulla - Kurnell - Bundeena,3205,2978,4592,4264,4060,4053,2978,1665,1165,220,13
Gymea - Grays Point,2282,2241,1796,2251,2592,2209,1746,1054,598,71,4
Miranda - Yowie Bay,2201,1922,2287,2553,2370,2046,1593,1395,1006,215,3
Sylvania - Taren Point,1695,1698,1535,1724,2079,1782,1906,1397,1043,241,6
Engadine - Loftus,4340,3762,2984,3905,4007,3580,3171,1373,548,66,3
Heathcote - Waterfall,867,887,677,805,923,855,598,429,305,102,0
Illawong - Alfords Point,1061,1719,1603,897,1540,2119,1055,390,197,57,0
Menai - Lucas Heights - Woronora,2732,3707,2542,2355,3362,3407,1879,656,365,55,0
Oyster Bay - Como - Jannali,3089,2625,2079,2844,3139,2721,2308,1051,666,103,0
Royal National Park,0,3,6,4,0,0,0,0,0,0,0
Sutherland - Kirrawee,2436,1756,2955,3391,2553,2157,1775,1173,963,203,10
Migratory - Offshore - Shipping (NSW),4,0,3,4,18,8,31,26,19,0,0
No Usual Address (NSW),871,1069,2742,2284,1985,1805,1433,508,173,49,0
