"1-digit level FMCF Family Composition","Couple family with no children","Couple family with children","One parent family","Other family","Not applicable","Total",
"SA2 (EN)",
"Braidwood",670,384,121,15,873,2061,
"Karabar",808,1025,455,38,1172,3496,
"Queanbeyan",1132,1048,511,71,2740,5503,
"Queanbeyan - East",524,507,216,34,1224,2517,
"Queanbeyan West - Jerrabomberra",1111,1978,480,27,1128,4732,
"Googong",503,1111,155,12,336,2114,
"Queanbeyan Surrounds",2035,2287,415,35,1452,6220,
"Bombala",339,201,89,4,524,1148,
"Cooma",795,616,303,16,1365,3094,
"Cooma Surrounds",493,354,90,14,638,1578,
"Jindabyne - Berridale",816,782,223,17,2306,4143,
"Batemans Bay",1208,634,432,26,1714,4023,
"Batemans Bay - South",1441,657,418,22,1736,4277,
"Bega - Tathra",1116,816,444,19,1631,4028,
"Bega-Eden Hinterland",1436,915,345,22,1559,4276,
"Broulee - Tomakin",553,346,146,14,706,1771,
"Deua - Wadbilliga",7,0,0,0,4,12,
"Eden",468,247,164,16,725,1617,
"Eurobodalla Hinterland",566,281,123,10,662,1651,
"Merimbula - Tura Beach",1855,948,390,28,2313,5532,
"Moruya - Tuross Head",1430,657,331,30,1728,4173,
"Narooma - Bermagui",1689,670,355,20,2139,4878,
"Goulburn",2559,2350,1236,92,4333,10575,
"Goulburn Surrounds",1936,1445,406,26,2183,5994,
"Yass",716,790,296,21,995,2821,
"Yass Surrounds",1514,1730,326,22,1283,4866,
"Young",1194,1069,544,49,1880,4734,
"Young Surrounds",1028,718,262,26,1481,3506,
"Avoca Beach - Copacabana",784,1005,314,13,749,2872,
"Box Head - MacMasters Beach",1495,1357,369,31,1467,4716,
"Calga - Kulnura",559,530,165,17,750,2015,
"Erina - Green Point",1722,1649,575,39,2200,6178,
"Gosford - Springfield",2304,1954,1196,99,4657,10210,
"Kariong",547,942,293,9,534,2324,
"Kincumber - Picketts Valley",854,848,343,13,1275,3334,
"Narara",715,965,346,12,723,2759,
"Niagara Park - Lisarow",748,1145,374,17,790,3072,
"Point Clare - Koolewong",705,802,276,19,934,2735,
"Saratoga - Davistown",880,892,280,12,872,2931,
"Terrigal - North Avoca",1753,1841,578,28,1921,6113,
"Umina - Booker Bay - Patonga",2903,2263,1414,112,4772,11467,
"Wamberal - Forresters Beach",1174,1445,360,19,1058,4053,
"Woy Woy - Blackwall",1599,1297,855,82,2885,6717,
"Wyoming",1145,1232,629,48,1717,4766,
"Bateau Bay - Killarney Vale",2273,2566,1318,77,3037,9268,
"Blue Haven - San Remo",988,1234,858,58,1316,4453,
"Budgewoi - Buff Point - Halekulani",1137,887,586,31,1795,4438,
"Chittaway Bay - Tumbi Umbi",1730,2017,791,46,1783,6354,
"Gorokan - Kanwal - Charmhaven",2218,1993,1556,115,3899,9778,
"Jilliby - Yarramalong",394,474,91,4,286,1256,
"Lake Munmorah - Mannering Park",1574,960,562,34,2003,5140,
"Ourimbah - Fountaindale",530,644,210,21,514,1918,
"Summerland Point - Gwandalan",859,698,333,28,835,2748,
"The Entrance",1848,1250,978,77,3682,7839,
"Toukley - Norah Head",1126,853,553,45,2041,4635,
"Tuggerah - Kangy Angy",477,651,313,19,632,2098,
"Warnervale - Wadalba",1617,2698,1038,50,1726,7124,
"Wyong",877,822,653,46,1635,4024,
"Bathurst - East",1213,1453,635,33,1393,4729,
"Bathurst Surrounds",871,812,188,17,886,2771,
"Oberon",611,400,211,9,968,2193,
"Bathurst - South",1039,636,532,62,2679,4942,
"Bathurst - West",1504,1665,737,52,1868,5828,
"Condobolin",668,618,245,33,1223,2779,
"Cowra",1092,803,474,48,1799,4222,
"Cowra Surrounds",769,523,207,29,1063,2587,
"Forbes",1190,910,458,37,1860,4451,
"Grenfell",507,308,127,27,703,1674,
"Parkes (NSW)",1161,1073,546,36,1935,4755,
"Parkes Surrounds",360,301,148,10,614,1428,
"West Wyalong",668,549,200,12,1135,2572,
"Lithgow",1322,1020,693,57,2645,5734,
"Lithgow Surrounds",1064,873,343,30,1385,3685,
"Mudgee",1346,1357,566,46,2079,5397,
"Mudgee Surrounds - East",462,248,153,5,835,1714,
"Mudgee Surrounds - West",1365,1190,368,32,1824,4773,
"Wollangambe - Wollemi",0,0,0,0,0,0,
"Blayney",862,839,308,35,1077,3132,
"Orange",1883,1656,991,99,3971,8601,
"Orange - North",2234,2830,963,69,2835,8930,
"Orange Surrounds",1458,1473,335,20,1478,4758,
"Grafton",2063,1579,1226,104,3748,8724,
"Grafton Surrounds",2249,1503,633,62,2439,6890,
"Maclean - Yamba - Iluka",2810,1410,727,70,3552,8564,
"Bellingen",670,603,330,23,1053,2684,
"Coffs Harbour - North",1972,1587,1080,66,3459,8168,
"Coffs Harbour - South",1191,894,579,47,2300,5009,
"Coramba - Nana Glen - Bucca",494,474,137,8,462,1574,
"Dorrigo",471,249,132,4,735,1595,
"Korora - Emerald Beach",1405,1200,393,24,1154,4178,
"Sawtell - Boambee",2340,2048,1093,75,3251,8804,
"Urunga",697,399,254,12,1022,2384,
"Woolgoolga - Arrawarra",1807,1445,661,51,2448,6413,
"Bourke - Brewarrina",274,277,180,27,820,1579,
"Cobar",390,378,152,20,969,1910,
"Coonamble",368,311,221,15,815,1728,
"Nyngan - Warren",512,445,187,30,922,2082,
"Walgett - Lightning Ridge",492,323,234,20,1689,2766,
"Broken Hill",1935,1417,1063,89,3913,8417,
"Far West",222,160,115,8,710,1210,
"Coonabarabran",922,637,321,36,1724,3636,
"Dubbo - East",1046,1087,537,47,1655,4369,
"Dubbo - South",1927,2017,917,80,3568,8515,
"Dubbo - West",969,1066,542,50,1605,4226,
"Dubbo Surrounds",689,741,165,6,696,2300,
"Gilgandra",526,379,211,20,819,1953,
"Narromine",661,601,286,29,1157,2733,
"Wellington",843,650,428,43,1593,3561,
"Branxton - Greta - Pokolbin",1438,1676,513,29,1378,5032,
"Cessnock",2122,2060,1596,96,3509,9383,
"Cessnock Surrounds",1080,1081,395,27,1085,3674,
"Dungog",1267,1119,349,28,1313,4070,
"Kurri Kurri - Abermain",1995,2284,1319,90,2804,8497,
"Singleton",1627,1995,768,57,2336,6790,
"Singleton Surrounds",603,704,149,16,640,2109,
"Maitland",827,1045,433,50,1125,3474,
"Maitland - North",873,1249,331,14,755,3225,
"East Maitland - Metford",1838,2071,948,76,2629,7561,
"Rutherford (North) - Aberglasslyn",1725,2257,886,52,1909,6832,
"Rutherford (South) - Telarah",803,817,520,49,1194,3393,
"Tenambit - East Maitland",1195,1062,571,39,1575,4440,
"Thornton - Millers Forest",1642,2317,608,50,1225,5833,
"Anna Bay",967,642,253,14,1000,2867,
"Lemon Tree Passage - Tanilba Bay",981,596,376,22,1113,3089,
"Nelson Bay Peninsula",3488,1850,938,57,3854,10196,
"Raymond Terrace",1362,1375,1034,69,2453,6300,
"Seaham - Woodville",648,844,139,10,398,2040,
"Tea Gardens - Hawks Nest",1341,296,175,22,1097,2927,
"Williamtown - Medowie - Karuah",1693,1885,644,34,1556,5815,
"Muswellbrook",1165,1266,663,40,2129,5256,
"Muswellbrook Surrounds",487,454,145,18,601,1688,
"Scone",672,671,256,22,1026,2646,
"Scone Surrounds",1087,836,265,11,1431,3637,
"Dapto - Avondale",2670,2746,1362,97,3132,9999,
"Horsley - Kembla Grange",1122,1834,494,20,807,4274,
"Port Kembla Industrial",0,0,0,0,3,3,
"Unanderra - Mount Kembla",1556,2040,644,54,1557,5847,
"Berkeley - Lake Heights - Cringila",1263,1530,905,59,1983,5741,
"Port Kembla - Warrawong",864,921,663,43,1802,4304,
"Windang - Primbee",478,404,197,37,937,2053,
"Illawarra Catchment Reserve",0,0,0,0,0,3,
"Albion Park - Macquarie Pass",1929,2731,828,56,1476,7024,
"Albion Park Rail",778,696,426,38,959,2895,
"Kiama",1366,876,293,36,1345,3912,
"Kiama Downs - Minnamurra",777,796,193,10,571,2347,
"Kiama Hinterland - Gerringong",1094,962,213,23,1028,3320,
"Shellharbour - Flinders",2008,2762,736,47,1658,7209,
"Shellharbour - Oak Flats",1219,1168,568,54,1385,4397,
"Warilla",2168,1902,1483,93,3319,8963,
"Balgownie - Fairy Meadow",2148,2399,989,97,3359,8985,
"Corrimal - Tarrawanna - Bellambi",1609,1718,936,87,2793,7137,
"Figtree - Keiraville",1983,2850,785,76,2713,8402,
"Helensburgh",850,1434,278,18,691,3270,
"Thirroul - Austinmer - Coalcliff",1351,1656,357,22,1243,4636,
"Woonona - Bulli - Russell Vale",1939,2788,852,59,2549,8182,
"Wollongong - East",2445,857,521,84,4567,8475,
"Wollongong - West",1619,1605,645,97,3299,7269,
"Bulahdelah - Stroud",701,490,209,17,914,2329,
"Forster",2299,1036,694,55,3181,7276,
"Forster-Tuncurry Surrounds",1093,589,285,20,1320,3316,
"Tuncurry",1034,356,315,24,1579,3310,
"Kempsey",1503,1175,1015,90,2487,6268,
"Kempsey Surrounds",1213,839,442,42,1830,4367,
"Macksville - Scotts Head",664,457,279,22,970,2388,
"Nambucca Heads",900,443,392,33,1909,3683,
"Nambucca Heads Surrounds",1075,741,365,30,1396,3607,
"South West Rocks",998,399,235,18,1235,2884,
"Lord Howe Island",58,37,10,0,118,225,
"Laurieton - Bonny Hills",3245,1515,728,42,3153,8686,
"Port Macquarie - West",2728,1745,1073,86,4069,9701,
"Port Macquarie Surrounds",723,563,182,14,782,2262,
"Wauchope",1531,1345,688,40,1641,5248,
"Port Macquarie - East",1468,1081,572,39,2513,5670,
"Port Macquarie - South",2377,1806,725,53,2503,7468,
"Gloucester",832,420,229,18,1042,2548,
"Old Bar - Manning Point - Red Head",2014,1099,497,37,2000,5647,
"Taree",2303,1648,1335,106,4064,9453,
"Taree Surrounds",2180,1104,541,46,2189,6057,
"Wingham",610,479,347,26,969,2432,
"Albury - East",1876,2213,666,57,2367,7183,
"Albury - North",1097,948,617,54,1980,4702,
"Albury - South",1251,892,451,41,2352,4984,
"Albury Surrounds",1474,1403,419,18,1662,4976,
"Lavington",1612,1376,941,75,3246,7248,
"Hay",355,249,124,10,626,1373,
"Wentworth - Buronga",767,668,223,23,1051,2741,
"Wentworth-Balranald Region",407,337,99,14,680,1539,
"Corowa",791,452,249,17,1125,2632,
"Corowa Surrounds",1043,688,220,15,1221,3184,
"Deniliquin",889,596,279,32,1486,3283,
"Deniliquin Surrounds",939,669,188,15,1206,3012,
"Moama",1010,727,189,15,1004,2942,
"Tocumwal - Finley - Jerilderie",1392,813,324,31,1866,4422,
"Armidale",2445,2038,1028,88,4303,9900,
"Armidale Surrounds - North",525,436,136,15,834,1949,
"Armidale Surrounds - South",798,611,235,20,900,2570,
"Walcha",488,282,73,10,583,1437,
"Glen Innes",1179,664,403,32,1929,4202,
"Inverell",1371,1049,670,53,2234,5377,
"Inverell Surrounds - East",636,450,193,26,897,2204,
"Inverell Surrounds - West",767,509,231,17,1032,2561,
"Tenterfield",1030,466,283,15,1588,3389,
"Moree",740,630,396,45,1815,3623,
"Moree Surrounds",448,479,172,20,1160,2272,
"Narrabri",767,675,317,28,1272,3060,
"Narrabri Surrounds",495,460,160,16,837,1969,
"Gunnedah",940,993,454,52,1796,4241,
"Gunnedah Surrounds",496,480,159,21,709,1868,
"Quirindi",885,672,336,44,1494,3436,
"Tamworth - East",2336,2013,1165,108,3773,9392,
"Tamworth - North",1705,1621,768,69,3112,7271,
"Tamworth - West",445,516,471,33,941,2409,
"Tamworth Surrounds",2320,2150,736,66,2711,7983,
"Belmont - Bennetts Green",2144,2027,877,57,2499,7605,
"Belmont South - Blacksmiths",693,556,333,32,1040,2659,
"Charlestown - Dudley",2599,3053,1275,79,3472,10484,
"Glendale - Cardiff - Hillsborough",2527,3037,1249,106,3107,10025,
"Mount Hutton - Windale",883,827,698,57,1657,4129,
"Redhead",362,458,114,13,606,1551,
"Swansea - Caves Beach",1649,1330,622,52,1819,5478,
"Valentine - Eleebana",1529,1747,416,25,1094,4808,
"Warners Bay - Boolaroo",1779,1656,735,58,2150,6375,
"Bolton Point - Teralba",1075,1066,570,46,1392,4143,
"Bonnells Bay - Silverwater",1246,1026,530,33,1235,4066,
"Edgeworth - Cameron Park",1508,2265,721,49,1606,6151,
"Morisset - Cooranbong",2113,1903,792,62,2661,7538,
"Toronto - Awaba",1791,1345,754,58,2178,6120,
"Wangi Wangi - Rathmines",1423,1003,418,26,1140,4013,
"West Wallsend - Barnsley - Killingworth",798,941,345,25,751,2873,
"Adamstown - Kotara",1676,2096,674,79,2196,6730,
"Beresfield - Hexham",897,806,603,59,1367,3723,
"Hamilton - Broadmeadow",1276,1176,511,76,2912,5948,
"Lambton - New Lambton",1616,2089,858,73,2672,7312,
"Maryland - Fletcher - Minmi",1384,2451,704,52,1353,5941,
"Mayfield - Warabrook",1584,1402,770,103,3123,6986,
"Merewether - The Junction",1582,1688,418,53,2329,6067,
"Newcastle - Cooks Hill",1788,795,385,56,3693,6717,
"Newcastle Port - Kooragang",3,0,0,0,12,16,
"Shortland - Jesmond",1025,813,530,95,2351,4827,
"Stockton - Fullerton Cove",1204,896,338,27,1518,3982,
"Wallsend - Elermore Vale",2185,2176,1069,108,3395,8935,
"Waratah - North Lambton",1259,1104,641,76,2439,5516,
"Wickham - Carrington - Tighes Hill",1103,756,403,50,2015,4335,
"Ballina",2485,1393,984,73,4209,9147,
"Ballina Surrounds",2292,2047,803,62,2507,7713,
"Bangalow",735,772,252,14,1083,2845,
"Brunswick Heads - Ocean Shores",928,831,511,30,1933,4232,
"Byron Bay",1095,849,385,31,2559,4919,
"Evans Head",762,475,262,21,1241,2767,
"Lennox Head - Skennars Head",1100,1114,345,28,1276,3857,
"Mullumbimby",834,798,429,21,1817,3904,
"Casino",1349,1068,715,59,2247,5434,
"Casino Surrounds",911,681,288,32,1180,3095,
"Goonellabah",1443,1327,789,49,2362,5971,
"Kyogle",995,595,387,24,1523,3530,
"Lismore",1312,1152,1077,83,3489,7119,
"Lismore Surrounds",1952,1656,619,46,2512,6789,
"Kingscliff - Fingal Head",1768,1628,559,35,2495,6483,
"Murwillumbah",952,888,609,38,1700,4187,
"Murwillumbah Surrounds",1275,1006,426,34,1620,4366,
"Pottsville",1589,1585,590,38,2039,5844,
"Tweed Heads",2621,1683,1013,88,4602,10009,
"Banora Point",2038,1649,868,74,2417,7040,
"Terranora - North Tumbulgum",383,450,101,3,274,1210,
"Tweed Heads South",1061,579,491,49,2107,4284,
"Griffith (NSW)",1997,2336,852,84,3044,8325,
"Griffith Surrounds",1316,1411,418,48,2023,5214,
"Leeton",1060,1020,454,38,1621,4194,
"Narrandera",651,517,282,27,1097,2571,
"Tumbarumba",483,300,136,12,608,1540,
"Tumut",754,645,344,23,1210,2972,
"Tumut Surrounds",615,504,149,12,787,2061,
"Cootamundra",1117,651,324,23,1410,3526,
"Gundagai",405,371,122,12,689,1600,
"Junee",645,550,245,22,916,2381,
"Temora",856,620,258,28,1175,2942,
"Wagga Wagga - East",1856,1950,776,61,2315,6950,
"Wagga Wagga - North",465,648,155,22,709,1996,
"Wagga Wagga - South",2169,2516,1154,84,3324,9244,
"Wagga Wagga - West",1167,882,624,71,2950,5690,
"Wagga Wagga Surrounds",1929,2083,557,34,2169,6773,
"Berry - Kangaroo Valley",1637,846,283,30,1684,4486,
"Callala Bay - Currarong",597,314,158,14,634,1714,
"Culburra Beach",802,427,215,21,1020,2485,
"Ettrema - Sassafras - Budawang",14,9,0,0,10,29,
"Huskisson - Vincentia",781,434,165,7,906,2292,
"North Nowra - Bomaderry",1963,1612,800,63,2522,6966,
"Nowra",2083,2109,1209,105,3610,9110,
"St Georges Basin - Erowal Bay",2233,1261,813,51,2594,6951,
"Sussex Inlet - Berrara",798,325,165,11,1058,2360,
"Tomerong - Wandandian - Woollamia",522,444,90,5,432,1501,
"Ulladulla",2570,1468,787,46,3047,7930,
"Ulladulla Surrounds",992,497,183,18,1116,2808,
"Bowral",2165,1268,445,31,2194,6097,
"Hill Top - Colo Vale",663,875,267,16,630,2457,
"Mittagong",1325,1222,419,36,1663,4675,
"Moss Vale - Berrima",1277,1128,480,38,1668,4594,
"Robertson - Fitzroy Falls",564,406,121,15,587,1687,
"Southern Highlands",1151,714,229,16,1183,3285,
"Baulkham Hills - East",2072,3954,859,73,2053,9007,
"Baulkham Hills (West) - Bella Vista",2067,3607,573,42,1332,7622,
"Glenhaven",731,925,133,8,513,2301,
"West Pennant Hills",1267,2170,306,30,632,4400,
"Castle Hill - Central",678,1189,276,27,662,2839,
"Castle Hill - East",453,787,98,9,632,1984,
"Castle Hill - North",1219,1946,360,23,778,4320,
"Castle Hill - South",1025,1609,361,38,799,3829,
"Castle Hill - West",389,936,144,10,238,1720,
"Cherrybrook",1637,3332,491,23,988,6480,
"Kellyville - East",1255,3193,525,32,756,5758,
"Kellyville - West",944,1903,247,21,740,3856,
"Dural - Kenthurst - Wisemans Ferry",2200,3322,638,43,1697,7897,
"Galston - Laughtondale",599,726,150,14,559,2043,
"Bilpin - Colo - St Albans",358,318,70,13,477,1239,
"Kurrajong Heights - Ebenezer",2390,3210,702,45,1798,8135,
"Pitt Town - McGraths Hill",1040,1687,390,26,1005,4140,
"Box Hill - Nelson",769,1872,269,20,446,3378,
"North Kellyville",1139,3112,464,21,896,5638,
"Rouse Hill - Beaumont Hills",1117,3215,505,35,763,5635,
"Blacktown (East) - Kings Park",1438,2124,662,126,2565,6908,
"Blacktown (North) - Marayong",1578,2704,1044,106,2293,7721,
"Doonside - Woodcroft",1532,3418,1149,127,2001,8228,
"Lalor Park - Kings Langley",2090,3453,1173,136,2915,9766,
"Blacktown - South",887,1760,600,76,1360,4685,
"Blacktown - West",1291,2230,719,101,1890,6229,
"Seven Hills - Prospect",1321,2091,579,73,1586,5645,
