"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"Blackheath - Megalong Valley",0,1222,13,0,0,4,0,2832,503,230,23,3,113,65,112,0,21,5,0,12,0,30,37,0,65,18,0,24,0,0,21,19,0,0,0,0,14,17,9,348,5764,
"Blaxland - Warrimoo - Lapstone",0,5036,37,0,0,20,3,9404,1537,600,42,5,474,180,319,0,91,8,0,53,0,54,101,0,201,31,0,119,16,0,22,51,4,5,0,7,50,23,18,464,18993,
"Blue Mountains - North",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"Katoomba - Leura",0,2614,38,0,0,32,6,6355,1216,531,75,0,386,151,274,0,39,14,0,28,0,130,133,0,259,116,0,135,5,3,41,47,7,4,0,0,28,33,25,625,13348,
"Lawson - Hazelbrook - Linden",0,2936,35,0,0,10,5,5598,884,445,27,0,283,139,206,0,33,10,0,14,4,35,74,0,114,30,0,68,0,3,20,62,0,0,0,0,32,16,20,333,11445,
"Springwood - Winmalee",5,5820,64,5,0,35,0,10890,1745,700,54,0,566,239,329,3,51,0,0,27,0,51,107,0,156,25,0,114,9,0,45,91,17,5,0,0,65,27,18,703,21964,
"Wentworth Falls",0,1356,18,0,0,8,0,3135,551,225,13,0,173,80,137,0,23,0,0,10,0,44,42,0,87,31,0,58,7,0,11,21,0,0,0,0,10,14,6,357,6428,
"Blue Mountains - South",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"Cambridge Park",10,4888,144,0,0,226,0,6154,834,362,15,0,539,195,192,20,173,0,0,65,0,71,229,0,162,44,0,465,28,0,16,45,7,3,0,6,45,20,34,991,16004,
"Emu Plains - Leonay",0,3998,54,0,0,41,3,6102,1054,440,29,4,453,267,186,4,93,3,0,41,0,42,117,0,134,11,0,141,28,3,21,32,0,0,0,0,26,16,10,571,13914,
"Glenmore Park - Regentville",14,5869,78,3,0,132,0,7718,1060,505,28,5,1189,447,235,14,314,3,16,208,0,76,484,0,358,80,0,1175,58,8,15,80,9,0,0,0,127,27,55,628,21002,
"Jamisontown - South Penrith",8,4923,100,0,0,140,0,6953,1039,430,26,0,534,292,181,10,183,0,11,98,0,65,224,0,320,42,0,600,25,4,13,55,10,0,0,4,76,24,28,880,17326,
"Kingswood - Werrington",8,5256,220,15,0,465,0,6697,901,387,22,0,840,428,219,26,388,4,92,184,3,215,1125,0,563,79,0,3751,88,3,21,133,24,0,0,122,171,42,179,1930,24625,
"Mulgoa - Luddenham - Orchard Hills",0,2951,49,0,0,33,0,3915,460,267,19,0,1438,374,110,6,366,0,8,135,0,52,185,0,175,23,0,780,50,0,12,75,4,9,0,10,55,4,31,451,12040,
"Penrith",0,4174,112,6,0,215,0,6081,858,453,23,0,536,341,180,10,165,0,21,113,4,184,482,0,594,157,0,1033,53,0,15,102,9,0,0,41,77,21,58,1839,17966,
"Warragamba - Silverdale",0,1853,20,0,0,15,0,2307,253,129,8,0,698,169,62,0,49,0,0,32,0,38,23,0,32,3,0,24,9,0,4,36,0,0,0,0,8,3,18,228,6025,
"Cranebrook - Castlereagh",0,5101,75,5,0,136,0,6626,932,408,23,0,993,285,147,8,151,0,11,84,0,59,224,0,237,43,0,374,36,0,18,64,9,0,0,10,50,26,38,854,17029,
"Jordan Springs - Llandilo",12,3050,75,4,0,159,0,3476,409,172,11,0,926,175,86,4,166,0,69,54,3,59,750,0,376,84,0,2290,63,4,5,30,10,3,0,55,80,26,108,591,13388,
"Richmond - Clarendon",0,4224,59,3,0,36,0,6423,823,431,29,0,631,313,135,0,39,0,0,31,0,54,126,0,182,23,0,428,3,3,19,40,0,4,0,18,36,24,33,1085,15239,
"Windsor - Bligh Park",6,4852,59,7,0,34,0,6315,808,304,31,0,656,169,112,3,108,0,3,53,6,50,172,0,134,26,0,330,4,0,12,41,3,0,0,11,43,12,37,858,15264,
"Yarramundi - Londonderry",0,1732,37,0,0,30,0,2170,242,159,9,0,961,132,74,20,96,0,0,8,0,12,26,0,97,12,0,110,3,0,7,3,5,0,0,10,20,8,5,1520,7504,
"Erskine Park",9,1505,64,0,0,157,0,1887,262,134,7,7,459,198,59,12,245,0,40,108,0,38,339,0,79,19,0,365,56,10,5,49,15,0,0,9,39,10,12,292,6486,
"St Clair",7,4613,219,0,0,500,0,5824,745,371,34,0,1176,652,192,26,867,0,70,352,0,138,947,0,307,67,0,1120,231,6,22,145,22,4,0,27,128,16,64,1066,19942,
"Colyton - Oxley Park",18,2822,165,0,0,561,0,3205,377,229,14,3,493,402,111,20,532,0,126,195,4,124,672,0,212,45,0,967,153,0,10,50,13,3,0,100,58,27,153,1142,13028,
"St Marys - North St Marys",36,3603,209,0,0,752,0,4333,570,272,26,0,573,471,214,8,385,0,191,125,3,167,906,0,322,63,0,1322,89,5,9,61,4,0,0,203,87,47,192,2069,17325,
"Rookwood Cemetery",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Auburn - Central",0,885,5,0,0,129,0,1164,68,45,0,0,202,229,51,53,1820,0,56,1688,14,237,269,0,3880,328,0,4696,1101,0,3,37,0,0,0,30,181,98,167,2052,19487,
"Auburn - North",4,313,13,0,0,63,0,601,20,10,0,0,59,99,31,5,262,0,21,603,12,123,236,0,2236,116,0,4117,562,0,8,34,4,0,0,12,39,76,84,831,10592,
"Auburn - South",3,693,22,0,0,139,0,639,70,30,4,0,103,116,61,69,1378,0,38,703,4,205,140,0,2029,126,0,807,403,0,0,27,4,0,0,5,102,35,24,872,8860,
"Berala",0,471,24,0,0,184,0,758,103,35,7,0,140,369,92,23,495,0,14,158,5,434,332,0,3106,256,0,594,223,6,8,19,6,0,0,0,51,30,52,635,8610,
"Lidcombe",5,952,38,0,0,204,0,1461,220,68,7,0,347,420,175,43,807,0,4,707,0,1047,787,0,5485,3494,0,3043,169,8,10,103,14,0,0,18,80,36,104,1353,21197,
"Regents Park",6,342,18,3,0,113,0,536,76,24,0,0,109,169,49,30,522,3,30,84,4,385,144,0,1196,104,0,515,150,0,4,35,3,0,0,21,48,20,48,342,5138,
"Silverwater - Newington",0,673,38,0,0,59,0,1153,234,107,10,0,324,159,102,17,255,0,3,178,8,101,318,0,1722,1240,0,683,74,0,4,65,8,0,0,7,42,20,23,1629,9246,
"Wentworth Point - Sydney Olympic Park",0,1124,79,5,0,90,0,2423,319,205,19,0,589,269,278,71,761,0,7,628,10,398,656,0,6149,2823,0,1593,97,18,22,287,26,3,0,22,99,46,70,1245,20412,
"Ermington - Rydalmere",6,3214,116,7,0,208,4,4770,742,309,44,0,1088,462,262,44,1354,3,17,499,9,289,714,0,4510,2023,0,1271,707,16,30,199,20,8,0,34,157,40,76,1410,24641,
"Oatlands - Dundas Valley",0,2089,56,0,0,81,0,3114,495,231,24,0,540,357,244,21,1422,6,8,385,3,237,363,0,4621,1540,0,1004,284,5,13,102,0,0,0,25,67,46,73,1054,18508,
"Carlingford - East",0,1145,21,0,0,16,0,1951,322,103,4,0,274,149,101,3,290,0,0,149,4,126,202,0,4097,890,0,1219,101,0,3,25,5,8,0,6,19,16,45,336,11622,
"Carlingford - West",5,1503,22,0,0,85,0,2615,399,189,13,0,358,205,155,34,345,0,0,479,4,243,352,0,7648,1189,0,2302,130,6,14,79,8,0,0,3,63,21,90,676,19251,
"Chester Hill - Sefton",3,2187,53,0,0,373,0,2154,251,115,4,0,448,466,214,131,4144,0,10,320,6,2357,299,0,2683,172,0,666,473,10,9,56,8,0,0,68,125,68,106,2857,20842,
"Fairfield - East",13,1485,58,0,0,377,0,1256,134,85,15,0,408,313,141,100,2888,0,56,450,0,2963,363,0,1531,27,0,383,309,4,9,163,22,0,0,44,48,61,94,1953,15742,
"Granville - Clyde",10,1827,61,8,0,441,0,2093,231,104,5,0,392,295,120,186,3913,0,30,787,9,545,850,0,2898,254,0,4415,822,7,14,105,5,8,0,92,125,76,189,2342,23250,
"Guildford - South Granville",10,2476,64,3,0,365,0,2058,199,66,4,0,320,277,105,175,6741,4,64,782,7,499,334,0,1342,141,0,1518,1211,0,12,57,4,0,0,71,208,88,155,3035,22386,
"Guildford West - Merrylands West",22,2828,111,0,0,541,0,2887,367,160,4,6,765,489,167,155,4980,0,73,989,3,452,548,0,1311,73,0,1416,1635,4,11,161,7,0,0,168,159,109,189,2132,22929,
"Smithfield Industrial",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"Yennora Industrial",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
"Greystanes - South",21,2865,75,4,0,204,0,3005,537,188,15,0,1614,1027,207,54,2853,0,25,501,0,167,318,0,591,53,0,807,293,0,15,121,9,0,0,9,65,19,34,953,16645,
"Merrylands - Holroyd",9,2195,93,0,0,490,0,2032,239,133,3,0,690,790,161,167,4317,0,37,994,5,358,593,0,2080,130,0,2829,1896,7,20,191,8,0,0,124,186,135,219,2657,23806,
"Pemulwuy - Greystanes (North)",9,1502,94,0,0,157,0,1668,313,110,3,0,1112,480,107,59,1157,0,11,368,4,129,387,0,612,65,0,1524,203,3,4,88,3,0,0,14,38,25,37,622,10893,
"South Wentworthville",0,813,63,0,0,99,0,932,124,56,0,0,395,133,65,48,1585,0,10,227,0,105,213,0,383,38,0,907,224,0,3,62,10,0,0,20,53,24,64,653,7305,
"North Parramatta",13,2188,108,15,3,188,0,3567,552,231,25,0,525,574,295,67,1380,10,17,704,6,319,848,0,2813,544,0,5049,335,9,26,200,14,3,4,89,132,77,170,1767,22878,
"North Rocks",5,1226,17,0,0,20,0,2145,304,127,19,0,262,193,103,8,297,0,0,180,0,96,105,0,1863,435,0,619,46,0,15,32,0,0,0,0,28,8,20,261,8451,
"Northmead",9,2297,74,0,0,140,0,3634,604,215,18,0,532,354,210,36,612,10,21,530,9,185,614,0,1587,521,0,6130,147,12,28,153,4,0,4,59,132,59,145,1178,20275,
"Toongabbie - Constitution Hill",8,3445,130,7,0,329,0,4635,785,279,30,4,816,440,259,32,1101,0,25,289,9,249,616,0,1525,396,0,5578,152,3,15,101,8,5,0,47,84,52,61,1344,22853,
"Winston Hills",0,2177,27,0,0,44,0,3401,552,197,18,0,525,356,170,15,693,0,0,182,3,88,177,0,1012,234,0,815,88,9,10,62,13,6,0,0,52,10,21,244,11199,
"Pendle Hill - Girraween",4,1011,42,0,0,103,0,1520,151,86,7,0,535,207,73,12,451,0,53,186,0,73,273,0,501,73,0,7135,126,0,12,57,5,0,0,18,61,49,67,1049,13939,
"Wentworthville - Westmead",12,1225,61,0,0,145,0,1775,221,120,10,0,355,280,88,27,876,0,16,344,8,180,494,0,1376,175,0,11258,241,3,9,73,6,4,0,54,91,56,129,1840,21568,
"Parramatta - North",0,376,20,0,0,69,0,899,115,58,4,0,136,96,58,24,219,0,0,207,13,184,380,0,1776,171,0,6048,62,5,12,75,3,3,0,8,33,31,46,914,12062,
"Parramatta - South",0,562,28,0,0,90,0,816,74,58,6,0,84,154,44,28,450,0,8,205,5,145,302,0,1326,123,0,4275,114,4,7,57,4,0,0,45,32,23,103,699,9867,
"Rosehill - Harris Park",0,570,35,0,0,97,0,884,104,53,5,0,84,121,57,21,570,0,20,107,5,86,253,0,788,61,4,4159,95,3,0,29,0,0,0,9,45,35,52,689,9034,
"Pennant Hills - Cheltenham",0,3466,61,0,0,28,0,6661,1089,360,45,0,481,177,293,15,402,10,0,230,3,207,266,0,4173,660,0,2003,90,0,37,66,4,0,0,7,135,28,40,703,21737,
"Epping (East) - North Epping",0,1403,31,3,0,18,0,2777,385,201,24,0,258,95,152,10,75,3,6,131,9,174,271,0,4584,1047,0,2079,47,3,17,56,4,0,0,9,48,21,39,445,14404,
"Epping (NSW) - West",0,1281,24,6,0,16,0,2570,407,183,16,0,284,127,144,3,117,0,0,208,7,215,300,0,7547,1859,0,2424,75,19,12,59,3,4,0,0,37,36,54,639,18690,
"Gladesville - Huntleys Point",0,2507,38,0,0,27,0,4657,1024,291,28,0,1560,769,262,24,333,12,0,170,0,149,227,0,1575,232,0,507,92,5,27,170,22,0,0,4,63,22,34,609,15456,
"Hunters Hill - Woolwich",0,1634,24,0,0,12,0,3304,795,206,25,3,673,442,188,17,262,3,0,80,0,70,60,0,805,85,0,201,58,0,22,31,4,0,0,5,47,8,24,749,9844,
"Macquarie Park - Marsfield",4,1909,46,7,0,48,0,3814,623,345,56,3,842,282,362,61,259,28,0,487,14,459,893,0,7217,1178,0,2826,313,18,30,169,22,13,0,20,111,60,112,1197,23818,
"North Ryde - East Ryde",6,1933,33,0,0,30,0,3315,585,281,26,3,787,397,227,18,242,10,0,311,4,247,463,0,3270,666,0,1143,514,3,24,135,7,8,0,0,47,20,28,826,15622,
"West Ryde - Meadowbank",0,1984,50,5,0,78,0,3429,645,266,29,0,822,434,285,22,636,11,4,317,4,366,758,0,4766,1667,0,2057,245,10,30,166,9,0,0,17,62,28,69,820,20102,
"Putney",0,581,6,0,0,8,0,998,196,56,0,0,570,265,52,11,241,5,0,36,0,86,40,0,610,39,0,130,37,0,10,29,7,0,0,3,24,0,8,128,4163,
"Denistone",0,808,14,5,0,6,0,1606,283,119,14,7,357,129,79,3,194,0,0,47,0,70,89,0,2198,328,0,308,61,0,17,15,3,3,0,0,12,10,17,173,6969,
"Eastwood",0,1273,13,0,0,18,0,2460,402,175,17,0,500,178,95,17,195,14,0,115,0,291,365,0,9005,1648,0,1118,163,0,16,53,6,4,0,7,23,31,32,759,18974,
"Ryde - North",3,2277,74,3,0,68,0,3881,689,256,52,3,1842,800,259,33,611,6,0,457,5,272,730,0,3770,693,0,1221,975,3,20,209,3,6,0,13,94,20,54,873,20291,
"Ryde - South",4,1048,37,0,0,15,0,1818,362,116,12,0,695,300,166,23,302,0,5,393,3,162,329,0,3036,869,0,1044,165,0,28,146,8,6,0,14,37,40,53,746,11972,
"Ashcroft - Busby - Miller",18,3195,117,3,0,833,0,2838,256,150,7,0,379,419,76,133,2920,0,46,301,3,2205,258,0,556,11,0,479,68,14,27,155,54,0,0,46,62,64,48,2225,17962,
"Austral - Greendale",7,1690,44,0,0,251,0,1778,215,162,3,0,1971,587,101,73,1032,0,8,657,0,412,277,0,598,19,0,1235,41,5,4,100,21,7,0,33,42,35,46,1070,12533,
"Badgerys Creek",0,6,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
"Cecil Hills",0,611,18,0,0,121,0,596,68,45,0,0,985,628,62,33,560,0,3,836,0,710,272,0,531,12,0,255,23,9,3,141,16,0,0,5,27,18,23,289,6906,
"Green Valley",14,1107,51,0,0,324,0,957,87,60,9,0,939,749,102,67,1221,0,19,1038,0,2279,352,0,1171,19,0,892,60,33,10,295,48,0,0,32,37,30,52,886,12919,
"Hinchinbrook",4,1411,50,0,0,426,0,1124,140,103,7,0,1001,878,82,62,1675,0,19,1434,3,1335,403,0,747,0,0,788,42,15,17,308,43,0,0,32,73,14,57,726,13038,
"Hoxton Park - Carnes Hill - Horningsea Park",6,1429,68,0,0,478,0,1352,131,117,3,0,1088,1012,72,91,1292,0,47,1192,3,975,507,0,651,15,0,1281,48,30,16,318,33,3,0,54,127,42,64,726,13263,
"West Hoxton - Middleton Grange",11,1870,102,5,0,375,0,1882,186,143,10,3,2067,1373,132,106,1600,0,55,2027,0,952,535,0,743,22,0,1355,103,14,17,368,35,0,0,57,97,62,65,843,17194,
"Cobbitty - Bringelly",0,1183,11,0,0,42,0,1671,245,113,0,0,541,127,78,0,94,0,9,49,0,23,39,0,80,5,0,67,3,0,5,46,0,0,0,9,31,12,20,254,4761,
"Gledswood Hills - Gregory Hills",8,2736,92,0,0,319,0,3005,430,139,16,0,1309,699,101,38,658,5,21,338,9,295,545,0,368,24,0,1717,79,4,19,288,18,0,0,77,177,38,94,634,14299,
"Leppington - Catherine Field",4,1748,35,0,0,263,0,2060,295,148,12,0,1488,784,105,31,666,0,10,464,3,370,444,0,600,32,0,1894,23,15,16,183,11,0,0,69,92,24,104,553,12559,
"Oran Park",8,3105,88,13,0,287,0,3550,435,217,22,0,1393,679,130,77,616,0,76,592,6,248,436,0,444,30,0,3107,111,9,20,337,25,0,0,105,238,38,194,968,17624,
"Bonnyrigg Heights - Bonnyrigg",8,1289,32,0,9,328,0,1152,89,78,0,0,966,1154,101,59,1164,0,8,1433,6,4545,337,0,2166,19,0,411,104,11,11,260,49,0,0,10,46,18,48,1236,17154,
"Bossley Park - Abbotsbury",11,1620,53,0,0,136,0,1687,239,154,22,5,3189,1354,190,99,2160,0,15,4045,0,1015,470,0,1010,11,0,217,199,21,10,441,28,3,0,7,36,89,25,1165,19690,
"Cabramatta - Lansvale",4,1174,77,4,0,495,0,1485,124,132,6,0,292,545,177,30,343,0,3,147,0,9550,327,0,6057,33,4,172,29,4,3,106,11,4,0,56,28,39,72,2569,24101,
"Cabramatta West - Mount Pritchard",35,1663,85,0,0,563,0,1729,182,135,17,0,831,1088,144,29,1134,0,19,424,0,5305,204,0,2209,11,0,148,72,8,14,179,25,0,0,44,27,36,56,1826,18249,
"Canley Vale - Canley Heights",6,1358,50,0,0,386,0,1505,99,111,0,0,404,497,178,28,754,5,24,763,5,8168,270,0,4912,40,0,131,46,9,15,150,32,0,0,28,26,34,68,2147,22261,
"Edensor Park",0,707,26,0,0,133,0,727,75,54,5,0,1182,841,106,29,997,0,0,2049,0,1296,157,0,815,4,0,125,91,0,0,166,18,0,0,7,13,26,20,608,10279,
"Fairfield",19,1084,52,3,0,365,0,1120,109,111,14,3,551,780,105,91,2894,4,27,3860,0,2161,379,0,1798,18,0,364,181,7,20,236,15,0,0,48,45,90,66,1643,18248,
"Fairfield - West",11,1471,72,0,0,267,0,1583,145,149,6,0,884,881,139,95,3016,0,16,4459,0,3329,242,0,1764,11,0,165,222,9,11,340,16,0,0,21,42,59,35,1799,21249,
"Greenfield Park - Prairiewood",0,503,7,0,0,91,0,556,66,40,4,0,707,497,90,37,849,0,4,2454,0,1086,158,0,733,12,0,88,59,0,8,205,9,0,0,7,15,36,23,502,8855,
"Horsley Park - Kemps Creek",0,542,10,0,0,32,0,529,77,57,0,0,1594,302,48,4,197,0,0,335,0,98,15,0,96,0,0,58,11,0,0,36,0,5,0,0,0,3,4,276,4344,
"Smithfield - Wetherill Park",6,1911,56,0,0,360,0,1980,229,194,11,5,2056,979,149,91,2909,0,35,3250,0,1566,278,0,969,18,0,256,308,27,19,439,45,3,0,15,51,79,46,1169,19510,
"St Johns Park - Wakeley",9,718,22,0,0,122,0,683,72,53,0,0,680,1045,90,29,702,0,8,1327,0,2354,178,0,1917,12,0,84,126,15,8,209,11,0,0,7,17,35,10,648,11197,
"Wetherill Park Industrial",0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,37,
"Casula",21,1866,89,0,0,479,0,2057,227,160,6,4,1139,1555,259,150,2580,0,52,348,3,687,503,0,730,29,0,1653,98,14,13,180,30,11,0,113,149,47,95,1225,16584,
"Chipping Norton - Moorebank",0,3276,127,3,0,311,0,3801,542,254,13,5,1570,1887,249,99,2455,0,44,247,0,1292,396,0,1286,66,0,1221,27,0,29,186,14,5,0,14,87,32,83,1184,20813,
"Holsworthy - Wattle Grove",10,4412,141,11,0,262,0,5580,803,315,24,0,966,879,247,31,1051,3,17,91,9,331,637,0,1051,77,0,2355,40,20,25,227,19,0,0,21,144,51,68,1224,21129,
"Lurnea - Cartwright",11,1973,71,0,0,361,0,1652,166,85,8,0,435,634,103,128,3086,0,29,302,0,779,228,0,316,5,0,571,55,10,11,126,31,0,0,18,38,33,52,1375,12670,
"Warwick Farm",0,577,26,0,0,155,0,654,63,44,0,3,130,461,77,22,524,0,21,158,0,452,189,0,389,27,0,882,53,7,4,73,7,9,0,62,56,18,99,682,5937,
"Edmondson Park",11,1051,66,0,0,358,0,1021,101,56,3,0,481,664,61,66,775,0,10,415,5,514,453,0,922,74,0,3555,73,0,15,118,9,4,0,72,110,59,105,842,12080,
"Liverpool - East",12,1227,92,6,0,476,0,1397,146,117,0,5,400,1920,189,100,2115,0,68,620,7,690,627,0,879,75,0,3082,164,7,19,208,33,0,0,188,123,54,243,2247,17536,
"Liverpool - West",14,1342,54,0,0,388,0,1331,159,141,6,3,563,1462,164,157,2825,0,76,365,0,866,304,0,523,12,0,1061,69,14,7,128,36,4,0,96,24,48,81,1403,13737,
"Prestons",16,1887,70,0,0,592,0,1757,205,128,12,4,915,1121,127,98,1593,0,17,736,7,672,720,0,659,20,0,2495,143,19,12,258,12,6,0,102,156,29,102,1001,15692,
"Gymea - Grays Point",0,4605,66,0,0,26,0,8172,1296,437,43,8,763,497,332,0,132,6,0,36,0,75,140,0,529,44,0,192,5,3,30,113,4,0,0,0,50,13,19,514,18156,
"Miranda - Yowie Bay",11,4244,149,7,0,84,0,7622,1213,450,30,3,1085,1114,430,15,275,0,9,85,0,199,358,0,1275,136,0,381,25,6,21,280,13,4,0,3,107,26,37,1006,20705,
"Sylvania - Taren Point",0,2818,56,0,0,36,6,5002,700,280,38,4,1073,2362,239,27,640,4,6,80,0,102,113,0,1421,51,0,229,22,8,18,145,12,0,0,8,46,26,29,815,16430,
"Caringbah",0,3025,116,5,0,32,0,5157,854,259,19,0,535,533,278,14,90,4,0,25,0,86,174,0,537,49,0,182,8,4,21,126,4,6,0,3,56,9,13,636,12858,
"Caringbah South",4,3434,38,5,0,13,0,5879,909,264,29,3,646,551,122,5,125,4,0,25,0,31,46,0,249,24,0,60,6,3,14,60,3,0,0,0,35,8,7,423,13015,
"Cronulla - Kurnell - Bundeena",0,5771,123,6,0,40,0,11067,1934,715,89,0,1079,700,417,7,144,0,0,29,0,85,126,0,244,52,0,73,9,9,60,186,16,9,0,4,81,29,28,1219,24374,
"Lilli Pilli - Port Hacking - Dolans Bay",0,868,8,0,0,5,0,1539,255,79,4,0,169,181,31,0,38,0,0,6,0,3,9,0,67,0,0,5,0,0,6,3,3,0,0,0,10,0,0,68,3369,
"Woolooware - Burraneer",0,2269,36,0,0,10,0,4080,603,217,29,0,454,387,111,0,67,4,0,12,0,65,38,0,119,18,0,45,3,3,19,48,0,0,0,0,24,10,15,251,8947,
"Heathcote - Waterfall",0,1880,17,0,0,12,0,3218,467,156,9,0,160,70,69,0,15,0,0,10,0,28,25,0,71,10,0,42,0,0,7,16,0,0,0,0,19,3,11,342,6673,
"Illawong - Alfords Point",0,2079,42,0,0,30,0,3268,512,169,15,0,756,1283,170,13,850,7,0,57,0,103,88,0,511,35,0,148,12,4,13,58,0,0,0,6,43,9,8,265,10554,
"Menai - Lucas Heights - Woronora",0,5336,81,0,0,46,0,8341,1179,464,35,0,1165,1244,292,11,429,9,12,70,0,107,162,0,650,41,0,304,26,0,33,176,10,0,0,0,137,27,28,518,20927,
"Oyster Bay - Como - Jannali",0,5317,77,0,0,39,0,9720,1554,550,72,3,787,873,384,3,187,8,0,48,0,75,143,0,978,62,0,217,10,4,37,105,9,7,0,0,88,11,27,650,22063,
"Royal National Park",0,14,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,42,
"Sutherland - Kirrawee",0,5261,120,0,0,81,0,9255,1464,506,50,0,996,698,501,15,241,5,0,72,3,195,330,0,1109,168,0,554,9,21,47,201,12,9,0,5,120,28,41,1120,23238,
"Engadine",0,5181,58,0,0,16,0,8148,1203,420,31,0,487,203,198,0,58,0,9,27,0,73,93,0,260,25,0,133,4,0,23,73,3,3,0,3,51,16,19,523,17356,
"Loftus - Yarrawarrah",0,2196,35,0,0,12,0,3509,548,150,17,0,195,92,86,0,27,0,0,12,0,20,44,0,110,6,0,61,0,3,11,26,0,0,0,0,17,7,5,145,7348,
"Woronora Heights",0,1057,12,0,0,0,0,1621,258,111,12,0,139,84,44,0,15,0,0,6,0,3,21,0,37,3,0,33,0,0,6,5,0,0,0,0,11,0,3,64,3539,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"No usual address (NSW)",0,2433,37,12,0,60,0,2915,419,290,23,0,199,111,78,5,101,8,3,45,0,76,101,0,258,35,0,150,7,4,13,48,0,4,5,18,29,44,18,3846,11371,
