"TENLLD Tenure and Landlord Type","Owned outright","Owned with a mortgage","Rented: Real estate agent","Rented: State or territory housing authority","Rented: Community housing provider","Rented: Person not in same household","Rented: Other landlord type","Rented: Landlord type not stated","Other tenure type","Tenure type not stated","Tenure type not applicable","Total",
"Blacktown - South",1080,1437,1005,209,16,201,43,14,41,255,202,4499,
"Blacktown - West",1326,1833,1530,85,30,280,47,20,68,428,337,5984,
"Seven Hills - Prospect",1520,1884,1056,184,19,208,22,11,44,273,254,5477,
"Toongabbie - West",867,1464,936,275,54,108,19,5,33,215,248,4219,
"Glenwood",1101,2442,752,3,0,112,18,0,37,101,93,4651,
"Acacia Gardens",232,654,190,0,0,32,3,0,3,19,19,1151,
"Quakers Hill",1579,3640,1876,159,8,220,35,10,40,299,282,8151,
"Kellyville Ridge - The Ponds",929,3542,1167,6,8,107,57,3,135,151,191,6294,
"Marsden Park - Shanes Park",467,3071,747,0,0,79,21,0,27,212,122,4749,
"Riverstone",719,2087,1160,76,67,148,30,6,46,263,223,4811,
"Schofields (West) - Colebee",275,1844,563,0,0,67,19,3,13,120,92,3002,
"Schofields - East",433,4124,2742,3,0,165,30,10,38,444,604,8601,
"Stanhope Gardens - Parklea",814,1978,615,0,4,84,27,7,22,103,124,3785,
"Bidwill - Hebersham - Emerton",1140,1450,1014,1465,94,240,46,12,55,698,297,6510,
"Glendenning - Dean Park",450,1213,527,74,8,97,8,7,30,137,86,2648,
"Hassall Grove - Plumpton",1249,3005,1219,48,23,291,40,9,78,330,152,6443,
"Lethbridge Park - Tregear",996,2179,1413,1387,105,197,41,22,127,707,445,7614,
"Mount Druitt - Whalan",1358,1910,2329,656,85,334,89,27,68,629,671,8163,
"Prospect Reservoir",0,0,0,0,0,0,12,0,5,5,3,21,
"Rooty Hill - Minchinbury",1659,2787,1358,187,43,273,45,13,99,405,292,7156,
"Banksmeadow",25,56,113,0,0,10,4,0,0,45,27,280,
"Botany",963,1927,1337,177,35,137,95,8,43,250,456,5423,
"Pagewood - Hillsdale - Daceyville",1215,1412,2034,535,60,204,77,17,68,391,634,6651,
"Port Botany Industrial",0,3,0,0,0,0,0,0,0,0,0,5,
"Sydney Airport",0,0,0,0,0,0,0,0,0,4,0,9,
"Eastlakes",975,783,913,460,37,123,18,7,68,233,384,3991,
"Mascot",1317,1993,3953,73,30,445,140,22,108,472,1059,9602,
"Petersham - Stanmore",1736,2383,3175,145,119,513,52,10,93,317,1115,9663,
"Sydenham - Tempe - St Peters",773,1200,939,11,14,200,10,5,33,121,318,3604,
"Marrickville - North",1155,1433,1624,121,53,299,33,12,51,213,453,5450,
"Marrickville - South",1382,1473,2100,246,115,341,44,10,61,293,641,6699,
"Darlinghurst",917,1054,2690,106,28,511,44,9,61,323,1198,6938,
"Erskineville - Alexandria",1141,2990,3922,172,78,523,96,9,59,425,1022,10443,
"Glebe - Forest Lodge",1641,1699,3946,1084,270,560,48,25,162,622,1611,11655,
"Potts Point - Woolloomooloo",1836,1602,5200,417,57,815,63,24,146,687,2632,13482,
"Surry Hills",1076,1449,3808,651,60,594,51,12,98,602,1352,9746,
"Camperdown - Darlington",508,696,1371,35,23,233,18,6,37,123,496,3543,
"Chippendale",336,477,2385,69,81,285,49,10,57,333,780,4862,
"Newtown (NSW)",1124,1540,2947,230,52,502,71,4,66,320,865,7711,
"Pyrmont",1014,1012,2635,201,234,356,47,14,82,431,933,6961,
"Redfern",879,1258,2214,1034,203,395,30,12,77,545,976,7619,
"Rosebery - Beaconsfield",857,1465,2485,10,14,284,60,8,61,290,651,6187,
"Sydney (North) - Millers Point",752,500,2297,24,0,257,50,6,84,356,2072,6405,
"Sydney (South) - Haymarket",896,813,4948,8,26,642,116,30,182,678,1879,10221,
"Ultimo",365,363,1419,95,98,328,69,7,38,342,617,3742,
"Waterloo",502,1447,3644,1648,81,385,125,28,115,777,1360,10115,
"Zetland",452,1209,3697,30,136,352,105,10,81,291,1104,7466,
"Bondi - Tamarama - Bronte",1889,1754,3031,123,25,615,46,18,143,464,955,9062,
"Bondi Beach - North Bondi",1658,1839,3955,115,24,746,53,23,110,520,1450,10494,
"Bondi Junction - Waverly",1881,1663,2724,101,59,456,47,19,115,533,978,8571,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,
"Dover Heights",1261,1325,1153,11,21,215,14,9,77,209,425,4726,
"Paddington - Moore Park",1726,1626,2518,43,16,456,37,8,124,236,1136,7925,
"Rose Bay - Vaucluse - Watsons Bay",1808,1138,830,0,8,242,35,10,153,200,516,4938,
"Woollahra",1135,757,856,13,12,182,12,0,121,127,560,3781,
"Bellevue Hill",2026,1476,1639,3,6,336,24,8,101,251,808,6678,
"Double Bay - Darling Point",1663,831,1653,0,0,362,6,6,109,277,1049,5969,
"Kensington (NSW)",1044,806,1998,52,36,277,46,4,63,216,961,5503,
"Kingsford",1379,1012,2087,125,47,327,30,5,81,226,568,5889,
"Maroubra - North",1360,943,939,47,23,142,6,0,120,137,328,4044,
"Maroubra - South",1062,998,1222,882,47,189,25,9,76,370,393,5275,
"Maroubra - West",1159,953,1340,35,19,200,12,8,68,155,357,4296,
"Randwick - North",1600,1682,2810,28,46,432,25,14,106,259,854,7853,
"Randwick - South",1158,1106,2156,84,22,303,73,6,121,254,717,5997,
"Coogee - Clovelly",2047,1801,3451,44,11,577,19,12,98,361,1088,9507,
"Malabar - La Perouse",1133,976,639,433,70,106,39,12,71,211,335,4033,
"Matraville - Chifley",1485,1466,789,518,88,139,16,8,63,282,302,5165,
"South Coogee",510,508,230,562,52,46,67,5,41,164,221,2406,
"Bass Hill - Georges Hall",2064,2159,849,892,102,280,89,10,129,678,409,7664,
"Chullora",46,204,128,12,20,13,3,0,3,31,29,491,
"Condell Park",1163,1185,573,84,29,218,68,9,71,293,195,3879,
"Padstow",1999,1992,1045,367,66,194,25,11,162,252,324,6436,
"Revesby",1710,1950,1106,495,83,215,42,13,80,241,348,6282,
"Yagoona - Birrong",1886,1983,1220,550,144,400,96,22,113,554,421,7386,
"Bankstown - North",1090,1397,2030,359,58,331,74,17,91,469,637,6561,
"Bankstown - South",1308,1342,1821,307,129,369,107,22,90,529,580,6612,
"Greenacre - North",1170,1339,607,470,85,189,51,14,87,384,300,4695,
"Greenacre - South",1118,1185,501,275,39,184,64,6,83,290,257,3999,
"Panania (North) - Milperra",1267,1514,533,212,41,116,13,9,36,148,173,4060,
"Panania (South) - Picnic Point",1915,2099,735,363,23,145,12,4,62,185,282,5821,
"Belmore - Belfield",1971,2007,1869,377,84,305,80,15,132,580,605,8029,
"Punchbowl",1711,1851,1454,408,89,337,101,9,91,566,506,7123,
"Roselands",1513,1677,942,183,60,155,31,7,83,249,407,5303,
"Lakemba",997,916,2370,96,36,298,74,16,52,503,516,5877,
"Wiley Park",617,688,1416,86,21,138,33,12,33,291,339,3672,
"Campsie - North",949,935,1488,81,45,281,81,14,59,274,438,4637,
"Campsie - South",576,538,1424,83,39,238,80,7,50,362,297,3690,
"Canterbury - South",1046,1394,1553,87,55,191,33,6,49,366,396,5178,
"Earlwood",2725,1992,931,43,18,240,16,11,88,229,417,6714,
"Kingsgrove - North",810,698,292,85,46,60,16,0,25,94,124,2251,
"Narwee - Beverly Hills",1566,1330,1009,404,133,191,36,12,75,241,330,5318,
"Oatley - Hurstville Grove",1918,1409,717,3,4,138,23,0,64,110,284,4675,
"Peakhurst - Lugarno",2658,2625,736,362,94,158,34,14,105,288,375,7458,
"Riverwood",798,975,978,1061,206,170,30,12,67,356,365,5029,
"South Hurstville - Blakehurst",2909,2682,1944,95,24,351,54,13,138,370,608,9193,
"Hurstville - Central",726,949,2069,44,18,313,58,15,84,200,557,5037,
"Hurstville - North",1339,1181,776,97,33,188,48,11,70,155,302,4206,
"Mortdale - Oatley",1850,1713,1308,53,19,199,27,6,54,194,323,5747,
"Penshurst",925,1044,1254,66,16,176,16,9,48,223,251,4026,
"Kingsgrove (South) - Bardwell Park",1840,1297,764,180,49,165,33,7,78,166,290,4878,
"Kogarah",1082,1397,1968,20,20,241,25,3,98,305,612,5759,
"Kogarah Bay - Carlton - Allawah",1767,1703,1792,67,37,210,30,4,75,280,481,6456,
"Monterey - Brighton-le-Sands - Kyeemagh",1910,1451,1760,89,29,230,26,6,69,380,559,6515,
"Rockdale - Banksia",1773,2042,2442,92,59,385,83,15,100,422,777,8186,
"Sans Souci - Ramsgate",2553,1902,1511,120,11,250,34,11,116,406,494,7405,
"Arncliffe - Bardwell Valley",1454,1805,1613,99,70,286,44,7,115,470,605,6564,
"Bexley - North",1170,1177,563,24,12,129,20,3,35,134,208,3479,
"Bexley - South",1726,1672,1583,24,21,260,34,13,68,270,518,6190,
"Wolli Creek",347,1265,2553,17,10,299,45,8,68,270,551,5432,
"Concord - Mortlake - Cabarita",3438,2500,2093,115,38,271,46,8,97,293,741,9638,
"Drummoyne - Rodd Point",2562,2227,1841,128,20,279,15,5,96,275,777,8220,
"Five Dock - Abbotsford",2772,2352,2293,316,109,333,25,10,118,315,729,9374,
"Concord West - North Strathfield",1412,1332,1211,60,37,168,119,6,56,187,355,4929,
"Rhodes",527,1401,2616,8,9,278,78,12,63,227,655,5874,
"Balmain",2089,1834,1890,292,38,316,14,3,79,261,887,7709,
"Lilyfield - Rozelle",1503,1846,1635,246,25,262,44,4,54,212,640,6462,
"Annandale (NSW)",980,1168,1260,57,45,220,8,6,46,186,472,4447,
"Leichhardt",1693,2359,2105,201,67,314,31,11,67,263,752,7858,
"Canterbury (North) - Ashbury",1410,1428,1368,31,35,204,17,0,47,173,448,5177,
"Croydon Park - Enfield",2123,1969,1421,226,46,249,35,4,138,282,426,6925,
"Dulwich Hill - Lewisham",1811,2176,2941,106,126,366,28,11,82,376,830,8842,
"Haberfield - Summer Hill",1733,1532,1543,61,48,220,11,6,66,150,508,5885,
"Homebush",806,2214,3714,117,28,377,172,19,104,492,1070,9127,
"Strathfield South",366,442,348,28,6,38,12,0,22,53,94,1416,
"Ashfield - North",983,1056,2126,44,77,284,31,3,72,188,560,5425,
"Ashfield - South",1216,1142,1746,58,51,274,44,10,214,201,611,5566,
"Burwood (NSW)",1052,1009,2928,140,54,465,145,27,129,392,730,7063,
"Croydon",1336,1076,862,79,24,181,35,5,69,134,273,4083,
"Strathfield - East",1210,1002,2725,57,29,352,63,25,138,364,713,6675,
"Strathfield - West",1196,1010,420,58,9,80,21,6,39,125,227,3203,
"Chatswood (West) - Lane Cove North",2126,2863,2582,64,65,345,38,14,156,315,759,9324,
"St Leonards - Naremburn",1076,1297,2582,36,47,270,25,7,64,213,546,6155,
"Artarmon",904,840,1431,120,71,168,9,6,65,142,325,4082,
"Castle Cove - Northbridge",2144,1495,527,3,11,122,11,7,113,108,312,4833,
"Chatswood - East",1877,1288,3270,57,46,441,84,19,211,292,1015,8606,
"Greenwich - Riverview",1812,1465,991,8,4,179,17,5,97,109,430,5125,
"Lane Cove",1701,2012,1891,50,94,272,66,9,102,168,532,6901,
"Willoughby",1650,1472,1008,40,48,208,11,3,59,113,342,4948,
"Asquith - Mount Colah",2374,3543,1298,20,24,217,16,9,46,168,353,8065,
"Berowra - Brooklyn - Cowan",1599,1878,338,0,4,141,12,0,35,60,259,4322,
"Normanhurst - Thornleigh - Westleigh",2260,2813,741,132,69,163,21,5,90,123,250,6674,
"Hornsby - East",862,1387,2107,123,81,261,38,7,65,195,438,5568,
"Hornsby - West",1181,1389,727,99,72,141,21,3,69,103,240,4050,
"Wahroonga (West) - Waitara",980,1425,1479,57,60,206,37,13,132,189,351,4929,
"Gordon - Killara",2930,2527,1909,4,13,257,26,6,132,207,795,8805,
"Lindfield - Roseville",3303,2786,1684,0,16,264,58,13,189,209,721,9255,
"Pymble",2181,2334,833,4,18,125,9,0,75,132,373,6081,
"St Ives",3073,2993,937,0,7,159,19,0,69,127,425,7823,
"Turramurra",2997,2618,827,6,41,155,10,14,274,136,536,7610,
"Wahroonga (East) - Warrawee",2465,2375,779,0,6,142,27,0,130,131,370,6430,
"Cremorne - Cammeray",2624,2015,3069,39,27,517,14,10,94,252,1097,9745,
"Crows Nest - Waverton",2128,1893,3600,80,58,481,20,10,118,238,1070,9700,
"Neutral Bay - Kirribilli",2070,1511,3703,181,100,587,23,13,160,401,1588,10342,
"North Sydney - Lavender Bay",1379,972,3102,36,16,377,53,11,124,336,1341,7753,
"Mosman - North",2350,1443,1458,24,29,270,11,5,112,225,773,6694,
"Mosman - South",2121,1554,1707,28,12,290,14,4,102,162,715,6709,
"Balgowlah - Clontarf - Seaforth",2777,2687,1153,69,21,224,28,9,69,186,420,7634,
"Manly - Fairlight",2779,1989,3415,131,65,798,40,27,149,371,1606,11382,
"Avalon - Palm Beach",2291,1635,493,0,0,212,14,6,59,152,863,5730,
"Bayview - Elanora Heights",1834,1346,235,7,17,148,13,4,267,180,481,4536,
"Newport - Bilgola",2035,1918,667,0,27,248,17,10,50,132,367,5459,
"Mona Vale - Warriewood (North)",2186,1718,728,4,26,257,24,4,212,251,358,5776,
"North Narrabeen - Warriewood (South)",1249,1591,451,0,0,199,30,5,21,128,148,3824,
"Beacon Hill - Narraweena",1553,1769,530,293,101,195,26,10,193,162,234,5063,
"Cromer",992,1081,226,15,16,102,15,9,203,109,130,2897,
"Forestville - Killarney Heights",1811,1614,488,57,55,137,14,0,107,112,197,4596,
"Freshwater - Brookvale",2262,2888,2331,100,35,515,29,15,112,294,641,9224,
"Manly Vale - Allambie Heights",1804,2427,1107,78,132,250,25,13,96,155,345,6444,
"Terrey Hills - Duffys Forest",550,439,82,0,0,87,19,0,16,33,71,1302,
"Belrose",1258,1156,245,0,9,76,4,0,103,66,167,3085,
"Collaroy - Collaroy Plateau",1743,1756,958,25,9,233,36,3,88,169,311,5340,
"Dee Why (South) - North Curl Curl",1031,1080,821,33,14,189,12,8,39,124,214,3554,
"Dee Why - North",1512,2271,3086,52,48,492,46,21,109,298,655,8580,
"Frenchs Forest - Oxford Falls",2051,2471,562,6,0,151,14,0,37,101,162,5562,
"Narrabeen - Wheeler Heights",1382,1257,1055,39,93,239,41,19,402,208,381,5107,
"Camden - Ellis Lane",1607,1939,502,97,16,136,12,5,173,159,249,4895,
"Currans Hill",307,1111,516,42,9,68,3,0,10,59,59,2181,
"Elderslie - Narellan",1148,2140,814,161,86,166,42,7,66,174,141,4940,
"Harrington Park",871,1877,390,3,0,51,7,0,13,74,51,3337,
"Mount Annan",1402,3231,933,60,13,168,23,7,26,163,147,6175,
"Spring Farm",328,1922,720,4,6,77,9,3,8,77,78,3236,
"Bradbury - Wedderburn",1387,2526,1309,833,38,264,29,5,72,394,338,7194,
"Campbelltown - Woodbine",1551,2488,2617,343,146,304,53,12,309,574,702,9108,
"Claymore - Eagle Vale - Raby",1586,2922,925,479,60,234,21,9,54,342,278,6900,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,
"Leumeah - Minto Heights",1726,2141,1130,329,98,209,17,12,51,320,300,6335,
"Minto - St Andrews",1437,2866,1174,643,36,217,32,15,52,372,256,7103,
"Rosemeadow - Glen Alpine",1866,2545,1204,623,30,210,23,7,244,426,230,7418,
"Denham Court - Bardia",484,2573,919,0,3,52,36,6,167,168,188,4607,
"Glenfield",722,1343,819,124,6,115,29,3,37,150,150,3498,
"Ingleburn",1538,2093,1292,286,23,193,21,10,51,302,284,6094,
"Macquarie Fields",998,1543,841,916,47,137,26,12,48,368,221,5156,
"Bargo",669,911,202,0,8,69,40,4,68,98,99,2164,
"Douglas Park - Appin",981,1773,296,10,6,80,20,5,141,159,149,3623,
"Picton - Tahmoor - Buxton",1874,2911,1116,78,81,216,32,4,189,296,415,7209,
"The Oaks - Oakdale",1073,1473,192,0,0,103,26,5,56,168,149,3249,
"Blackheath - Megalong Valley",1271,808,362,22,18,118,11,5,44,117,819,3590,
"Blaxland - Warrimoo - Lapstone",2828,2851,632,48,64,236,12,3,58,140,294,7172,
"Blue Mountains - North",5,0,0,0,0,0,0,0,0,0,0,7,
"Katoomba - Leura",2446,1753,1093,97,174,322,44,15,115,293,1343,7697,
"Lawson - Hazelbrook - Linden",1667,2068,423,13,43,158,7,4,38,130,344,4894,
"Springwood - Winmalee",3149,3550,768,21,58,245,19,9,182,191,386,8586,
"Wentworth Falls",1232,893,295,14,32,97,6,0,35,127,370,3104,
"Blue Mountains - South",7,0,0,0,0,0,0,0,0,0,0,10,
"Cambridge Park",1637,2309,1129,66,21,224,22,6,45,326,160,5956,
"Emu Plains - Leonay",1896,2046,652,109,13,147,14,0,44,147,151,5229,
"Glenmore Park - Regentville",1710,3410,1221,46,21,178,41,3,43,159,174,7000,
"Jamisontown - South Penrith",1962,2252,1595,171,45,262,22,10,53,291,366,7025,
"Kingswood - Werrington",1424,3229,2646,415,180,298,44,16,165,679,652,9752,
"Mulgoa - Luddenham - Orchard Hills",1100,1715,544,3,0,107,20,6,42,122,180,3838,
"Penrith",1211,1614,3542,606,247,310,39,19,174,660,991,9417,
"Warragamba - Silverdale",554,1058,177,0,0,54,9,3,21,72,80,2024,
"Cranebrook - Castlereagh",1338,2615,836,323,42,189,27,10,46,267,233,5921,
"Jordan Springs - Llandilo",489,2117,1106,21,56,90,43,5,54,146,167,4295,
"Richmond - Clarendon",1790,1748,1448,173,80,215,67,8,200,287,397,6416,
"Windsor - Bligh Park",1210,2133,1267,365,172,211,58,3,44,305,284,6059,
"Yarramundi - Londonderry",725,665,246,0,0,102,21,3,43,114,81,2011,
"Erskine Park",605,957,278,20,0,85,6,0,12,77,57,2097,
"St Clair",1934,2920,1045,42,8,225,22,10,53,306,181,6748,
"Colyton - Oxley Park",1000,1631,1138,125,41,206,30,9,41,354,215,4787,
"St Marys - North St Marys",1142,1556,2312,469,120,279,38,24,63,703,476,7187,
"Rookwood Cemetery",0,0,0,0,0,0,0,0,0,0,0,4,
"Auburn - Central",1151,1239,1829,161,62,363,173,23,108,584,465,6160,
"Auburn - North",545,598,1566,110,46,232,81,16,57,253,551,4054,
"Auburn - South",675,713,434,158,34,120,57,12,40,218,143,2612,
"Berala",883,640,729,98,34,177,50,10,43,168,219,3049,
"Lidcombe",1607,2015,2156,141,30,434,109,18,101,366,578,7555,
"Regents Park",434,402,409,173,9,89,39,9,30,95,149,1841,
"Silverwater - Newington",602,1066,864,0,0,98,33,5,27,92,203,2995,
"Wentworth Point - Sydney Olympic Park",644,2960,5076,14,30,399,111,19,93,508,1803,11662,
"Ermington - Rydalmere",1874,2867,1940,860,78,303,275,9,90,453,625,9376,
"Oatlands - Dundas Valley",1674,2175,1268,694,132,223,28,4,91,373,632,7298,
"Carlingford - East",1380,1339,738,12,21,131,20,8,123,117,270,4170,
"Carlingford - West",1874,2097,1789,96,19,202,41,6,58,188,587,6966,
"Chester Hill - Sefton",1603,1727,1061,599,98,344,101,22,115,585,404,6669,
"Fairfield - East",1135,1233,874,539,136,362,100,26,99,476,391,5370,
"Granville - Clyde",1542,1901,2254,353,92,429,147,30,129,686,924,8491,
"Guildford - South Granville",1308,1683,1198,859,291,364,150,21,121,836,631,7457,
"Guildford West - Merrylands West",1675,2161,1905,380,124,331,94,22,130,661,611,8098,
"Smithfield Industrial",4,0,0,0,0,4,0,0,0,0,0,16,
"Yennora Industrial",0,0,3,0,0,0,0,0,0,0,0,5,
"Greystanes - South",2148,1975,716,105,18,162,20,6,57,258,243,5709,
"Merrylands - Holroyd",1561,1891,2645,478,125,419,130,38,112,847,777,9023,
"Pemulwuy - Greystanes (North)",992,1498,562,39,3,109,17,5,102,162,154,3637,
"South Wentworthville",585,785,564,123,15,103,20,0,31,203,158,2592,
"North Parramatta",1251,2123,4168,494,175,458,47,23,179,654,1011,10579,
"North Rocks",1079,1138,414,0,0,64,5,0,27,68,105,2906,
"Northmead",1274,2170,3304,240,112,251,80,17,202,380,1167,9208,
"Toongabbie - Constitution Hill",2285,2614,1601,327,67,322,45,14,304,428,536,8544,
"Winston Hills",1453,1677,356,4,10,96,7,4,55,68,137,3865,
"Pendle Hill - Girraween",908,1567,1283,223,104,176,27,15,42,326,376,5051,
"Wentworthville - Westmead",935,1958,3098,535,133,285,45,14,69,604,836,8528,
"Parramatta - North",336,792,3293,47,14,308,38,18,43,368,920,6184,
"Parramatta - South",409,596,1901,191,48,239,46,12,42,234,531,4242,
"Rosehill - Harris Park",325,597,1894,138,51,238,47,13,57,268,556,4176,
"Pennant Hills - Cheltenham",2936,2747,1035,61,78,206,14,0,144,194,435,7853,
"Epping (East) - North Epping",1509,1562,1593,3,23,229,29,9,86,155,391,5593,
"Epping (NSW) - West",1860,1883,2112,49,39,298,67,8,83,186,542,7127,
"Gladesville - Huntleys Point",1834,2003,1732,206,76,210,12,9,68,194,558,6905,
"Hunters Hill - Woolwich",1386,1048,401,76,74,106,7,3,95,135,339,3670,
"Macquarie Park - Marsfield",1918,2354,4052,140,140,526,113,22,334,458,1483,11543,
"North Ryde - East Ryde",1674,1841,1369,163,76,248,29,6,69,235,341,6059,
"West Ryde - Meadowbank",1842,2302,3145,114,97,374,36,6,104,281,821,9136,
"Putney",623,499,160,3,5,38,4,0,16,44,87,1474,
"Denistone",985,842,300,6,0,76,10,0,36,52,108,2416,
"Eastwood",2000,1887,1782,195,105,410,72,14,101,273,546,7379,
"Ryde - North",2162,2275,2291,258,140,355,31,18,96,299,763,8681,
"Ryde - South",717,1484,2264,6,20,191,29,14,127,213,492,5565,
"Ashcroft - Busby - Miller",1027,1233,784,1598,119,240,101,26,73,646,488,6349,
"Austral - Greendale",1064,1346,709,0,3,221,46,9,114,307,257,4075,
"Badgerys Creek",5,0,0,0,0,0,5,0,0,0,0,8,
"Cecil Hills",665,882,215,3,0,47,7,0,17,68,52,1955,
"Green Valley",1107,1354,604,154,33,162,32,8,43,177,101,3783,
"Hinchinbrook",974,1725,502,41,17,135,36,4,20,163,86,3696,
"Hoxton Park - Carnes Hill - Horningsea Park",718,1973,576,37,18,124,28,0,42,163,85,3772,
"West Hoxton - Middleton Grange",907,2585,681,13,14,132,107,3,33,203,100,4781,
"Cobbitty - Bringelly",407,688,243,0,4,39,24,0,123,62,68,1670,
"Gledswood Hills - Gregory Hills",399,2726,1022,8,0,92,41,7,20,139,142,4609,
"Leppington - Catherine Field",966,1800,740,5,0,111,33,7,63,169,228,4132,
"Oran Park",416,2778,1672,0,7,137,14,5,84,231,271,5616,
"Bonnyrigg Heights - Bonnyrigg",1511,1564,688,504,225,185,56,3,60,279,219,5283,
"Bossley Park - Abbotsbury",2253,1789,902,210,19,239,105,14,103,272,190,6099,
"Cabramatta - Lansvale",2133,1638,2184,273,72,566,195,32,146,532,668,8436,
"Cabramatta West - Mount Pritchard",1515,1608,902,487,57,299,86,19,93,421,227,5707,
"Canley Vale - Canley Heights",1862,1690,1360,494,119,420,124,24,111,470,348,7017,
"Edensor Park",1117,951,427,151,25,113,45,3,27,126,79,3067,
"Fairfield",1232,1046,2382,398,198,318,114,32,81,486,525,6805,
"Fairfield - West",1783,1538,1551,271,53,323,149,36,65,401,303,6468,
"Greenfield Park - Prairiewood",949,745,457,156,14,113,49,0,29,120,101,2741,
"Horsley Park - Kemps Creek",614,343,97,0,0,58,9,3,37,81,86,1344,
"Smithfield - Wetherill Park",1935,1645,1312,385,79,286,158,18,98,329,331,6573,
"St Johns Park - Wakeley",1505,930,427,74,16,155,51,0,49,136,100,3445,
"Wetherill Park Industrial",0,0,3,0,0,0,4,0,0,6,0,18,
"Casula",1334,1890,1015,286,81,166,33,7,102,267,294,5478,
"Chipping Norton - Moorebank",2131,2816,1076,89,22,177,40,3,47,313,283,7005,
"Holsworthy - Wattle Grove",1622,2863,1102,65,22,156,377,9,107,195,215,6736,
"Lurnea - Cartwright",853,1056,715,667,158,147,65,11,52,388,285,4415,
"Warwick Farm",266,382,1039,409,43,98,45,16,26,288,350,2967,
"Edmondson Park",274,1937,894,10,0,84,71,6,33,205,268,3797,
"Liverpool - East",627,1222,4014,226,99,257,72,16,68,844,1191,8636,
"Liverpool - West",1034,991,1432,272,130,199,75,19,72,416,405,5049,
"Prestons",967,2268,544,33,11,122,29,4,96,172,111,4366,
"Gymea - Grays Point",2465,2580,965,84,20,178,13,7,46,153,311,6832,
"Miranda - Yowie Bay",2432,2667,1796,294,80,244,61,19,234,377,574,8786,
"Sylvania - Taren Point",2453,1974,751,122,27,126,27,3,300,274,482,6528,
"Caringbah",1410,1812,1438,256,55,190,84,4,50,242,502,6049,
"Caringbah South",2054,1756,354,14,8,105,31,0,38,118,159,4638,
"Cronulla - Kurnell - Bundeena",3523,2868,2973,75,18,569,21,11,109,445,1264,11866,
"Lilli Pilli - Port Hacking - Dolans Bay",486,443,56,0,0,10,3,0,6,17,41,1066,
"Woolooware - Burraneer",1244,1316,536,3,35,93,9,0,30,95,235,3597,
"Heathcote - Waterfall",928,1018,194,0,7,42,29,0,86,64,86,2454,
"Illawong - Alfords Point",1640,1400,176,0,0,41,3,0,19,55,105,3444,
"Menai - Lucas Heights - Woronora",2729,3199,476,59,79,110,21,3,61,133,179,7057,
"Oyster Bay - Como - Jannali",2792,3393,663,192,53,176,20,3,55,205,320,7874,
"Royal National Park",0,0,0,0,0,0,8,0,0,0,4,15,
"Sutherland - Kirrawee",2479,3369,2610,365,86,348,31,12,212,344,825,10676,
"Engadine",2229,2778,611,43,0,132,13,5,41,106,236,6204,
"Loftus - Yarrawarrah",1076,1118,128,11,3,61,4,0,24,49,67,2560,
"Woronora Heights",453,573,45,0,0,14,0,0,4,19,31,1141,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,31,34,
