sa2,Four or more extra bedrooms needed,Three extra bedrooms needed,Two extra bedrooms needed,One extra bedroom needed,No bedrooms needed or spare,One bedroom spare,Two bedrooms spare,Three bedrooms spare,Four or more bedrooms spare,Unable to determine,Not stated,Not applicable
Braidwood,0,5,6,45,252,478,591,217,54,47,26,1055
Karabar,0,4,15,76,497,896,1006,375,69,93,54,367
Queanbeyan,4,7,36,192,1344,1837,1005,259,48,119,61,791
Queanbeyan - East,0,0,17,71,626,859,407,159,54,55,35,311
Queanbeyan West - Jerrabomberra,0,0,9,41,430,1228,1484,802,133,143,34,315
Googong,0,0,0,17,143,531,744,389,27,56,13,166
Queanbeyan Surrounds,0,3,20,74,503,1268,1698,1217,332,206,40,733
Bombala,0,0,3,13,117,266,359,145,33,18,22,422
Cooma,0,0,9,48,386,799,965,361,79,57,39,664
Cooma Surrounds,0,0,8,9,134,328,428,234,72,46,18,613
Jindabyne - Berridale,5,5,27,109,438,776,799,318,114,99,48,2462
Batemans Bay,0,4,15,67,452,1009,1173,530,81,67,60,1406
Batemans Bay - South,0,0,7,49,370,936,1339,713,136,89,65,2174
Bega - Tathra,0,0,8,75,518,1068,1128,529,67,87,70,719
Bega-Eden Hinterland,3,10,16,111,602,984,1230,443,114,116,73,912
Broulee - Tomakin,0,0,7,18,177,455,517,247,31,39,31,1084
Deua - Wadbilliga,0,0,0,0,0,4,3,0,0,0,0,12
Eden,0,4,4,26,204,419,465,161,29,40,29,402
Eurobodalla Hinterland,0,4,15,38,196,343,448,185,33,36,22,774
Merimbula - Tura Beach,0,0,4,68,586,1493,1782,656,100,108,60,1623
Moruya - Tuross Head,0,3,5,55,431,942,1329,568,106,76,69,1400
Narooma - Bermagui,0,0,16,75,559,1235,1468,583,107,83,78,1831
Goulburn,0,4,25,159,1314,2905,3315,1214,165,241,138,1459
Goulburn Surrounds,3,3,14,82,605,1182,1700,957,247,154,106,2168
Yass,0,0,3,35,327,715,872,374,57,95,40,379
Yass Surrounds,0,0,17,71,394,1011,1349,832,285,169,54,750
Young,3,0,14,73,557,1221,1373,643,129,99,99,723
Young Surrounds,0,3,4,53,324,814,1025,477,122,83,83,1014
Avoca Beach - Copacabana,0,0,8,30,300,639,818,483,127,101,24,1125
Box Head - MacMasters Beach,0,0,11,38,429,1208,1361,816,196,120,51,1272
Calga - Kulnura,0,0,15,49,269,485,457,192,69,64,43,550
Erina - Green Point,0,0,11,54,648,2053,1546,864,181,137,111,533
Gosford - Springfield,0,3,21,234,2171,3708,2105,509,109,227,133,1447
Kariong,0,3,14,46,264,603,742,301,47,61,22,103
Kincumber - Picketts Valley,0,0,0,26,420,1203,841,320,70,68,41,353
Narara,0,0,5,38,337,688,878,390,63,84,29,131
Niagara Park - Lisarow,0,0,5,44,345,826,906,441,111,99,28,176
Point Clare - Koolewong,0,0,6,28,405,767,825,336,62,62,32,281
Saratoga - Davistown,0,0,3,37,324,849,935,364,68,82,24,282
Terrigal - North Avoca,0,0,4,73,633,1519,1804,947,214,189,57,1263
Umina - Booker Bay - Patonga,0,4,30,230,1757,3504,3220,942,188,228,173,2264
Wamberal - Forresters Beach,0,0,6,38,408,1082,1189,621,147,128,26,509
Woy Woy - Blackwall,0,0,25,130,1147,2167,1836,465,71,135,114,808
Wyoming,0,6,9,65,636,1574,1370,430,81,97,56,436
Bateau Bay - Killarney Vale,0,5,15,151,1330,2559,2693,1068,161,250,115,911
Blue Haven - San Remo,0,5,18,111,574,1169,1333,488,34,121,50,396
Budgewoi - Buff Point - Halekulani,0,6,11,75,557,1381,1239,422,67,103,72,604
Chittaway Bay - Tumbi Umbi,0,3,16,85,690,1875,1840,793,175,164,64,438
Gorokan - Kanwal - Charmhaven,3,5,41,250,1383,2806,2630,879,126,215,217,1144
Jilliby - Yarramalong,0,6,7,21,82,244,305,220,102,34,11,193
Lake Munmorah - Mannering Park,0,0,8,73,539,1722,1614,461,57,103,64,611
Ourimbah - Fountaindale,0,0,7,28,211,496,565,249,84,62,15,145
Summerland Point - Gwandalan,0,0,7,32,271,720,863,424,51,75,22,461
The Entrance,5,3,32,185,1446,2633,1739,496,116,189,125,2878
Toukley - Norah Head,0,0,13,77,727,1531,1174,393,79,101,59,753
Tuggerah - Kangy Angy,0,4,3,32,237,558,601,290,43,68,14,162
Warnervale - Wadalba,0,7,19,88,627,1863,1903,1435,106,216,67,484
Wyong,0,3,13,110,619,1111,1051,365,48,109,60,440
Bathurst - East,6,0,13,61,431,1043,1394,918,118,164,54,422
Bathurst Surrounds,0,3,7,44,251,529,803,475,138,75,36,616
Oberon,0,0,4,33,209,457,668,289,50,50,36,733
Bathurst - South,0,0,11,91,859,1701,1175,284,66,110,79,975
Bathurst - West,0,4,11,67,485,1224,1934,1121,168,173,54,561
Condobolin,0,0,4,47,272,624,748,349,112,104,35,836
Cowra,0,0,16,66,431,1137,1335,505,79,106,75,670
Cowra Surrounds,0,0,0,52,250,596,744,352,70,73,37,707
Forbes,0,4,14,58,444,1126,1337,538,77,110,104,904
Grenfell,0,0,5,23,170,438,488,268,41,43,25,366
Parkes (NSW),0,3,11,89,543,1183,1471,570,84,122,75,882
Parkes Surrounds,0,3,3,17,161,310,418,186,36,41,29,402
West Wyalong,4,0,0,28,230,535,793,342,61,101,49,954
Lithgow,0,7,16,65,721,1734,1773,519,81,104,134,961
Lithgow Surrounds,0,9,8,62,378,915,1059,494,109,98,49,955
Mudgee,0,4,6,66,575,1345,1627,744,106,145,108,1012
Mudgee Surrounds - East,0,0,7,20,185,453,521,164,42,29,41,519
Mudgee Surrounds - West,0,3,16,84,496,1135,1260,633,147,124,87,1292
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,0,4,6,35,341,735,988,429,89,84,42,481
Orange,0,8,17,142,1213,2338,2589,766,138,213,160,1567
Orange - North,0,7,22,115,812,2266,2771,1514,178,257,91,875
Orange Surrounds,0,4,15,61,427,1042,1396,807,194,148,67,732
Grafton,0,3,30,165,1259,2332,2506,818,139,222,146,1140
Grafton Surrounds,3,8,41,147,906,1495,1943,849,167,184,124,1473
Maclean - Yamba - Iluka,0,3,12,121,929,2123,2622,1021,119,160,153,2521
Bellingen,0,6,25,54,409,665,680,267,48,97,24,457
Coffs Harbour - North,0,4,48,185,1216,2229,2195,810,114,222,123,1066
Coffs Harbour - South,0,6,23,163,817,1442,1241,355,57,134,76,940
Coramba - Nana Glen - Bucca,0,0,6,28,224,332,438,173,52,45,23,198
Dorrigo,0,0,6,24,232,367,486,149,30,35,44,434
Korora - Emerald Beach,0,0,6,43,355,890,1293,778,145,114,32,544
Sawtell - Boambee,3,4,34,147,1103,2386,2518,1025,136,242,111,969
Urunga,0,0,7,32,317,597,611,256,36,67,32,512
Woolgoolga - Arrawarra,4,12,48,150,811,1684,1645,657,111,131,120,1097
Bourke - Brewarrina,0,0,12,33,199,282,333,135,30,60,62,753
Cobar,0,0,4,24,167,380,528,215,27,56,33,920
Coonamble,0,0,8,39,201,387,398,193,53,40,42,524
Nyngan - Warren,0,0,3,28,213,514,576,235,54,68,50,654
Walgett - Lightning Ridge,3,0,14,71,366,514,451,167,44,65,60,1271
Broken Hill,0,3,15,134,1059,2344,2799,515,77,214,147,2281
Far West,0,6,7,31,122,189,206,92,44,39,36,582
Coonabarabran,5,3,14,57,399,769,1011,399,76,69,78,1158
Dubbo - East,3,7,21,106,484,1058,1093,610,108,112,71,559
Dubbo - South,5,4,26,140,1052,2299,2340,1045,96,223,119,1241
Dubbo - West,0,4,22,85,447,1067,1132,585,50,112,66,577
Dubbo Surrounds,0,3,11,36,187,453,611,376,111,83,28,357
Gilgandra,0,0,7,32,221,450,504,256,51,51,54,550
Narromine,0,0,3,44,286,606,785,336,60,87,43,633
Wellington,0,6,9,73,415,807,1009,383,85,91,63,846
Branxton - Greta - Pokolbin,0,6,14,71,437,1137,1563,849,131,179,37,793
Cessnock,8,10,54,218,1432,2841,2508,727,81,269,118,1213
Cessnock Surrounds,0,4,10,88,427,864,974,470,124,91,42,679
Dungog,0,0,10,70,466,964,1269,528,111,107,64,638
Kurri Kurri - Abermain,5,10,47,218,1214,2436,2367,808,65,255,98,700
Singleton,3,6,24,108,772,1759,2019,948,132,183,73,786
Singleton Surrounds,4,0,8,41,235,408,583,312,63,64,22,479
Maitland,0,0,14,64,450,945,997,459,48,116,36,292
Maitland - North,0,0,7,23,241,780,1037,659,79,103,16,215
East Maitland - Metford,0,3,24,145,970,2059,2232,1004,107,205,78,592
Rutherford (North) - Aberglasslyn,0,8,13,91,657,1752,2070,1133,122,232,60,486
Rutherford (South) - Telarah,0,0,18,69,477,961,1044,301,24,76,38,384
Tenambit - East Maitland,0,0,8,65,493,1462,1377,447,51,124,49,384
Thornton - Millers Forest,0,5,7,62,468,1463,1875,1126,93,177,49,347
Anna Bay,0,0,9,28,272,846,919,286,69,70,26,580
Lemon Tree Passage - Tanilba Bay,0,0,12,49,330,707,1113,412,50,56,35,443
Nelson Bay Peninsula,0,4,25,120,956,2668,3211,1579,262,222,125,4183
Raymond Terrace,6,4,31,140,945,1751,1695,628,70,178,99,678
Seaham - Woodville,0,3,4,27,168,416,567,423,108,77,15,140
Tea Gardens - Hawks Nest,0,0,5,28,174,677,1041,530,63,39,39,1449
Williamtown - Medowie - Karuah,0,0,23,97,545,1436,1626,1065,136,161,62,572
Muswellbrook,0,4,21,83,570,1226,1568,748,93,146,81,1010
Muswellbrook Surrounds,0,0,3,18,156,408,487,236,66,49,31,321
Scone,0,0,9,32,284,684,790,389,59,76,32,352
Scone Surrounds,0,3,8,49,382,849,1120,486,103,94,48,944
Dapto - Avondale,0,3,28,174,1308,2764,3412,967,130,224,111,686
Horsley - Kembla Grange,0,0,7,55,368,1069,1388,789,75,100,36,153
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,0,3,12,107,764,1601,1798,723,130,162,68,348
Berkeley - Lake Heights - Cringila,5,8,32,193,1003,1614,1622,383,55,131,92,562
Port Kembla - Warrawong,0,4,26,135,826,1307,1010,279,43,92,67,629
Windang - Primbee,0,0,8,31,415,661,474,134,20,34,40,370
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,0,6,14,74,630,1816,2337,1128,123,212,62,331
Albion Park Rail,0,0,20,58,394,815,962,199,25,65,29,234
Kiama,0,0,5,38,434,1142,1207,502,105,87,43,862
Kiama Downs - Minnamurra,3,0,3,20,199,564,759,418,65,68,11,293
Kiama Hinterland - Gerringong,0,0,5,41,351,718,972,582,122,76,44,1004
Shellharbour - Flinders,5,0,11,82,738,1887,2210,1235,133,234,73,561
Shellharbour - Oak Flats,0,4,6,90,577,1266,1309,501,66,108,50,331
Warilla,3,9,31,204,1357,2642,2658,644,98,202,148,884
Balgownie - Fairy Meadow,0,7,17,197,1598,2747,2358,755,146,246,84,807
Corrimal - Tarrawanna - Bellambi,0,5,23,160,1304,2509,1753,418,82,193,82,655
Figtree - Keiraville,4,4,22,187,1323,2269,2480,933,185,244,76,600
Helensburgh,0,0,12,41,430,1014,935,360,82,106,21,240
Thirroul - Austinmer - Coalcliff,0,3,4,73,642,1345,1354,531,94,139,41,589
Woonona - Bulli - Russell Vale,0,0,12,125,1281,2644,2346,756,122,225,52,629
Wollongong - East,0,3,35,258,2288,3387,1350,111,41,234,92,1587
Wollongong - West,5,12,47,262,1689,2376,1375,373,68,237,99,962
Bulahdelah - Stroud,0,0,11,49,258,565,677,238,41,65,50,574
Forster,0,3,14,108,827,1973,2319,884,113,126,111,2041
Forster-Tuncurry Surrounds,0,0,10,42,324,723,932,443,99,73,54,1615
Tuncurry,0,0,12,57,476,1096,962,243,29,40,62,883
Kempsey,9,14,31,199,902,1601,1666,579,71,135,141,846
Kempsey Surrounds,0,13,25,114,608,1081,1118,392,77,103,84,1136
Macksville - Scotts Head,0,0,6,52,297,556,737,261,46,52,43,461
Nambucca Heads,0,4,9,68,539,1153,894,268,52,66,85,722
Nambucca Heads Surrounds,5,6,21,80,450,913,983,409,57,85,67,568
South West Rocks,0,0,9,27,241,729,947,351,38,36,38,962
Lord Howe Island,0,0,3,6,38,42,45,12,0,4,3,91
Laurieton - Bonny Hills,0,0,10,105,837,2368,2631,1211,136,126,376,1285
Port Macquarie - West,3,12,19,150,1349,2980,2804,937,86,207,156,1219
Port Macquarie Surrounds,0,5,13,52,253,464,634,302,64,62,37,367
Wauchope,0,8,19,102,573,1325,1556,725,115,132,68,456
Port Macquarie - East,0,0,15,84,789,1860,1419,497,105,136,78,1224
Port Macquarie - South,0,0,12,75,665,1980,2577,1120,161,161,97,675
Gloucester,3,4,0,39,253,601,818,345,46,53,38,598
Old Bar - Manning Point - Red Head,0,4,8,54,464,1378,1771,930,160,116,137,1046
Taree,7,9,35,170,1363,2534,2671,926,135,217,233,1156
Taree Surrounds,3,5,27,124,683,1271,1866,883,134,129,99,1214
Wingham,0,7,9,67,298,614,738,255,38,62,48,244
Albury - East,0,3,8,52,712,2064,2325,1053,97,208,61,720
Albury - North,0,3,22,94,588,1344,1454,414,40,115,59,646
Albury - South,5,0,8,62,764,1586,1302,499,100,113,67,915
Albury Surrounds,0,3,8,67,496,1160,1534,716,160,126,81,932
Lavington,4,5,33,173,951,2448,1932,561,64,163,146,922
Hay,0,4,3,16,126,281,425,160,36,56,28,418
Wentworth - Buronga,0,0,14,45,264,683,765,281,47,67,87,726
Wentworth-Balranald Region,0,0,8,36,171,302,389,160,33,52,34,590
Corowa,0,0,4,29,253,761,909,326,33,52,44,468
Corowa Surrounds,0,0,0,39,266,863,1048,384,58,89,50,821
Deniliquin,0,0,3,39,301,882,1087,357,53,69,61,719
Deniliquin Surrounds,0,0,5,44,267,648,954,420,95,70,60,966
Moama,0,0,9,23,232,852,950,402,34,78,51,569
Tocumwal - Finley - Jerilderie,0,4,10,51,384,1074,1475,538,75,80,107,1040
Armidale,4,15,39,184,1258,2568,2871,1219,260,253,120,1686
Armidale Surrounds - North,0,3,8,29,181,432,572,251,67,36,45,583
Armidale Surrounds - South,0,0,0,33,270,620,810,359,85,68,21,424
Walcha,0,0,9,9,121,335,447,194,56,35,25,480
Glen Innes,0,4,9,60,505,1026,1311,481,75,75,78,978
Inverell,0,4,22,85,654,1321,1519,659,106,130,128,849
Inverell Surrounds - East,0,3,14,38,235,503,618,239,51,73,41,600
Inverell Surrounds - West,0,0,0,33,298,570,781,275,80,87,52,615
Tenterfield,0,0,15,61,411,793,997,361,85,53,94,1092
Moree,0,0,8,78,393,799,822,332,48,96,98,1237
Moree Surrounds,0,7,13,49,195,353,472,203,81,88,41,1041
Narrabri,0,0,11,50,334,787,913,344,45,74,46,657
Narrabri Surrounds,0,0,3,32,200,447,473,235,44,60,23,570
Gunnedah,0,6,7,60,435,1115,1232,530,63,100,63,804
Gunnedah Surrounds,0,0,3,27,183,420,495,235,76,46,38,539
Quirindi,0,0,13,51,367,794,1036,371,63,84,65,847
Tamworth - East,3,5,26,170,1074,2369,2738,1301,170,249,127,1205
Tamworth - North,3,4,27,99,940,1999,2032,874,145,166,95,1042
Tamworth - West,0,6,26,58,342,593,617,167,6,67,61,502
Tamworth Surrounds,0,0,22,105,757,1808,2430,1324,230,206,116,1325
Belmont - Bennetts Green,0,0,20,105,1115,2240,2158,860,132,202,98,600
Belmont South - Blacksmiths,0,0,11,57,460,872,644,195,27,73,33,367
Charlestown - Dudley,0,0,25,172,1596,3244,3151,890,128,317,109,835
Glendale - Cardiff - Hillsborough,3,6,17,167,1413,3101,3039,909,156,301,93,645
Mount Hutton - Windale,5,0,25,87,716,1342,1051,235,36,105,67,391
Redhead,0,0,0,20,201,512,397,188,29,42,24,117
Swansea - Caves Beach,0,0,15,86,705,1567,1499,731,138,143,74,980
Valentine - Eleebana,0,0,4,38,360,1177,1679,943,118,127,17,255
Warners Bay - Boolaroo,0,0,12,89,827,1979,1921,699,87,179,47,545
Bolton Point - Teralba,0,0,26,82,596,1128,1202,448,43,108,60,384
Bonnells Bay - Silverwater,0,4,13,66,399,961,1276,714,103,97,40,581
Edgeworth - Cameron Park,0,0,20,81,681,1649,1935,892,74,197,61,352
Morisset - Cooranbong,4,3,17,128,908,2203,2005,941,179,188,115,849
Toronto - Awaba,0,6,23,94,754,1657,1923,669,118,171,82,618
Wangi Wangi - Rathmines,0,3,5,46,425,984,1294,640,99,104,37,499
West Wallsend - Barnsley - Killingworth,0,3,7,60,353,753,983,266,34,105,19,168
Adamstown - Kotara,0,6,14,98,1017,2161,2021,568,95,198,44,503
Beresfield - Hexham,0,0,15,118,507,1083,1214,215,28,102,45,281
Hamilton - Broadmeadow,0,3,7,94,1239,2020,1308,283,50,183,71,1007
Lambton - New Lambton,0,0,17,126,1336,2537,1888,478,80,253,73,601
Maryland - Fletcher - Minmi,0,0,19,82,557,1606,1977,848,71,203,35,301
Mayfield - Warabrook,0,3,18,159,1461,2421,1674,307,46,194,79,737
Merewether - The Junction,0,0,3,74,1132,1942,1489,576,102,207,49,689
Newcastle - Cooks Hill,0,7,13,145,2080,2182,1162,202,51,238,61,1726
Newcastle Port - Kooragang,0,0,0,0,0,0,8,0,0,0,0,8
Shortland - Jesmond,4,14,40,168,1021,1511,1020,158,75,148,85,593
Stockton - Fullerton Cove,0,0,3,50,442,1398,1075,401,34,95,40,515
Wallsend - Elermore Vale,0,7,40,199,1419,2918,2489,624,100,282,92,735
Waratah - North Lambton,5,3,18,138,1135,1830,1337,218,48,169,92,569
Wickham - Carrington - Tighes Hill,0,7,6,96,1069,1531,941,104,20,143,36,590
Ballina,0,5,21,141,1317,2947,2447,763,79,172,165,1281
Ballina Surrounds,3,8,18,125,861,1934,2235,1130,189,216,107,763
Bangalow,4,3,11,65,452,620,638,278,72,91,38,567
Brunswick Heads - Ocean Shores,3,4,21,102,709,1050,1054,333,40,133,70,882
Byron Bay,0,6,21,134,939,1132,1033,349,73,178,78,1836
Evans Head,0,7,10,55,405,752,663,233,44,52,46,742
Lennox Head - Skennars Head,0,0,4,61,399,946,1160,533,81,126,27,557
Mullumbimby,0,6,27,120,773,874,787,244,60,124,51,819
Casino,0,6,27,85,717,1509,1572,514,60,109,108,727
Casino Surrounds,3,0,23,78,400,672,874,325,64,82,59,628
Goonellabah,0,6,19,83,654,1660,1880,751,104,140,67,539
Kyogle,0,8,27,82,528,896,972,323,59,78,65,716
Lismore,0,7,44,159,1314,2126,1740,449,79,203,96,974
Lismore Surrounds,4,12,30,169,1016,1454,1710,833,158,189,107,1136
Kingscliff - Fingal Head,3,3,8,128,1090,1893,1534,611,109,174,69,1453
Murwillumbah,0,0,10,85,620,1271,1096,362,43,132,57,533
Murwillumbah Surrounds,4,14,25,126,659,969,1022,426,102,105,66,845
Pottsville,0,6,15,94,785,1513,1696,624,83,153,75,1071
Tweed Heads,3,7,33,191,1651,3565,2108,589,97,211,169,1813
Banora Point,3,0,16,112,817,1918,2319,817,92,193,91,588
Terranora - North Tumbulgum,0,0,0,7,97,240,344,263,57,30,11,96
Tweed Heads South,0,0,11,77,757,1391,1048,232,20,71,91,659
Griffith (NSW),8,26,77,276,1179,2065,2280,851,78,191,158,1122
Griffith Surrounds,0,4,12,92,533,1099,1476,640,118,201,88,1106
Leeton,4,6,8,75,468,1037,1227,554,75,97,73,622
Narrandera,0,5,10,35,251,659,765,321,53,69,48,600
Tumbarumba,0,0,5,20,166,346,468,190,32,46,23,407
Tumut,0,0,4,51,369,859,893,288,39,77,32,465
Tumut Surrounds,0,0,4,27,208,480,637,264,45,71,34,537
Cootamundra,0,0,7,42,315,932,1184,480,77,60,62,619
Gundagai,0,0,8,32,155,327,444,226,38,59,24,406
Junee,3,0,9,49,239,576,736,308,50,58,54,415
Temora,0,0,0,38,346,709,987,354,65,81,52,599
Wagga Wagga - East,0,5,18,111,631,1819,2037,1228,202,193,77,724
Wagga Wagga - North,0,0,4,26,228,582,578,245,24,59,21,241
Wagga Wagga - South,0,11,37,160,1028,2455,2896,1259,148,266,108,971
Wagga Wagga - West,3,5,35,104,861,1952,1419,337,51,126,97,980
Wagga Wagga Surrounds,0,0,13,93,645,1546,2115,1033,197,219,113,1025
Berry - Kangaroo Valley,0,0,5,55,416,1177,1233,700,160,96,57,1182
Callala Bay - Currarong,0,0,3,18,135,338,544,356,39,43,8,1613
Culburra Beach,0,0,15,45,255,646,746,317,66,59,38,1334
Ettrema - Sassafras - Budawang,0,0,0,0,9,5,6,0,0,0,0,26
Huskisson - Vincentia,0,0,0,16,151,481,785,474,59,36,9,1630
North Nowra - Bomaderry,0,0,6,89,729,1814,2095,1124,171,149,70,721
Nowra,0,9,36,189,1159,2272,2449,1217,145,222,166,1195
St Georges Basin - Erowal Bay,0,7,11,80,676,1880,2365,857,95,139,96,2068
Sussex Inlet - Berrara,0,0,5,24,242,640,701,310,49,33,81,1359
Tomerong - Wandandian - Woollamia,0,3,3,18,159,284,437,243,63,33,13,276
Ulladulla,0,0,14,90,772,1799,2548,1299,203,150,98,2629
Ulladulla Surrounds,0,3,4,39,251,650,840,362,78,64,49,1990
Bowral,0,3,14,38,435,1304,1955,1360,292,108,56,880
Hill Top - Colo Vale,0,0,5,42,273,539,794,362,56,69,34,208
Mittagong,0,4,15,80,468,1113,1428,767,124,104,55,547
Moss Vale - Berrima,0,3,9,46,461,1125,1402,736,123,117,61,560
Robertson - Fitzroy Falls,0,0,0,17,135,307,481,307,82,48,21,461
Southern Highlands,0,3,4,49,264,606,977,614,161,76,33,784
Baulkham Hills - East,4,3,18,242,1461,2900,2322,939,184,169,79,716
Baulkham Hills (West) - Bella Vista,0,7,29,96,870,1872,2030,1403,343,169,44,534
Glenhaven,0,0,0,7,129,618,702,484,146,48,21,107
West Pennant Hills,0,0,0,31,301,836,1178,1140,342,118,20,170
Castle Hill - Central,0,4,8,76,524,880,674,309,65,64,19,200
Castle Hill - East,0,0,0,10,316,586,482,301,58,43,24,297
Castle Hill - North,0,5,5,46,393,1044,1113,926,237,95,31,290
Castle Hill - South,0,0,15,113,646,952,909,546,144,82,33,294
Castle Hill - West,0,0,3,13,107,367,531,365,111,40,5,53
Cherrybrook,0,10,12,63,700,1617,1823,1327,222,144,35,273
Kellyville - East,4,4,13,58,455,1458,1725,1125,223,153,35,235
Kellyville - West,0,0,14,83,504,992,1028,645,133,75,37,323
Dural - Kenthurst - Wisemans Ferry,3,7,33,99,728,1770,1826,1460,599,208,76,689
Galston - Laughtondale,0,0,6,37,214,463,503,333,138,47,14,210
Bilpin - Colo - St Albans,0,0,5,23,161,264,316,147,38,26,15,545
Kurrajong Heights - Ebenezer,6,8,30,126,858,1841,2262,1330,388,229,76,495
Pitt Town - McGraths Hill,3,4,15,76,444,937,1115,671,159,124,25,345
Box Hill - Nelson,0,0,5,26,181,715,1119,778,112,84,39,201
North Kellyville,0,7,10,96,584,1450,1545,1022,198,128,37,376
Rouse Hill - Beaumont Hills,0,4,15,77,547,1607,1599,977,132,150,22,246
Blacktown (East) - Kings Park,10,15,93,497,1530,2034,1083,325,68,131,103,1017
Blacktown (North) - Marayong,10,16,88,362,1467,2144,1806,443,74,159,101,760
Doonside - Woodcroft,10,12,72,324,1391,2165,2003,673,115,168,123,656
Lalor Park - Kings Langley,0,7,38,246,1612,2756,2559,942,184,189,109,908
Blacktown - South,4,3,45,218,848,1320,1142,304,59,89,64,401
Blacktown - West,6,16,72,334,1161,1668,1398,385,71,90,99,682
Seven Hills - Prospect,0,8,53,209,1025,1488,1468,475,99,114,46,478
Toongabbie - West,4,10,43,250,955,1100,943,276,51,102,67,427
