sa2,Four or more extra bedrooms needed,Three extra bedrooms needed,Two extra bedrooms needed,One extra bedroom needed,No bedrooms needed or spare,One bedroom spare,Two bedrooms spare,Three bedrooms spare,Four or more bedrooms spare,Unable to determine,Not stated,Not applicable
Glenwood,0,4,18,76,500,1351,1401,858,120,124,45,154
Acacia Gardens,0,0,4,18,131,362,380,180,16,30,6,29
Quakers Hill,4,9,42,262,1262,2526,2196,954,126,163,73,536
Kellyville Ridge - The Ponds,3,0,9,122,626,1879,1945,1045,154,158,48,306
Marsden Park - Shanes Park,3,5,12,72,395,1309,1608,828,104,60,71,276
Riverstone,0,5,18,97,546,1240,1530,674,63,119,57,446
Schofields (West) - Colebee,0,4,17,41,270,775,988,535,87,63,43,183
Schofields - East,0,3,31,193,1129,2422,2326,1109,129,152,107,986
Stanhope Gardens - Parklea,0,3,17,57,390,1310,1127,504,74,69,32,199
Bidwill - Hebersham - Emerton,11,27,119,356,1245,1638,1611,273,46,136,137,919
Glendenning - Dean Park,3,6,28,124,547,785,706,143,16,63,39,187
Hassall Grove - Plumpton,6,16,67,307,1247,1955,1599,486,93,172,77,423
Lethbridge Park - Tregear,4,25,87,331,1313,2132,1934,390,38,171,152,1029
Mount Druitt - Whalan,19,27,108,598,1915,2183,1435,328,55,152,162,1181
Prospect Reservoir,0,0,0,0,3,0,0,0,0,0,0,18
Rooty Hill - Minchinbury,7,21,84,360,1289,1964,1793,650,107,167,98,624
Banksmeadow,0,0,0,17,92,72,17,0,0,4,0,75
Botany,0,5,15,271,1711,1696,709,144,26,119,53,674
Pagewood - Hillsdale - Daceyville,5,9,41,337,2009,2063,767,168,49,161,87,963
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0,7
Sydney Airport,0,0,0,0,0,0,0,0,0,0,0,10
Eastlakes,3,0,41,259,981,1300,549,108,44,73,64,561
Mascot,14,48,219,709,3316,2546,799,152,40,150,110,1499
Petersham - Stanmore,0,9,16,241,3291,2786,1213,298,68,255,77,1411
Sydenham - Tempe - St Peters,4,6,23,119,950,1313,544,83,13,91,28,430
Marrickville - North,4,4,40,174,1674,1803,727,148,25,150,64,633
Marrickville - South,9,6,54,274,2081,2282,693,156,37,146,60,895
Darlinghurst,3,6,31,162,3127,1478,339,66,26,107,48,1555
Erskineville - Alexandria,0,8,30,308,4093,3376,778,102,8,227,69,1450
Glebe - Forest Lodge,0,8,29,344,4477,2993,984,201,43,236,148,2195
Potts Point - Woolloomooloo,3,0,30,295,6224,2613,577,54,27,154,90,3407
Surry Hills,5,14,44,319,4115,2300,539,93,48,193,99,1968
Camperdown - Darlington,0,0,11,105,1281,967,325,77,16,131,19,625
Chippendale,0,13,82,341,2355,679,120,17,13,62,54,1118
Newtown (NSW),0,0,36,224,2937,2101,776,131,38,220,68,1188
Pyrmont,3,14,60,336,2480,1938,547,25,10,109,65,1381
Redfern,4,10,16,228,2619,2288,556,99,28,183,112,1468
Rosebery - Beaconsfield,0,0,25,245,2221,1930,567,97,15,108,72,919
Sydney (North) - Millers Point,0,7,50,197,1940,1119,388,37,8,58,43,2558
Sydney (South) - Haymarket,76,176,483,1069,3514,1764,241,18,11,123,166,2582
Ultimo,7,19,80,314,1427,677,121,27,21,59,173,815
Waterloo,0,5,55,354,3896,2982,412,25,3,149,157,2072
Zetland,0,4,28,345,3158,2096,239,17,4,109,58,1410
Bondi - Tamarama - Bronte,3,5,14,231,2755,2914,1018,296,78,281,81,1383
Bondi Beach - North Bondi,0,0,16,325,3581,3043,890,219,45,311,107,1951
Bondi Junction - Waverly,0,5,26,248,2678,2439,1080,267,50,208,135,1448
Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0
Dover Heights,0,4,13,118,1089,1515,795,316,85,127,52,615
Paddington - Moore Park,0,0,21,138,2428,2106,1222,277,45,251,42,1395
Rose Bay - Vaucluse - Watsons Bay,0,0,4,72,788,1388,1063,498,180,186,49,702
Woollahra,0,0,3,58,859,1132,655,200,57,101,27,692
Bellevue Hill,0,0,3,108,1322,2027,1229,454,205,244,50,1040
Double Bay - Darling Point,0,0,4,101,1361,1842,952,130,42,148,72,1325
Kensington (NSW),0,0,21,171,1665,1512,531,178,65,132,37,1186
Kingsford,10,9,48,280,1592,1718,878,267,110,149,53,778
Maroubra - North,0,0,12,125,954,1222,710,337,114,107,31,433
Maroubra - South,0,5,12,171,1439,1768,756,181,43,119,68,711
Maroubra - West,5,0,20,190,1223,1398,594,183,64,100,47,481
Randwick - North,4,3,15,254,2514,2688,757,200,59,202,57,1102
Randwick - South,0,3,18,160,1771,2009,679,161,45,159,41,953
Coogee - Clovelly,0,0,15,226,2739,3211,1134,275,53,306,67,1475
Malabar - La Perouse,0,0,15,90,1036,1064,770,308,84,101,68,497
Matraville - Chifley,0,3,17,158,1190,1487,1117,373,84,121,60,555
South Coogee,0,0,4,35,517,743,449,156,39,58,43,350
Bass Hill - Georges Hall,3,24,112,436,1578,1965,1654,552,100,119,153,963
Chullora,0,0,0,38,94,159,82,36,11,9,12,59
Condell Park,6,12,74,240,826,932,846,283,71,68,59,458
Padstow,3,11,44,174,1174,1809,1739,645,116,124,72,523
Revesby,8,14,47,244,1146,1852,1561,566,107,123,78,542
Yagoona - Birrong,15,37,136,566,1838,1967,1246,390,78,111,164,838
Bankstown - North,7,42,134,760,1824,1810,539,156,64,84,107,1028
Bankstown - South,24,38,174,701,1787,1722,635,210,73,95,117,1043
Greenacre - North,3,16,84,331,1155,1183,844,239,61,80,87,614
Greenacre - South,10,25,84,342,905,989,727,252,48,56,77,484
Panania (North) - Milperra,0,5,14,108,637,1095,1171,513,77,96,48,288
Panania (South) - Picnic Point,0,3,21,112,893,1622,1738,700,146,97,60,424
Belmore - Belfield,11,22,101,462,2071,2441,1186,305,88,130,133,1087
Punchbowl,33,56,183,743,1757,1883,955,258,62,112,134,961
Roselands,5,7,56,273,1197,1546,1023,360,81,91,75,601
Lakemba,25,66,237,948,1737,1333,310,84,31,63,108,925
Wiley Park,14,30,133,511,1022,933,259,65,15,55,64,582
Campsie - North,13,25,127,507,1278,1322,407,123,33,66,100,650
Campsie - South,7,30,113,453,1123,976,200,49,16,54,70,598
Canterbury - South,4,13,63,314,1619,1486,608,161,36,85,63,721
Earlwood,5,9,32,210,1186,2142,1665,524,123,157,65,604
Kingsgrove - North,3,4,19,83,440,702,514,187,40,35,24,200
Narwee - Beverly Hills,0,10,50,297,1283,1516,1061,315,84,104,68,527
Oatley - Hurstville Grove,0,3,13,107,645,1407,1284,516,159,118,43,377
Peakhurst - Lugarno,0,0,28,165,1338,2053,1952,887,178,153,68,617
Riverwood,6,15,64,296,1436,1558,629,140,36,86,102,656
South Hurstville - Blakehurst,13,30,153,582,1905,2528,1720,802,254,177,117,906
Hurstville - Central,11,36,147,635,1763,1185,314,80,23,59,66,719
Hurstville - North,3,13,55,222,879,1059,857,415,162,65,56,407
Mortdale - Oatley,0,6,30,218,1092,1987,1236,467,85,98,56,482
Penshurst,0,9,40,275,1058,1356,529,157,41,70,37,444
Kingsgrove (South) - Bardwell Park,8,6,30,196,1021,1505,1102,367,98,74,52,424
Kogarah,0,16,91,440,1775,1730,553,112,24,72,68,879
Kogarah Bay - Carlton - Allawah,11,18,71,370,1549,2131,1045,324,70,103,66,702
Monterey - Brighton-le-Sands - Kyeemagh,0,4,35,223,1415,2332,1069,277,74,107,97,877
Rockdale - Banksia,10,36,173,688,2329,2427,864,201,69,120,133,1127
Sans Souci - Ramsgate,0,3,21,179,1345,2596,1668,443,106,111,71,842
Arncliffe - Bardwell Valley,10,21,126,412,1686,1892,898,248,66,119,96,995
Bexley - North,0,9,40,178,720,1050,747,240,55,78,40,317
Bexley - South,7,14,87,499,1522,1929,906,257,68,91,77,717
Wolli Creek,4,25,83,425,2266,1541,141,6,0,81,59,804
Concord - Mortlake - Cabarita,0,0,25,275,2143,2923,2312,635,126,143,75,987
Drummoyne - Rodd Point,0,0,8,147,1562,2958,1725,479,83,165,63,1027
Five Dock - Abbotsford,0,4,20,245,2222,3518,1638,391,84,190,71,997
Concord West - North Strathfield,3,11,28,216,1135,1529,949,307,56,125,46,520
Rhodes,4,3,47,415,2359,1720,276,30,7,69,72,869
Balmain,0,0,10,132,1784,2565,1386,370,62,192,45,1161
Lilyfield - Rozelle,0,0,15,141,1756,2112,1153,200,26,170,50,845
Annandale (NSW),0,0,8,102,1326,1358,681,144,25,108,25,667
Leichhardt,5,0,14,225,2215,2796,1180,176,19,179,41,1007
Canterbury (North) - Ashbury,0,12,39,282,1380,1662,781,205,37,126,36,614
Croydon Park - Enfield,5,6,35,245,1696,2287,1289,412,119,124,46,668
Dulwich Hill - Lewisham,6,10,27,265,2788,3049,970,214,42,215,66,1201
Haberfield - Summer Hill,0,4,19,124,1530,1990,1021,324,66,120,45,643
Homebush,14,39,199,976,3074,2422,510,133,44,109,130,1482
Strathfield South,0,0,7,74,343,428,268,86,26,27,17,137
Ashfield - North,0,19,73,347,1664,1937,388,105,18,103,58,716
Ashfield - South,9,18,52,322,1714,1722,584,176,43,94,60,775
Burwood (NSW),21,38,187,771,2391,1625,512,171,72,113,107,1064
Croydon,11,10,35,184,973,1159,806,279,102,105,45,375
Strathfield - East,21,97,299,733,1775,1424,587,318,161,126,115,1009
Strathfield - West,3,5,18,107,478,771,728,399,231,93,25,348
Chatswood (West) - Lane Cove North,3,8,43,378,2659,2997,1355,451,135,192,66,1042
St Leonards - Naremburn,0,5,12,231,2416,1762,666,93,16,115,44,795
Artarmon,0,3,35,268,1251,1377,400,158,31,79,18,463
Castle Cove - Northbridge,0,0,6,45,549,1265,1391,755,221,161,21,424
Chatswood - East,0,12,103,640,2938,2005,925,346,103,135,83,1311
Greenwich - Riverview,0,4,3,94,894,1370,1170,682,208,137,30,537
Lane Cove,0,0,15,203,1932,2270,1108,390,94,161,50,685
Willoughby,0,3,22,148,1036,1652,1007,409,67,135,26,447
Asquith - Mount Colah,0,9,26,260,1554,2310,2000,981,187,184,51,498
Berowra - Brooklyn - Cowan,0,0,3,41,533,1141,1350,666,122,113,22,327
Normanhurst - Thornleigh - Westleigh,0,3,6,116,1015,1851,1939,977,210,154,38,357
Hornsby - East,4,4,61,429,1887,1975,358,82,13,90,57,624
Hornsby - West,0,0,7,104,840,1207,949,396,88,94,36,321
Wahroonga (West) - Waitara,0,8,37,340,1710,1385,594,179,45,78,45,520
Gordon - Killara,0,4,34,273,1746,2188,1901,1028,371,236,59,973
Lindfield - Roseville,0,6,22,211,1609,2441,2247,1136,356,256,57,912
Pymble,0,0,11,101,823,1486,1629,997,325,174,40,487
St Ives,0,0,15,136,1009,1967,2255,1262,412,187,38,528
Turramurra,0,0,5,113,987,1990,2250,1134,301,149,46,639
Wahroonga (East) - Warrawee,0,0,11,78,728,1560,1884,1084,362,181,36,497
Cremorne - Cammeray,3,5,19,234,2629,3292,1548,348,74,190,48,1349
Crows Nest - Waverton,0,3,27,246,3104,3291,1228,178,48,191,60,1324
Neutral Bay - Kirribilli,0,0,24,221,3495,2962,1150,190,42,161,68,2026
North Sydney - Lavender Bay,0,0,18,239,2797,1863,804,112,21,112,54,1733
Mosman - North,0,0,3,107,1513,1922,1305,497,144,162,46,989
Mosman - South,0,0,5,119,1624,1834,1266,606,147,192,45,876
Balgowlah - Clontarf - Seaforth,0,0,6,128,1203,2284,1990,872,211,301,43,596
Manly - Fairlight,0,0,19,265,3274,3370,1666,316,70,314,83,2004
Avalon - Palm Beach,0,0,11,74,643,1238,1352,870,222,167,36,1114
Bayview - Elanora Heights,0,4,15,46,525,1125,1200,626,195,116,46,641
Newport - Bilgola,0,0,9,90,886,1403,1421,766,174,168,37,516
Mona Vale - Warriewood (North),0,5,10,108,1012,1703,1495,543,139,151,47,557
North Narrabeen - Warriewood (South),0,3,19,109,762,1166,889,389,55,134,29,271
Beacon Hill - Narraweena,6,7,22,135,979,1469,1212,548,142,133,60,352
Cromer,4,3,11,48,546,824,737,337,71,79,31,210
Forestville - Killarney Heights,0,4,11,73,741,1169,1289,681,182,121,36,297
Freshwater - Brookvale,0,4,24,293,2694,3039,1330,464,124,249,78,914
Manly Vale - Allambie Heights,0,0,19,189,1582,1929,1357,549,140,164,51,465
Terrey Hills - Duffys Forest,0,0,3,12,171,273,373,220,97,35,5,109
Belrose,0,0,0,27,303,880,919,510,113,88,40,206
Collaroy - Collaroy Plateau,0,8,24,132,1151,1654,1071,512,145,148,37,472
Dee Why (South) - North Curl Curl,3,4,8,136,912,1118,587,258,68,100,21,332
Dee Why - North,11,15,94,622,3270,2798,467,107,26,172,100,890
Frenchs Forest - Oxford Falls,0,0,9,77,648,1473,1720,968,240,156,27,239
Narrabeen - Wheeler Heights,0,0,9,130,1408,1800,706,237,55,133,46,567
Camden - Ellis Lane,0,0,6,57,561,1346,1362,815,171,150,32,390
Currans Hill,0,0,12,51,271,638,703,316,15,54,19,104
Elderslie - Narellan,0,0,12,74,585,1243,1602,837,123,138,56,276
Harrington Park,0,4,4,40,230,846,1002,868,111,93,30,107
Mount Annan,0,0,19,100,641,1735,1860,1174,129,203,49,271
Spring Farm,0,4,5,33,314,799,1171,658,22,72,24,133
Bradbury - Wedderburn,6,15,48,236,1107,1971,2073,663,99,187,115,679
Campbelltown - Woodbine,4,10,44,324,1720,2911,1845,632,128,194,153,1153
Claymore - Eagle Vale - Raby,0,18,58,247,1025,1846,2068,682,112,196,82,568
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0,0
Leumeah - Minto Heights,4,13,45,204,1003,1790,1696,631,137,151,84,576
Minto - St Andrews,7,24,63,335,1214,2171,1872,536,95,123,96,563
Rosemeadow - Glen Alpine,3,14,69,225,988,1940,2215,906,201,190,88,575
Denham Court - Bardia,0,3,10,110,476,1372,1351,678,145,75,53,325
Glenfield,4,6,28,145,604,1154,864,265,39,73,46,264
Ingleburn,4,7,53,251,1065,1842,1584,473,87,109,68,554
Macquarie Fields,14,19,55,246,1081,1510,1249,228,42,101,75,535
Bargo,0,0,4,51,253,556,589,344,90,55,36,182
Douglas Park - Appin,0,0,7,42,296,938,1040,699,159,111,31,297
Picton - Tahmoor - Buxton,3,0,26,97,814,1822,2131,1163,193,206,89,663
The Oaks - Oakdale,0,0,14,54,327,761,915,592,151,94,40,289
Blackheath - Megalong Valley,0,0,4,32,307,795,982,331,56,64,31,984
Blaxland - Warrimoo - Lapstone,0,5,7,87,711,1810,2350,1264,260,212,49,419
Blue Mountains - North,0,0,0,0,0,0,0,0,5,0,0,3
Katoomba - Leura,0,0,10,85,1040,1913,1954,657,148,149,87,1663
Lawson - Hazelbrook - Linden,0,0,9,74,613,1293,1575,568,126,137,34,470
Springwood - Winmalee,0,0,11,85,945,2227,2805,1414,306,209,54,523
Wentworth Falls,0,0,10,28,261,637,1048,442,71,54,20,527
Blue Mountains - South,0,0,0,0,4,5,0,0,0,0,0,4
Cambridge Park,0,3,27,139,824,1617,1975,610,116,129,73,438
Emu Plains - Leonay,0,4,10,61,608,1339,1810,808,135,138,36,271
Glenmore Park - Regentville,0,6,11,82,763,1877,2146,1372,161,218,46,317
Jamisontown - South Penrith,0,7,29,138,958,2065,2129,711,123,184,72,616
Kingswood - Werrington,0,12,42,279,1636,3004,2395,694,94,191,135,1264
Mulgoa - Luddenham - Orchard Hills,0,5,10,63,391,907,1135,715,188,110,35,286
Penrith,4,5,31,235,2051,3479,1426,264,50,151,135,1581
Warragamba - Silverdale,0,0,8,23,182,507,623,397,64,48,22,142
Cranebrook - Castlereagh,0,7,27,139,744,1545,1949,708,142,144,60,459
Jordan Springs - Llandilo,0,0,15,62,456,1163,1326,766,61,124,46,276
Richmond - Clarendon,3,0,22,96,856,1911,1935,642,105,156,59,634
Windsor - Bligh Park,0,3,27,110,883,1713,1822,594,138,159,61,547
Yarramundi - Londonderry,4,5,17,61,244,476,522,319,100,58,27,180
Erskine Park,0,6,8,66,265,563,582,349,57,61,22,121
St Clair,0,11,46,210,959,1725,2149,805,160,183,82,424
Colyton - Oxley Park,15,13,41,165,787,1377,1363,301,36,103,80,518
St Marys - North St Marys,6,10,65,263,1316,2242,1574,273,46,164,130,1097
Rookwood Cemetery,0,0,0,0,0,0,0,0,0,0,0,0
Auburn - Central,56,100,323,851,1556,1207,655,178,47,103,179,903
Auburn - North,18,59,242,687,1058,873,175,51,10,72,116,703
Auburn - South,3,29,63,223,636,643,444,128,24,45,47,327
Berala,3,21,77,261,740,767,505,181,44,48,46,348
Lidcombe,15,34,183,658,1886,2048,1139,367,103,142,126,857
Regents Park,3,13,43,152,459,501,283,76,17,32,36,230
Silverwater - Newington,0,5,22,175,781,1028,489,129,3,45,21,285
Wentworth Point - Sydney Olympic Park,0,14,84,767,4707,3165,348,12,9,120,94,2344
Ermington - Rydalmere,6,12,53,380,2108,2761,1963,644,136,187,117,1005
Oatlands - Dundas Valley,0,9,26,205,1486,2095,1539,640,139,134,97,931
Carlingford - East,0,0,21,171,763,1102,1013,483,133,93,36,349
Carlingford - West,0,3,45,364,1526,1855,1365,707,178,129,50,746
Chester Hill - Sefton,12,30,153,504,1595,1694,1174,316,66,111,131,884
Fairfield - East,15,41,139,440,1449,1318,748,185,54,85,119,783
Granville - Clyde,27,67,251,865,2187,2062,910,227,67,146,191,1486
Guildford - South Granville,22,48,181,654,1963,1773,906,248,58,115,163,1330
Guildford West - Merrylands West,13,38,132,570,1849,2219,1327,457,59,131,147,1150
Smithfield Industrial,0,0,0,0,3,0,0,0,0,0,0,7
Yennora Industrial,0,0,0,0,3,0,0,0,0,0,0,0
Greystanes - South,0,4,31,149,885,1437,1751,691,127,118,86,426
Merrylands - Holroyd,15,36,172,733,2259,2615,983,321,86,122,190,1481
Pemulwuy - Greystanes (North),3,7,12,96,569,1074,1028,381,74,75,41,270
South Wentworthville,0,11,33,143,499,734,562,155,36,46,58,321
North Parramatta,3,10,72,591,3020,3814,988,153,51,154,104,1622
North Rocks,0,0,10,61,396,751,873,496,88,51,20,165
Northmead,0,10,71,520,2528,2742,1199,329,68,149,106,1485
Toongabbie - Constitution Hill,10,16,65,290,1477,2485,2237,679,159,150,89,886
Winston Hills,0,0,9,42,529,1081,1239,523,128,103,24,182
Pendle Hill - Girraween,0,14,65,338,1299,1440,852,225,34,57,77,638
Wentworthville - Westmead,9,10,143,777,2696,2298,726,204,63,122,110,1359
Parramatta - North,0,16,109,652,2442,1447,101,11,4,65,82,1262
Parramatta - South,6,16,98,465,1338,1203,213,41,17,48,67,731
Rosehill - Harris Park,6,21,98,435,1360,1108,180,42,12,55,72,794
Pennant Hills - Cheltenham,0,0,17,153,1137,2070,2070,1231,320,194,55,601
Epping (East) - North Epping,4,7,45,339,1539,1393,1022,449,119,93,49,531
Epping (NSW) - West,5,0,36,416,1839,1945,1239,595,171,122,61,698
Gladesville - Huntleys Point,0,0,12,121,1683,2266,1288,459,120,166,54,738
Hunters Hill - Woolwich,0,0,0,37,535,1013,889,466,151,90,23,460
Macquarie Park - Marsfield,3,8,64,580,3738,3506,933,363,147,151,121,1925
North Ryde - East Ryde,3,3,13,210,1501,1548,1333,557,153,126,55,559
West Ryde - Meadowbank,4,8,53,424,2906,2848,1172,350,94,129,78,1077
Putney,0,0,5,17,161,385,471,213,63,26,9,131
Denistone,0,0,9,61,360,693,711,295,73,50,11,154
Eastwood,13,10,52,341,1677,2035,1372,653,237,127,74,791
Ryde - North,6,3,41,374,2215,2599,1471,559,137,172,92,1010
Ryde - South,0,0,28,376,2140,1562,466,149,27,75,58,681
Ashcroft - Busby - Miller,11,37,120,435,1364,1600,1188,257,24,139,161,1015
Austral - Greendale,4,8,23,123,449,930,1058,690,117,82,85,501
Badgerys Creek,0,0,0,0,0,5,0,0,0,0,0,0
Cecil Hills,3,4,18,73,250,559,486,340,57,47,15,97
Green Valley,9,20,61,232,764,1005,843,420,66,85,52,234
Hinchinbrook,5,8,60,181,634,1065,977,389,53,68,53,198
Hoxton Park - Carnes Hill - Horningsea Park,7,5,31,144,606,1154,1012,445,36,77,52,208
West Hoxton - Middleton Grange,6,13,40,143,702,1485,1264,653,70,93,55,250
Cobbitty - Bringelly,0,0,0,27,115,366,592,343,46,45,18,120
Gledswood Hills - Gregory Hills,3,3,15,57,373,1122,1588,1011,60,86,35,261
Leppington - Catherine Field,0,8,21,75,428,1042,1228,745,111,79,50,348
Oran Park,0,7,12,100,590,1509,1663,995,85,136,60,454
Bonnyrigg Heights - Bonnyrigg,6,36,72,335,1190,1363,1122,475,69,106,89,419
Bossley Park - Abbotsbury,9,3,62,323,1075,1581,1521,791,148,102,74,417
Cabramatta - Lansvale,25,67,276,963,2315,2132,982,271,86,121,152,1055
Cabramatta West - Mount Pritchard,12,38,138,423,1221,1504,1173,333,84,121,117,554
Canley Vale - Canley Heights,27,53,213,693,1770,1796,1127,312,70,122,114,709
Edensor Park,3,14,36,169,564,840,729,392,63,47,26,179
Fairfield,13,22,135,700,2001,1870,696,209,55,70,108,930
Fairfield - West,12,50,114,602,1602,1580,1187,407,82,105,112,613
Greenfield Park - Prairiewood,4,8,40,190,574,643,643,320,58,38,25,196
Horsley Park - Kemps Creek,0,0,4,44,148,292,301,267,79,31,16,158
Smithfield - Wetherill Park,6,33,92,449,1519,1612,1466,558,83,87,77,594
St Johns Park - Wakeley,10,16,54,216,660,827,911,391,75,61,32,195
Wetherill Park Industrial,0,0,0,0,12,0,0,0,0,0,0,6
Casula,5,10,58,229,997,1565,1272,564,83,116,84,493
Chipping Norton - Moorebank,0,13,23,195,963,1918,2063,904,179,146,78,532
Holsworthy - Wattle Grove,0,5,19,126,975,2058,2025,821,111,172,51,370
Lurnea - Cartwright,3,19,75,347,1101,1162,742,167,26,60,95,609
Warwick Farm,0,5,35,203,925,865,210,22,6,45,57,594
Edmondson Park,0,8,25,94,539,1058,971,500,55,53,44,446
Liverpool - East,4,17,105,766,2611,2554,291,41,8,122,141,1975
Liverpool - West,4,20,103,396,1214,1426,766,187,35,61,84,744
Prestons,0,9,45,170,667,1378,1113,551,72,86,59,225
Gymea - Grays Point,0,0,7,95,1014,2185,1890,800,164,187,33,449
Miranda - Yowie Bay,0,5,21,259,1987,2906,1693,600,137,198,109,872
Sylvania - Taren Point,0,3,3,106,893,1807,1875,756,192,132,72,681
Caringbah,0,4,14,135,1534,2156,1052,220,25,133,45,722
Caringbah South,0,0,3,46,480,1162,1672,704,128,144,24,272
Cronulla - Kurnell - Bundeena,0,0,16,222,2673,3792,2202,687,153,302,92,1712
Lilli Pilli - Port Hacking - Dolans Bay,0,0,0,5,116,237,351,225,52,33,0,54
Woolooware - Burraneer,0,0,5,57,708,1009,883,416,100,87,18,310
Heathcote - Waterfall,0,0,0,38,437,745,671,295,62,64,16,126
Illawong - Alfords Point,0,3,13,41,293,774,992,880,199,78,12,147
Menai - Lucas Heights - Woronora,0,0,10,74,785,1915,2208,1305,239,198,45,277
Oyster Bay - Como - Jannali,0,3,12,110,1157,2356,2271,1047,202,179,48,495
Royal National Park,0,0,0,0,5,0,0,0,0,0,0,3
Sutherland - Kirrawee,3,3,22,290,2568,4102,1742,437,77,243,94,1104
Engadine,0,0,12,91,950,1989,1811,723,109,161,40,310
Loftus - Yarrawarrah,0,0,0,32,322,706,879,357,73,65,22,108
Woronora Heights,0,0,0,7,82,291,356,274,50,42,8,38
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,34
