"sa2_name_2021","pop_2021","in_wslhd_2021","in_metro_2021","pop2011_as21","abs_change","growth_rate"
"Lethbridge Park - Tregear",21551,1,1,16045,5506,0.343159862885634
"Mount Druitt - Whalan",22918,1,1,21720,1198,0.0551565377532228
"Prospect Reservoir",12,1,1,15,-3,-0.2
"Rooty Hill - Minchinbury",22826,1,1,19627,3199,0.162989759005452
"Banksmeadow",508,0,1,10,498,49.8
"Botany",12960,0,1,8883,4077,0.458966565349544
"Pagewood - Hillsdale - Daceyville",14762,0,1,10590,4172,0.39395656279509
"Port Botany Industrial",6,0,1,0,6,NA
"Sydney Airport",19,0,1,5,14,2.8
"Eastlakes",8941,0,1,7963.2741804,977.725819599999,0.122779374092942
"Mascot",21573,0,1,11902.7258196,9670.2741804,0.812441984043364
"Petersham - Stanmore",19898,0,1,18807,1091,0.05801031530813
"Sydenham - Tempe - St Peters",8278,0,1,7192,1086,0.151001112347052
"Marrickville - North",12317,0,1,10925.5513856,1391.4486144,0.127357289832891
"Marrickville - South",14283,0,1,13685.4486144,597.551385600002,0.0436632661768391
"Darlinghurst",10615,0,1,10060,555,0.055168986083499
"Erskineville - Alexandria",19126,0,1,13896,5230,0.376367299942429
"Glebe - Forest Lodge",20262,0,1,16574,3688,0.222517195607578
"Potts Point - Woolloomooloo",18187,0,1,18040,147,0.00814855875831486
"Surry Hills",15828,0,1,15344,484,0.0315432742440042
"Camperdown - Darlington",8332,0,1,8563.5033974,-231.5033974,-0.0270337251772782
"Chippendale",7803,0,1,6190.9506031,1612.0493969,0.260388024432435
"Newtown (NSW)",14667,0,1,12954.4966026,1712.5033974,0.132193743217803
"Pyrmont",12658,0,1,11147.4867967,1510.5132033,0.135502578370145
"Redfern",13670,0,1,10370.0493969,3299.9506031,0.318219371653763
"Rosebery - Beaconsfield",12290,0,1,5347.1243856,6942.8756144,1.29843166414782
"Sydney (North) - Millers Point",8004,0,1,6369.0789138,1634.9210862,0.256696628873225
"Sydney (South) - Haymarket",19935,0,1,16388.9210862,3546.0789138,0.21637049169673
"Ultimo",7410,0,1,7583.5132033,-173.5132033,-0.0228803192726684
"Waterloo",16379,0,1,9388.5106828,6990.4893172,0.744579151409686
"Zetland",12622,0,1,6353.3649316,6268.6350684,0.986663781458771
"Bondi - Tamarama - Bronte",19055,0,1,17887,1168,0.0652988203723374
"Bondi Beach - North Bondi",20705,0,1,19327,1378,0.0712992187095773
"Bondi Junction - Waverly",17720,0,1,15844,1876,0.118404443322393
"Centennial Park",0,0,1,0,0,NA
"Dover Heights",11122,0,1,10424,698,0.0669608595548734
"Paddington - Moore Park",14793,0,1,14239,554,0.0389072266310836
"Rose Bay - Vaucluse - Watsons Bay",11924,0,1,11713,211,0.0180141722872023
"Woollahra",7454,0,1,7182,272,0.0378724589250905
"Bellevue Hill",14429,0,1,14044.4015013,384.598498699999,0.0273844705069418
"Double Bay - Darling Point",9958,0,1,9884.5984987,73.4015012999989,0.0074258455019344
"Kensington (NSW)",11809,0,1,12775.0450068,-966.045006800001,-0.0756196949823493
"Kingsford",13605,0,1,14098.9549932,-493.954993199999,-0.0350348655938143
"Maroubra - North",9790,0,1,9247.9415172,542.058482800001,0.0586139609330185
"Maroubra - South",11084,0,1,10743.1043822,340.895617799999,0.0317315745684107
"Maroubra - West",9846,0,1,9602.9541006,243.0458994,0.0253094929803751
"Randwick - North",16206,0,1,16153.736599,52.2634010000002,0.0032353753374458
"Randwick - South",12735,0,1,11588.263401,1146.736599,0.0989567253796667
"Coogee - Clovelly",19521,0,1,18550.5413562,970.458643800001,0.0523143031335661
"Malabar - La Perouse",10610,0,1,9639.7608722,970.2391278,0.100649709122771
"Matraville - Chifley",13412,0,1,11473.2391278,1938.7608722,0.168981126480867
"South Coogee",5611,0,1,5120.4586438,490.5413562,0.0958002769525269
"Bass Hill - Georges Hall",23855,0,1,20069,3786,0.188649160396632
"Chullora",1469,0,1,0,1469,NA
"Condell Park",12773,0,1,10186,2587,0.253976045552719
"Padstow",17200,0,1,15631,1569,0.100377455057258
"Revesby",17664,0,1,14870,2794,0.187895090786819
"Yagoona - Birrong",22484,0,1,18953,3531,0.186302959953569
"Bankstown - North",16981,0,1,15391.493761,1589.506239,0.103271733314644
"Bankstown - South",18434,0,1,15443.506239,2990.493761,0.193640855562191
"Greenacre - North",14637,0,1,12846.564486,1790.435514,0.139370764530174
"Greenacre - South",13416,0,1,11464.435514,1951.564486,0.170227699708094
"Panania (North) - Milperra",11340,0,1,9943.172151,1396.827849,0.14048110882396
"Panania (South) - Picnic Point",15994,0,1,14274.827849,1719.172151,0.120433827236693
"Belmore - Belfield",20332,0,1,18619,1713,0.0920027928460175
"Punchbowl",21544,0,1,19199,2345,0.122141778217616
"Roselands",14577,0,1,13063,1514,0.115899869861441
"Lakemba",17092,0,1,15508.995128,1583.004872,0.102070112146856
"Wiley Park",10135,0,1,9699.004872,435.995127999999,0.0449525630468204
"Campsie - North",11905,0,1,10745.5890647589,1159.41093524109,0.107896452046867
"Campsie - South",9059,0,1,7859.12489091249,1199.87510908751,0.152672864440025
"Canterbury - South",12220,0,1,8212.2860443286,4007.7139556714,0.488014413287409
"Earlwood",17969,0,1,16773.7121922,1195.2878078,0.0712595872698844
"Kingsgrove - North",6261,0,1,5748.2878078,512.7121922,0.0891938972687288
"Narwee - Beverly Hills",13791,0,1,12762,1029,0.0806299952985425
"Oatley - Hurstville Grove",12594,0,1,11946,648,0.0542440984429935
"Peakhurst - Lugarno",20220,0,1,17566.4559184,2653.5440816,0.151057452563357
"Riverwood",11606,0,1,9308.5440816,2297.4559184,0.246811520497747
"South Hurstville - Blakehurst",25259,0,1,22603,2656,0.117506525682432
"Hurstville - Central",12046,0,1,9380.5484344,2665.4515656,0.284146666289292
"Hurstville - North",12109,0,1,10771.4515656,1337.5484344,0.124175319013793
"Mortdale - Oatley",14715,0,1,13237.348129,1477.651871,0.111627484342034
"Penshurst",9528,0,1,9032.651871,495.348129,0.0548397232700124
"Kingsgrove (South) - Bardwell Park",12973,0,1,12009,964,0.0802731284869681
"Kogarah",13051,0,1,9607,3444,0.358488602060997
"Kogarah Bay - Carlton - Allawah",16200,0,1,14839,1361,0.0917177707392682
"Monterey - Brighton-le-Sands - Kyeemagh",13896,0,1,13128,768,0.0585009140767824
"Rockdale - Banksia",19853,0,1,18323,1530,0.0835016099983627
"Sans Souci - Ramsgate",16659,0,1,14806,1853,0.125151965419425
"Arncliffe - Bardwell Valley",16579,0,1,10329.2965362,6249.7034638,0.605046378705202
"Bexley - North",10145,0,1,9394.445424,750.554576,0.079893441509869
"Bexley - South",15831,0,1,15725.554576,105.445424,0.00670535487256698
"Wolli Creek",10731,0,1,4341.7034638,6389.2965362,1.47161053016916
"Concord - Mortlake - Cabarita",23113,0,1,19582,3531,0.180318659993872
"Drummoyne - Rodd Point",18366,0,1,17459,907,0.051950283521393
"Five Dock - Abbotsford",20933,0,1,19101,1832,0.0959112088372337
"Concord West - North Strathfield",12842,0,1,9112.6269234,3729.3730766,0.409253347903827
"Rhodes",11453,0,1,8905.3730766,2547.6269234,0.286077506409497
"Balmain",15579,0,1,14753,826,0.0559886124855961
"Lilyfield - Rozelle",13824,0,1,13017,807,0.0619958515787048
"Annandale (NSW)",9464,0,1,8691.7343375,772.2656625,0.0888505829231461
"Leichhardt",17532,0,1,15741.2656625,1790.7343375,0.113760505406247
"Canterbury (North) - Ashbury",11999,0,1,9378,2621,0.279483898485818
"Croydon Park - Enfield",17434,0,1,16385,1049,0.0640219713152273
"Dulwich Hill - Lewisham",17948,0,1,15904,2044,0.128521126760563
"Haberfield - Summer Hill",13520,0,1,13235,285,0.0215338118624858
"Homebush",20822,0,1,12517,8305,0.663497643205241
"Strathfield South",3636,0,1,3212.014059,423.985941,0.132000026529149
"Ashfield - North",11456,0,1,12128.2966068,-672.296606800001,-0.055432071674687
"Ashfield - South",12246,0,1,10643.7033932,1602.2966068,0.15053938912124
"Burwood (NSW)",15942,0,1,11544.2564232,4397.7435768,0.380946456452755
"Croydon",10993,0,1,9468.7435768,1524.2564232,0.160977685247986
"Strathfield - East",16420,0,1,15149.0893576214,1270.91064237862,0.0838935339528665
"Strathfield - West",9253,0,1,7640.89658337862,1612.10341662138,0.210983540875062
"Chatswood (West) - Lane Cove North",21294,0,1,18122,3172,0.175035868005739
"St Leonards - Naremburn",11903,0,1,9262,2641,0.285143597495141
"Artarmon",9406,0,1,8083.1199273,1322.8800727,0.163659587461036
"Castle Cove - Northbridge",13440,0,1,12562.7653892,877.234610799998,0.0698281456051183
"Chatswood - East",19601,0,1,16259.8800727,3341.1199273,0.205482445895137
"Greenwich - Riverview",12928,0,1,11712.574791,1215.425209,0.103770966733458
"Lane Cove",15888,0,1,12434.425209,3453.574791,0.277743018511247
"Willoughby",12996,0,1,11759.2346108,1236.7653892,0.105173970086805
"Asquith - Mount Colah",22057,0,1,17744.5207331051,4312.47926689493,0.243031600106807
"Berowra - Brooklyn - Cowan",11790,0,1,11395,395,0.0346643264589732
"Normanhurst - Thornleigh - Westleigh",19158,0,1,18045.9993967999,1112.00060320006,0.0616203391537988
"Hornsby - East",11943,0,1,10711.919538792,1231.08046120804,0.114926223703401
"Hornsby - West",10629,0,1,9974.46951969395,654.530480306046,0.0656205805244798
"Wahroonga (West) - Waitara",11877,0,1,8656.09081160908,3220.90918839092,0.372097435030511
"Gordon - Killara",22433,0,1,18753,3680,0.196235269023623
"Lindfield - Roseville",24599,0,1,21171,3428,0.161919607009589
"Pymble",17221,0,1,15736,1485,0.0943695983731571
"St Ives",21665,0,1,18644,3021,0.162036043767432
"Turramurra",20251,0,1,18029,2222,0.123245881635143
"Wahroonga (East) - Warrawee",18191,0,1,17247,944,0.0547341566649272
"Cremorne - Cammeray",18905,0,1,18017.4796538,887.520346199999,0.0492588510298562
"Crows Nest - Waverton",17916,0,1,16621,1295,0.0779134829432645
"Neutral Bay - Kirribilli",17183,0,1,16752.5203462,430.479653800001,0.0256964113401389
"North Sydney - Lavender Bay",12441,0,1,9514,2927,0.307651881437881
"Mosman - North",13763,0,1,13409.3329444,353.667055600001,0.0263746941825096
"Mosman - South",14565,0,1,14042.6670556,522.332944399999,0.0371961353446531
"Balgowlah - Clontarf - Seaforth",20732,0,1,19183,1549,0.080748579471407
"Manly - Fairlight",22438,0,1,20565,1873,0.0910770726963287
"Avalon - Palm Beach",13052,0,1,12198,854,0.0700114772913592
"Bayview - Elanora Heights",11243,0,1,10239.0000208,1003.9999792,0.0980564485946309
"Newport - Bilgola",13681,0,1,12898,783,0.0607070863699798
"Mona Vale - Warriewood (North)",14634,0,1,12337.9394904356,2296.06050956442,0.186097566076113
"North Narrabeen - Warriewood (South)",10874,0,1,9476.06048876442,1397.93951123558,0.147523278570571
"Beacon Hill - Narraweena",14547,0,1,13042,1505,0.115396411593314
"Cromer",8046,0,1,7207,839,0.116414596919661
"Forestville - Killarney Heights",13161,0,1,12290,871,0.0708706265256306
"Freshwater - Brookvale",21828,0,1,19235,2593,0.134806342604627
"Manly Vale - Allambie Heights",17550,0,1,15900,1650,0.10377358490566
"Terrey Hills - Duffys Forest",3786,0,1,3535,251,0.071004243281471
"Belrose",8652,0,1,8274.3680948,377.6319052,0.0456387606731348
"Collaroy - Collaroy Plateau",13980,0,1,12582.478565,1397.521435,0.111068850845286
"Dee Why (South) - North Curl Curl",9116,0,1,8049.7666056,1066.2333944,0.132455193627384
"Dee Why - North",17816,0,1,14706.2333944,3109.7666056,0.211459081479298
"Frenchs Forest - Oxford Falls",17175,0,1,15807.6319052,1367.3680948,0.0865005019727337
"Narrabeen - Wheeler Heights",11241,0,1,10107.521435,1133.478565,0.112142088670228
"Camden - Ellis Lane",13295,0,1,12134,1161,0.0956815559584638
"Currans Hill",6445,0,1,4481.6555784,1963.3444216,0.438084629051511
"Elderslie - Narellan",14019,0,1,8018.881935,6000.118065,0.748248710186303
"Harrington Park",11241,0,1,8056.118065,3184.881935,0.395337048104694
"Mount Annan",19040,0,1,16042.3046784,2997.6953216,0.186861886848229
"Spring Farm",9539,0,1,3500.0397432,6038.9602568,1.72539762399347
"Bradbury - Wedderburn",20011,0,1,19153,858,0.0447971597138829
"Campbelltown - Woodbine",22084,0,1,15756,6328,0.401624777862402
"Claymore - Eagle Vale - Raby",20236,0,1,21014,-778,-0.0370229370895593
"Holsworthy Military Area",5,0,1,0,5,NA
"Leumeah - Minto Heights",16729,0,1,15983,746,0.0466745917537383
"Minto - St Andrews",21335,0,1,17579,3756,0.213664030946015
"Rosemeadow - Glen Alpine",21155,0,1,20158,997,0.0494592717531501
"Denham Court - Bardia",14868,0,1,2625.82526549651,12242.1747345035,4.66221987249735
"Glenfield",10536,0,1,8517.9018465,2018.0981535,0.236924325951142
"Ingleburn",16720,0,1,13910.5019053,2809.4980947,0.201969570460255
"Macquarie Fields",14198,0,1,12413.0981535,1784.9018465,0.143791809621414
"Bargo",5934,0,1,5407,527,0.0974662474570002
"Douglas Park - Appin",11112,0,1,7062,4050,0.573491928632116
"Picton - Tahmoor - Buxton",18987,0,1,15370,3617,0.235328562134027
"The Oaks - Oakdale",9808,0,1,8566,1242,0.144991828157833
"Blackheath - Megalong Valley",5764,0,1,5462,302,0.0552911021603808
"Blaxland - Warrimoo - Lapstone",18993,0,1,18499,494,0.0267041461700632
"Blue Mountains - North",7,0,1,30,-23,-0.766666666666667
"Katoomba - Leura",13348,0,1,12920,428,0.0331269349845201
"Lawson - Hazelbrook - Linden",11445,0,1,11081,364,0.032849020846494
"Springwood - Winmalee",21964,0,1,21771,193,0.00886500390427633
"Wentworth Falls",6428,0,1,5935,493,0.0830665543386689
"Blue Mountains - South",8,0,1,8,0,0
"Cambridge Park",16004,0,1,15136,868,0.0573467230443975
"Emu Plains - Leonay",13914,0,1,13881,33,0.00237735033499027
"Glenmore Park - Regentville",21002,0,1,20880.1231352,121.8768648,0.00583698017539651
"Jamisontown - South Penrith",17326,0,1,16888,438,0.0259355755566082
"Kingswood - Werrington",24625,0,1,17112,7513,0.439048620850865
"Mulgoa - Luddenham - Orchard Hills",12040,0,1,6394.085512,5645.914488,0.882990144158085
"Penrith",17966,0,1,11813,6153,0.52086684161517
"Warragamba - Silverdale",6025,0,1,5058,967,0.191182285488335
"Cranebrook - Castlereagh",17029,0,1,12395.4379484,4633.5620516,0.373811887154669
"Jordan Springs - Llandilo",13388,0,1,4976.5620516,8411.4379484,1.69021060346181
"Richmond - Clarendon",15239,0,1,13441,1798,0.133769808793989
"Windsor - Bligh Park",15264,0,1,15462,-198,-0.0128055878928987
"Yarramundi - Londonderry",7504,0,1,6847,657,0.0959544325982182
"Erskine Park",6486,0,1,6668,-182,-0.0272945410917816
"St Clair",19942,0,1,19840,102,0.00514112903225806
"Colyton - Oxley Park",13028,0,1,10919.5434551,2108.4565449,0.193090173922541
"St Marys - North St Marys",17325,0,1,14639.4565449,2685.5434551,0.18344557032314
"Rookwood Cemetery",3,1,1,10,-7,-0.7
"Auburn - Central",19487,1,1,15584.5187996519,3902.48120034811,0.250407551912048
"Auburn - North",10592,1,1,9893.71522197152,698.284778028477,0.0705786211106782
"Auburn - South",8860,1,1,7644.76597837659,1215.23402162341,0.158962880624565
"Berala",8610,1,1,8429.8982108,180.1017892,0.0213646457758246
"Lidcombe",21197,1,1,16673.6733196,4523.3266804,0.271285552601226
"Regents Park",5138,1,1,4882.4284696,255.5715304,0.0523451663432025
"Silverwater - Newington",9246,1,1,5463.5664952,3782.4335048,0.692301175088296
"Wentworth Point - Sydney Olympic Park",20412,1,1,5844.4335048,14567.5664952,2.49255406588778
"Ermington - Rydalmere",24641,1,1,19216,5425,0.282316819317236
"Oatlands - Dundas Valley",18508,1,1,15763,2745,0.174141978049864
"Carlingford - East",11622,1,1,9936.2846595,1685.7153405,0.169652480606853
"Carlingford - West",19251,1,1,14684.7153405,4566.2846595,0.310954931956109
"Chester Hill - Sefton",20842,0,1,16644,4198,0.252223023311704
"Fairfield - East",15742,0,1,14401,1341,0.0931185334351781
"Granville - Clyde",23250,1,1,18246,5004,0.274251890825386
"Guildford - South Granville",22386,1,1,18330,4056,0.221276595744681
"Guildford West - Merrylands West",22929,1,1,19020,3909,0.205520504731861
"Smithfield Industrial",10,1,1,6,4,0.666666666666667
"Yennora Industrial",12,1,1,6,6,1
"Greystanes - South",16645,1,1,14409.277741,2235.722259,0.155158523500349
"Merrylands - Holroyd",23806,1,1,19661.5490898,4144.4509102,0.210789642833893
"Pemulwuy - Greystanes (North)",10893,1,1,9063.39703,1829.60297,0.201867242927126
"South Wentworthville",7305,1,1,6124.4509102,1180.5490898,0.192759988954087
"North Parramatta",22878,1,1,20274,2604,0.128440366972477
"North Rocks",8451,1,1,7625,826,0.108327868852459
"Northmead",20275,1,1,17287,2988,0.172846647770001
"Toongabbie - Constitution Hill",22853,1,1,20707,2146,0.103636451441542
"Winston Hills",11199,1,1,10367,832,0.0802546541911836
"Pendle Hill - Girraween",13939,1,1,11419.6712,2519.3288,0.220613076845855
"Wentworthville - Westmead",21568,1,1,14393.3288,7174.6712,0.498471986549769
"Parramatta - North",12062,1,1,6653.11415,5408.88585,0.812985577588504
"Parramatta - South",9867,1,1,8553.7525525,1313.2474475,0.153528809658654
"Rosehill - Harris Park",9034,1,1,7496.1332975,1537.8667025,0.205154663273249
"Pennant Hills - Cheltenham",21737,0,1,19420,2317,0.119309989701339
"Epping (East) - North Epping",14404,1,1,9301.763622,5102.236378,0.548523547290804
"Epping (NSW) - West",18690,1,1,14283.236378,4406.763622,0.308526968634895
"Gladesville - Huntleys Point",15456,0,1,13424,2032,0.151370679380215
"Hunters Hill - Woolwich",9844,0,1,9807,37,0.0037728153359845
"Macquarie Park - Marsfield",23818,0,1,18494,5324,0.287877149345734
"North Ryde - East Ryde",15622,0,1,11978,3644,0.304224411420938
"West Ryde - Meadowbank",20102,0,1,17001,3101,0.182401035233222
"Putney",4163,0,1,4077.6953785,85.3046214999999,0.0209198121933718
"Denistone",6969,0,1,6365.5826808,603.4173192,0.0947937289417416
"Eastwood",18974,1,1,16636.4173192,2337.5826808,0.140509980962199
"Ryde - North",20291,0,1,16325.1818467415,3965.81815325846,0.242926430497926
"Ryde - South",11972,0,1,5738.12277475846,6233.87722524154,1.08639662655248
"Ashcroft - Busby - Miller",17962,0,1,16646,1316,0.0790580319596299
"Austral - Greendale",12533,0,1,8980.2789744408,3552.7210255592,0.395613659182612
"Badgerys Creek",25,0,1,289.357142643421,-264.357142643421,-0.913601579793011
"Cecil Hills",6906,0,1,6866.48666235132,39.5133376486774,0.00575452041075496
"Green Valley",12919,0,1,12381.8574526142,537.142547385754,0.043381419099793
"Hinchinbrook",13038,0,1,9517.6558850344,3520.3441149656,0.369875120248989
"Hoxton Park - Carnes Hill - Horningsea Park",13263,0,1,8993.0043648,4269.9956352,0.474813028214844
"West Hoxton - Middleton Grange",17194,0,1,10399.8378308158,6794.16216918422,0.653295010913769
"Cobbitty - Bringelly",4761,0,1,919.325442839669,3841.67455716033,4.17879716816488
"Gledswood Hills - Gregory Hills",14299,0,1,1713.26076299774,12585.7392370023,7.34607335253547
"Leppington - Catherine Field",12559,0,1,2105.8445408843,10453.1554591157,4.96387803381066
"Oran Park",17624,0,1,1710.55512258177,15913.4448774182,9.30308802524864
"Bonnyrigg Heights - Bonnyrigg",17154,0,1,15188,1966,0.129444298130103
"Bossley Park - Abbotsbury",19690,0,1,18226,1464,0.0803248107099748
"Cabramatta - Lansvale",24101,0,1,23365,736,0.031500106997646
"Cabramatta West - Mount Pritchard",18249,0,1,15814,2435,0.153977488301505
"Canley Vale - Canley Heights",22261,0,1,19591,2670,0.13628707059364
"Edensor Park",10279,0,1,9440,839,0.0888771186440678
"Fairfield",18248,0,1,16848,1400,0.0830959164292498
"Fairfield - West",21249,0,1,17410,3839,0.220505456634118
"Greenfield Park - Prairiewood",8855,0,1,7762,1093,0.140814223138366
"Horsley Park - Kemps Creek",4344,0,1,4326,18,0.00416088765603329
"Smithfield - Wetherill Park",19510,0,1,17012,2498,0.146837526451916
"St Johns Park - Wakeley",11197,0,1,10635,562,0.0528443817583451
"Wetherill Park Industrial",37,0,1,21,16,0.761904761904762
"Casula",16584,0,1,14696,1888,0.128470332063146
"Chipping Norton - Moorebank",20813,0,1,15652,5161,0.329734219269103
"Holsworthy - Wattle Grove",21129,0,1,19549,1580,0.0808225484679523
"Lurnea - Cartwright",12670,0,1,10862.7402125,1807.2597875,0.166372365733312
"Warwick Farm",5937,0,1,4491.1776588,1445.8223412,0.321924994075231
"Edmondson Park",12080,0,1,1903.34467908138,10176.6553209186,5.34672223731448
"Liverpool - East",17536,0,1,12388.8342088608,5147.16579113916,0.41546813076712
"Liverpool - West",13737,0,1,11707.9881323392,2029.01186766083,0.173301496783756
"Prestons",15692,0,1,12938.9151084186,2753.08489158138,0.212775558732131
"Gymea - Grays Point",18156,0,1,16847,1309,0.0776992936427851
"Miranda - Yowie Bay",20705,0,1,17601,3104,0.176353616271803
"Sylvania - Taren Point",16430,0,1,15106.3050123,1323.6949877,0.0876253317156121
"Caringbah",12858,0,1,10956.7329649267,1901.2670350733,0.173524995193312
"Caringbah South",13015,0,1,11604.6274909372,1410.37250906276,0.12153535390638
"Cronulla - Kurnell - Bundeena",24374,0,1,21671.2832886,2702.7167114,0.124714197835333
"Lilli Pilli - Port Hacking - Dolans Bay",3369,0,1,3056.63954413604,312.360455863959,0.102190805083053
"Woolooware - Burraneer",8947,0,1,7515.7167114,1431.2832886,0.190438695810474
"Heathcote - Waterfall",6673,0,1,6457,216,0.0334520675236178
"Illawong - Alfords Point",10554,0,1,10639,-85,-0.00798947269480214
"Menai - Lucas Heights - Woronora",20927,0,1,21056,-129,-0.00612651975683891
"Oyster Bay - Como - Jannali",22063,0,1,20631,1432,0.0694101109980127
"Royal National Park",42,0,1,17,25,1.47058823529412
"Sutherland - Kirrawee",23238,0,1,19371,3867,0.199628310360849
"Engadine",17356,0,1,16661.7973552,694.2026448,0.0416643312843644
"Loftus - Yarrawarrah",7348,0,1,7206.7780128,141.221987200001,0.0195957176631742
"Woronora Heights",3539,0,1,3867.424632,-328.424632,-0.0849207581920371
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,NA
"No usual address (NSW)",11371,0,0,0,11371,NA
