sa2,Arthritis,Asthma,Cancer (including remission),Dementia (including Alzheimer's),Diabetes (excluding gestational diabetes),Heart disease (including heart attack or angina),Kidney disease,Lung condition (including COPD or emphysema),Mental health condition (including depression or anxiety),Stroke,Any other long-term health condition(s),No long-term health condition(s),Not stated
Doonside - Woodcroft,1593,1739,462,89,1781,824,224,333,1354,216,1812,14952,1754
Lalor Park - Kings Langley,2130,2117,678,178,1526,1012,218,422,2055,219,2078,15291,1934
Blacktown - South,828,895,233,62,820,437,116,191,802,98,874,8170,984
Blacktown - West,1222,1141,362,208,1165,686,162,239,1103,140,1294,10921,1431
Seven Hills - Prospect,1044,1051,336,59,1019,546,123,217,890,136,1098,9558,1030
Toongabbie - West,661,727,210,43,735,359,87,163,593,69,723,7919,790
Glenwood,822,1027,241,27,952,436,103,101,774,65,1140,11182,610
Acacia Gardens,191,252,63,6,207,110,25,21,198,20,263,2596,93
Quakers Hill,1277,1698,414,76,1346,605,151,199,1453,136,1739,16851,1424
Kellyville Ridge - The Ponds,938,1341,296,46,962,503,124,115,944,91,1448,15181,911
Marsden Park - Shanes Park,434,784,132,18,609,253,71,81,458,53,734,11917,924
Riverstone,738,1066,200,32,566,311,80,160,990,75,902,9134,1124
Schofields (West) - Colebee,325,547,93,11,424,177,46,42,367,35,549,7468,592
Schofields - East,549,1278,186,28,853,319,85,80,1069,70,1275,19100,1549
Stanhope Gardens - Parklea,641,788,204,20,642,329,76,117,627,73,772,8185,1821
Bidwill - Hebersham - Emerton,1683,2035,382,96,1475,743,229,414,1578,200,1333,9813,2646
Glendenning - Dean Park,494,681,121,97,590,268,78,84,533,55,685,5400,575
Hassall Grove - Plumpton,1244,1648,356,104,1616,671,203,211,1147,141,1538,13794,1660
Lethbridge Park - Tregear,1751,2357,402,100,1503,789,255,497,1813,201,1475,12113,2787
Mount Druitt - Whalan,1673,1786,393,98,1695,762,281,379,1475,212,1651,14174,2413
Prospect Reservoir,0,0,0,0,3,4,0,0,0,0,0,5,4
Rooty Hill - Minchinbury,1471,1662,449,266,1685,767,194,290,1269,170,1813,14388,1953
Banksmeadow,12,17,5,0,14,4,0,0,28,0,17,336,92
Botany,720,901,265,96,485,300,86,119,875,79,850,8605,972
Pagewood - Hillsdale - Daceyville,924,922,285,125,671,443,137,132,922,119,1019,9850,1152
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0,4,0
Sydney Airport,0,0,0,0,0,0,0,0,0,0,0,8,4
Eastlakes,711,591,222,78,572,310,88,114,573,67,706,5655,640
Mascot,671,1012,279,64,594,309,99,110,919,83,1067,16271,1540
Petersham - Stanmore,1074,1821,427,86,586,500,116,212,2532,126,1687,11939,1431
Sydenham - Tempe - St Peters,436,701,166,29,265,162,49,71,871,39,677,5307,501
Marrickville - North,691,1015,261,109,459,293,82,135,1404,81,1055,7546,873
Marrickville - South,954,1164,316,174,639,416,125,165,1619,139,1272,8607,973
Darlinghurst,446,762,250,53,202,268,48,119,1036,59,823,6710,968
Erskineville - Alexandria,704,1624,338,24,311,281,78,127,1994,53,1462,12655,1213
Glebe - Forest Lodge,1156,1631,490,62,583,503,132,262,2325,106,1735,12451,1673
Potts Point - Woolloomooloo,996,1289,557,144,426,531,128,226,1875,131,1512,10766,2041
Surry Hills,695,1134,298,133,395,388,87,152,1642,83,1316,9991,1471
Camperdown - Darlington,270,748,125,19,127,128,35,44,955,25,635,5377,584
Chippendale,135,405,66,4,82,67,16,39,576,7,392,5708,739
Newtown (NSW),699,1299,330,30,312,292,82,138,2099,79,1315,8890,977
Pyrmont,566,727,292,20,346,303,70,114,728,51,869,8630,1120
Redfern,843,1086,338,74,482,422,121,213,1603,91,1168,8166,1280
Rosebery - Beaconsfield,375,677,173,38,259,177,51,69,691,45,661,9014,870
Sydney (North) - Millers Point,306,413,205,19,205,213,39,51,403,32,452,5524,750
Sydney (South) - Haymarket,226,542,135,27,274,199,51,44,545,42,696,16069,1724
Ultimo,155,344,71,13,116,75,28,30,419,12,405,5532,630
Waterloo,795,1118,295,62,536,384,123,196,1421,104,1245,10572,1691
Zetland,224,690,116,11,163,146,38,46,694,25,573,9707,763
Bondi - Tamarama - Bronte,922,1166,411,119,397,482,95,157,1105,105,1078,13194,1508
Bondi Beach - North Bondi,775,1258,404,54,326,387,94,145,1211,69,1015,14723,1728
Bondi Junction - Waverly,1050,1093,470,206,461,539,147,187,1099,111,1235,11884,1453
Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover Heights,580,591,263,79,307,289,60,82,556,42,718,7783,698
Paddington - Moore Park,784,1041,374,63,257,379,81,134,1005,93,915,10010,1001
Rose Bay - Vaucluse - Watsons Bay,750,657,423,121,331,490,91,115,539,80,727,7981,877
Woollahra,505,491,253,45,169,293,46,89,412,67,513,4858,586
Bellevue Hill,798,851,413,110,374,464,85,112,777,81,889,9916,915
Double Bay - Darling Point,705,627,373,87,276,411,62,119,591,89,637,6370,744
Kensington (NSW),531,745,270,121,346,300,73,87,848,54,791,8000,862
Kingsford,710,802,276,67,439,328,78,108,827,82,944,9465,863
Maroubra - North,658,521,277,163,361,395,96,110,540,111,718,6558,623
Maroubra - South,852,800,306,71,457,380,121,169,914,115,849,6945,894
Maroubra - West,596,560,228,51,367,289,74,67,508,49,624,6914,507
Randwick - North,814,1067,388,116,345,392,91,153,1034,75,1065,10949,1255
Randwick - South,678,808,310,81,298,323,73,83,850,83,796,8644,961
Coogee - Clovelly,870,1225,452,55,300,424,92,142,1210,83,1104,13728,1311
Malabar - La Perouse,811,592,365,172,443,469,132,144,683,104,788,5916,1726
Matraville - Chifley,1025,917,367,114,665,486,133,168,826,112,953,8408,1076
South Coogee,413,392,188,65,213,192,48,97,455,42,398,3470,500
Bass Hill - Georges Hall,1756,1520,469,217,1373,867,220,316,1204,213,1658,14743,2890
Chullora,45,71,9,4,53,17,0,3,51,4,78,1104,124
Condell Park,773,708,231,81,710,382,91,131,549,96,850,8405,1284
Padstow,1428,1129,477,171,920,684,171,253,1102,188,1336,10978,1165
Revesby,1249,1144,420,98,975,578,137,228,942,132,1353,11390,1435
Yagoona - Birrong,1389,1396,390,193,1319,676,234,239,1112,174,1713,14449,2246
Bankstown - North,848,812,240,61,893,409,147,128,704,97,1025,11711,1592
Bankstown - South,914,877,252,152,968,465,142,149,830,108,1238,12340,2037
Greenacre - North,950,840,281,228,972,504,148,171,786,117,1219,9268,1523
Greenacre - South,822,762,200,93,842,423,131,130,630,103,987,8735,1388
Panania (North) - Milperra,988,848,340,57,599,410,117,188,706,79,827,7301,667
Panania (South) - Picnic Point,1298,1173,441,79,778,578,119,231,959,139,1208,10303,949
Belmore - Belfield,1297,1029,456,174,1213,705,193,205,1029,148,1466,13126,1981
Punchbowl,1255,1262,360,109,1337,654,197,236,955,159,1512,14082,2177
Roselands,931,799,335,66,790,504,135,165,686,112,1150,9557,1139
Lakemba,798,723,188,150,961,454,140,143,687,102,1109,11929,1744
Wiley Park,437,480,124,50,638,263,84,70,397,63,539,7004,1065
Campsie - North,503,440,199,150,642,299,94,114,524,83,798,8458,929
Campsie - South,370,284,132,28,443,201,66,61,335,51,507,6227,1149
Canterbury - South,615,627,214,76,554,327,92,95,672,75,847,8136,1190
Earlwood,1408,1087,513,147,935,690,168,239,1076,157,1439,11484,1193
Kingsgrove - North,444,316,156,43,334,252,58,83,319,57,476,4173,391
Narwee - Beverly Hills,914,774,345,138,794,510,146,153,745,119,1071,9074,899
Oatley - Hurstville Grove,868,739,439,59,474,514,101,133,665,96,1002,8422,653
Peakhurst - Lugarno,1751,1361,673,271,979,922,191,325,1290,224,1690,12764,1274
Riverwood,871,695,281,100,799,465,134,188,752,120,919,7249,1032
South Hurstville - Blakehurst,1343,1067,573,210,1018,842,193,193,977,168,1541,18100,1580
Hurstville - Central,332,348,154,43,421,260,60,50,310,64,620,9428,712
Hurstville - North,656,489,225,66,638,411,95,95,461,80,845,8510,770
Mortdale - Oatley,1004,930,411,132,581,522,93,138,931,126,1200,9817,813
Penshurst,558,490,196,34,439,287,67,86,493,67,635,6449,778
Kingsgrove (South) - Bardwell Park,889,745,352,99,697,492,112,139,711,105,1034,8584,746
Kogarah,663,608,229,108,519,415,106,108,596,71,820,9067,1138
Kogarah Bay - Carlton - Allawah,1059,871,388,113,716,616,134,146,830,123,1218,11006,1094
Monterey - Brighton-le-Sands - Kyeemagh,1127,764,368,103,790,599,130,135,742,112,1035,8764,1202
Rockdale - Banksia,1058,957,384,198,885,560,152,177,920,150,1248,13965,1482
Sans Souci - Ramsgate,1491,1012,596,147,835,795,162,248,1031,182,1205,10409,1292
Arncliffe - Bardwell Valley,882,826,309,78,724,507,110,148,901,122,1078,11109,1621
Bexley - North,741,581,238,123,539,430,115,82,554,86,806,6578,849
Bexley - South,882,709,366,285,807,492,132,132,819,119,1228,10891,1060
Wolli Creek,151,417,73,7,169,103,24,31,391,14,427,8523,785
Concord - Mortlake - Cabarita,1827,1358,817,252,1070,966,196,258,1185,211,1918,15075,1277
Drummoyne - Rodd Point,1335,1200,577,125,624,656,112,175,1152,114,1342,11927,1210
Five Dock - Abbotsford,1631,1382,606,118,865,804,157,256,1352,186,1596,13402,1440
Concord West - North Strathfield,705,710,279,63,516,339,98,87,633,58,909,8775,916
Rhodes,199,405,97,14,265,160,51,44,374,20,489,9203,624
Balmain,971,1172,531,70,365,495,98,177,1278,92,1136,10016,1046
Lilyfield - Rozelle,881,1036,359,53,369,354,77,161,1192,75,1038,8955,889
Annandale (NSW),565,728,248,108,230,259,50,82,927,55,758,5926,712
Leichhardt,1015,1371,415,122,477,441,109,188,1642,97,1433,11288,1071
Canterbury (North) - Ashbury,775,769,270,47,555,370,76,117,868,87,890,7959,708
Croydon Park - Enfield,1259,1123,460,129,944,662,142,216,1109,125,1428,11058,1250
Dulwich Hill - Lewisham,1099,1619,418,67,611,462,120,192,2078,103,1577,10742,1391
Haberfield - Summer Hill,1037,1034,364,131,582,500,109,167,1412,103,1250,8273,744
Homebush,511,757,181,49,666,295,96,77,678,59,921,16129,1507
Strathfield South,223,222,77,6,208,127,39,26,191,23,264,2462,192
Ashfield - North,608,772,265,114,450,330,78,109,1033,80,1006,7578,663
Ashfield - South,895,751,316,319,595,440,121,158,1185,128,1197,7772,691
Burwood (NSW),484,506,225,85,486,297,80,91,615,57,852,12095,1201
Croydon,716,691,292,104,566,416,93,108,720,100,831,7157,648
Strathfield - East,658,570,280,153,576,407,80,102,576,102,927,12319,1145
Strathfield - West,570,433,222,120,504,351,67,72,443,82,712,6264,534
Chatswood (West) - Lane Cove North,998,1332,517,120,606,604,131,170,1293,110,1526,14915,1109
St Leonards - Naremburn,474,767,268,25,303,242,64,72,758,52,807,8350,704
Artarmon,408,591,176,36,284,246,63,96,549,38,623,6660,517
Castle Cove - Northbridge,919,892,456,122,362,478,67,135,672,86,1020,9109,650
Chatswood - East,745,900,434,176,681,533,122,128,858,131,1369,14285,1077
Greenwich - Riverview,825,916,402,58,299,409,77,118,787,75,926,8725,637
Lane Cove,848,1130,387,60,450,414,85,151,1016,77,1138,10962,748
Willoughby,799,946,347,83,408,410,93,127,751,101,953,8765,688
Asquith - Mount Colah,1491,1767,574,71,840,650,130,200,1664,123,1740,14507,1008
Berowra - Brooklyn - Cowan,1005,1074,394,55,457,389,69,141,961,83,1020,7284,524
Normanhurst - Thornleigh - Westleigh,1283,1462,603,181,797,748,133,200,1394,141,1685,12267,824
Hornsby - East,478,685,231,56,502,282,78,102,794,70,847,8415,617
Hornsby - West,691,737,254,52,408,328,68,106,764,62,886,6994,573
Wahroonga (West) - Waitara,674,655,284,185,444,459,89,103,695,79,939,8092,663
Gordon - Killara,1089,1285,619,154,709,784,133,171,1090,129,1601,15739,1066
Lindfield - Roseville,1421,1540,731,121,676,818,153,224,1247,147,1823,17087,1101
Pymble,925,1162,483,56,517,574,105,119,800,99,1212,12028,774
St Ives,1493,1311,687,240,748,949,140,202,1084,138,1616,14806,789
Turramurra,1634,1378,785,335,708,989,137,239,1158,176,1633,13246,811
Wahroonga (East) - Warrawee,1251,1221,626,211,594,764,113,188,982,128,1406,12049,852
Cremorne - Cammeray,1152,1377,610,70,424,652,125,204,1260,129,1325,12642,997
Crows Nest - Waverton,971,1394,490,59,430,516,98,154,1363,94,1364,11976,889
Neutral Bay - Kirribilli,1086,1185,593,129,451,640,129,221,1280,144,1225,11118,1254
North Sydney - Lavender Bay,597,757,295,27,314,326,63,110,736,59,800,8445,956
Mosman - North,1019,904,500,132,313,597,83,162,799,123,927,9033,826
Mosman - South,897,1005,532,137,302,512,97,135,861,102,926,9861,771
Balgowlah - Clontarf - Seaforth,1158,1329,627,115,432,676,121,174,1119,120,1275,14412,1099
Manly - Fairlight,1248,1415,640,150,419,715,97,218,1306,127,1235,15516,1443
Avalon - Palm Beach,1031,878,535,116,294,531,78,154,693,97,833,8399,856
Bayview - Elanora Heights,1082,742,439,138,330,511,84,153,667,104,759,6986,771
Newport - Bilgola,1094,907,495,59,313,544,67,154,811,106,923,8923,798
Mona Vale - Warriewood (North),1341,1029,537,228,463,682,136,190,969,150,1193,9002,1129
North Narrabeen - Warriewood (South),653,766,282,70,274,282,61,115,693,74,712,7283,722
Beacon Hill - Narraweena,1063,1007,443,83,609,558,128,223,1002,120,1058,9406,933
Cromer,632,553,265,52,327,342,62,114,525,89,591,5191,484
Forestville - Killarney Heights,916,885,417,78,484,508,120,147,776,87,957,8724,682
Freshwater - Brookvale,1156,1411,506,138,498,549,99,176,1310,145,1254,15268,1310
Manly Vale - Allambie Heights,1060,1185,527,196,497,558,94,187,1135,135,1146,11934,933
Terrey Hills - Duffys Forest,332,264,141,60,149,200,30,59,292,47,302,2330,222
Belrose,872,712,335,268,398,460,76,160,581,112,740,5254,388
Collaroy - Collaroy Plateau,906,936,437,150,370,494,77,149,845,104,945,9289,869
Dee Why (South) - North Curl Curl,506,588,241,33,193,231,49,80,549,57,563,6330,563
Dee Why - North,918,1112,368,71,539,437,103,144,1054,102,1030,12608,1040
Frenchs Forest - Oxford Falls,1120,1282,497,71,553,574,106,196,1074,102,1224,11512,798
Narrabeen - Wheeler Heights,1105,770,516,384,421,604,105,215,1004,204,927,6667,743
Camden - Ellis Lane,1558,1080,482,311,691,758,158,275,1143,186,1327,7572,893
Currans Hill,413,611,120,13,258,174,46,83,536,34,470,4180,389
Elderslie - Narellan,1225,1197,367,49,644,503,110,225,1208,91,1072,8673,950
Harrington Park,739,836,256,34,509,307,65,110,743,66,828,7494,580
Mount Annan,1416,1707,495,51,849,571,134,219,1659,116,1620,11881,1150
Spring Farm,428,824,118,13,283,177,45,49,787,38,613,6585,491
Bradbury - Wedderburn,1996,2001,478,76,1297,782,221,428,1961,196,1711,11378,1822
Campbelltown - Woodbine,1981,1850,542,143,1454,858,260,367,1890,187,1834,12946,1979
Claymore - Eagle Vale - Raby,1743,1809,457,78,1329,680,180,342,1623,151,1710,12044,1762
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0,4,0
Leumeah - Minto Heights,1750,1577,468,84,1148,713,145,314,1474,183,1403,9493,1361
Minto - St Andrews,1727,1814,470,116,1544,749,212,346,1417,204,1629,13175,1771
Rosemeadow - Glen Alpine,2208,2154,547,105,1534,903,220,425,2024,244,1916,11687,1946
Denham Court - Bardia,544,802,198,27,564,286,81,70,477,62,794,11314,747
Glenfield,774,656,223,269,708,390,127,122,682,112,966,7031,657
Ingleburn,1362,1289,362,63,1171,627,167,255,1074,150,1255,10396,1294
Macquarie Fields,1235,1201,301,60,1042,535,163,249,1069,141,1134,8395,1436
Bargo,675,571,206,32,328,321,62,151,516,59,508,3301,490
Douglas Park - Appin,966,883,312,48,413,363,92,152,779,87,772,6861,995
Picton - Tahmoor - Buxton,1956,1822,582,87,932,761,194,371,1881,161,1576,10863,1471
The Oaks - Oakdale,851,757,283,41,400,357,55,136,720,77,652,6162,732
Blackheath - Megalong Valley,694,537,271,33,286,360,72,138,643,67,621,2947,477
Blaxland - Warrimoo - Lapstone,1774,1726,649,90,819,810,134,332,1890,149,1825,11202,999
Blue Mountains - North,3,0,0,0,0,0,0,0,0,0,0,5,0
Katoomba - Leura,1539,1220,561,154,621,728,167,378,1772,172,1570,6951,888
Lawson - Hazelbrook - Linden,1129,1229,408,43,552,554,100,237,1460,108,1331,6171,659
Springwood - Winmalee,2317,2140,806,172,995,1086,187,474,2458,226,2290,12185,1296
Wentworth Falls,810,569,288,86,288,385,95,159,660,79,660,3356,493
Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge Park,1496,1735,421,72,969,707,194,333,1608,156,1360,8871,1364
Emu Plains - Leonay,1349,1244,450,103,729,648,129,259,1287,135,1241,8082,961
Glenmore Park - Regentville,1455,1790,450,62,993,606,156,230,1758,117,1696,13453,1146
Jamisontown - South Penrith,1624,1611,476,81,992,717,152,327,1704,148,1429,10073,1304
Kingswood - Werrington,1755,2282,472,140,1311,808,218,386,2401,191,2039,14783,2358
Mulgoa - Luddenham - Orchard Hills,747,830,279,42,515,377,76,112,754,68,756,8047,748
Penrith,1676,1878,454,149,1038,769,227,398,2507,198,1713,9200,2148
Warragamba - Silverdale,479,521,124,18,246,223,45,82,436,31,437,3735,418
Cranebrook - Castlereagh,1358,1674,398,53,838,546,163,285,1687,122,1417,10097,1314
Jordan Springs - Llandilo,585,987,176,31,517,292,76,106,912,67,816,9348,807
Richmond - Clarendon,1680,1360,535,245,872,767,185,364,1816,186,1430,8228,1297
Windsor - Bligh Park,1340,1546,383,69,791,587,162,342,1689,140,1346,8617,1320
Yarramundi - Londonderry,506,519,174,30,368,234,55,108,430,51,429,3891,1700
Erskine Park,501,525,132,18,410,210,53,81,377,38,511,4028,462
St Clair,1601,1723,444,66,1322,691,171,274,1393,137,1510,12266,1496
Colyton - Oxley Park,1033,1147,254,56,913,471,129,227,1040,100,974,7683,1347
St Marys - North St Marys,1430,1606,352,69,1131,654,183,384,1540,180,1371,9496,2387
Rookwood Cemetery,0,0,0,0,0,0,0,0,0,0,0,6,0
Auburn - Central,696,629,176,100,886,377,127,114,549,106,931,14167,2107
Auburn - North,339,282,98,37,440,174,51,48,294,45,442,8272,829
Auburn - South,467,381,139,104,498,220,71,70,364,68,564,5959,953
Berala,420,381,153,48,478,227,79,79,319,49,581,6038,646
Lidcombe,870,792,273,79,1012,552,118,143,665,124,1137,15727,1439
Regents Park,292,272,85,24,306,159,49,41,221,29,401,3519,345
Silverwater - Newington,279,446,146,12,304,177,40,37,321,25,476,5801,1704
Wentworth Point - Sydney Olympic Park,371,919,172,20,424,233,82,52,843,42,948,15873,1339
Ermington - Rydalmere,1454,1432,573,170,1223,773,203,251,1561,160,1945,16516,1664
Oatlands - Dundas Valley,1147,1114,434,122,973,614,135,268,1145,122,1449,12229,1261
Carlingford - East,715,654,293,92,584,463,100,108,530,73,956,8020,474
Carlingford - West,899,958,433,67,897,609,136,164,754,122,1347,13778,923
Chester Hill - Sefton,1239,1120,347,104,1175,549,143,195,934,146,1371,13105,2882
Fairfield - East,1121,899,293,279,1130,550,185,217,956,179,1360,9618,1816
Granville - Clyde,1002,1025,275,80,1121,575,164,209,906,143,1306,16210,2457
Guildford - South Granville,1282,1141,337,111,1362,635,209,260,1089,173,1475,14107,3144
Guildford West - Merrylands West,1444,1378,451,146,1255,770,178,261,1259,166,1588,14781,2321
Smithfield Industrial,0,0,0,0,0,0,0,0,0,0,0,11,0
Yennora Industrial,0,0,0,0,0,0,0,0,0,0,0,4,0
Greystanes - South,1378,1084,420,72,960,695,135,238,865,123,1214,10587,1233
Merrylands - Holroyd,1262,1164,337,87,1192,717,179,219,1109,149,1494,15900,2732
Pemulwuy - Greystanes (North),734,660,256,99,584,353,64,101,549,68,758,7260,778
South Wentworthville,477,407,154,31,416,269,58,87,341,58,468,4758,726
North Parramatta,1136,1313,401,182,1041,620,149,211,1632,147,1615,15337,1933
North Rocks,655,581,258,83,379,324,93,81,469,61,665,5590,386
Northmead,1059,1195,351,58,831,519,127,187,1168,83,1366,14113,1380
Toongabbie - Constitution Hill,1731,1550,605,146,1452,999,238,349,1314,178,1719,14618,1621
Winston Hills,893,873,354,82,597,449,112,171,705,83,973,7170,473
Pendle Hill - Girraween,738,701,231,88,856,419,109,152,558,63,852,9595,1211
Wentworthville - Westmead,868,931,234,132,1075,493,123,185,907,97,1237,15556,1864
Parramatta - North,207,409,85,9,316,149,38,38,378,26,507,9528,903
Parramatta - South,299,298,96,66,361,154,57,49,408,33,449,7575,745
Rosehill - Harris Park,294,335,80,45,348,164,50,50,381,43,449,6793,713
Pennant Hills - Cheltenham,1577,1484,666,184,841,870,184,231,1297,137,1775,14296,1035
Epping (East) - North Epping,617,766,305,90,452,409,66,98,695,59,1012,10408,620
Epping (NSW) - West,800,888,399,53,749,547,100,119,716,102,1203,13740,781
Gladesville - Huntleys Point,1106,1116,424,67,499,485,76,167,1120,86,1155,10120,917
Hunters Hill - Woolwich,748,626,332,98,284,398,57,109,513,76,679,6187,937
Macquarie Park - Marsfield,1188,1316,493,284,837,697,184,192,1390,160,1645,16775,1347
North Ryde - East Ryde,916,967,376,75,631,514,97,153,977,97,1127,10449,996
West Ryde - Meadowbank,937,1018,401,122,789,502,137,151,1150,113,1435,14353,970
Putney,279,258,137,20,169,171,38,37,192,42,298,2766,244
Denistone,416,409,180,35,291,251,47,64,331,44,573,4798,293
Eastwood,924,878,387,92,932,586,149,143,848,126,1323,13528,1019
Ryde - North,1297,1156,491,105,952,665,164,233,1278,122,1566,13620,1192
Ryde - South,426,626,173,59,343,225,65,67,585,59,779,8689,787
Ashcroft - Busby - Miller,1575,1587,327,93,1255,712,218,342,1393,232,1456,10114,2407
Austral - Greendale,764,676,218,42,584,344,79,118,541,90,709,8322,1326
Badgerys Creek,3,0,5,0,4,0,0,0,0,0,0,15,0
Cecil Hills,430,408,123,36,399,205,61,54,274,49,502,4753,415
Green Valley,767,762,199,52,873,381,109,107,536,91,969,8686,962
Hinchinbrook,740,825,214,57,710,394,102,101,552,84,893,9008,864
Hoxton Park - Carnes Hill - Horningsea Park,615,804,170,33,718,316,90,81,516,79,910,9285,932
West Hoxton - Middleton Grange,785,946,199,39,800,366,101,92,664,109,1144,12357,1110
Cobbitty - Bringelly,451,342,138,19,194,183,39,59,336,37,336,2975,350
Gledswood Hills - Gregory Hills,552,992,162,21,456,232,77,65,748,53,869,10409,783
Leppington - Catherine Field,793,759,213,48,571,346,77,106,605,76,776,8855,734
Oran Park,638,1207,212,51,618,301,83,110,1014,89,1014,12744,1096
Bonnyrigg Heights - Bonnyrigg,1108,1062,297,123,1224,589,185,169,805,165,1524,11174,1303
Bossley Park - Abbotsbury,1727,1050,498,250,1416,876,189,203,1044,204,1739,12418,1511
Cabramatta - Lansvale,1149,1094,318,195,1411,723,197,201,919,209,1726,16239,2389
Cabramatta West - Mount Pritchard,1127,1037,332,106,1139,554,155,190,862,162,1400,11858,1757
Canley Vale - Canley Heights,1154,1135,315,185,1321,616,198,187,911,203,1592,14968,2032
Edensor Park,729,521,212,61,708,345,72,90,455,86,884,6769,748
Fairfield,1460,921,336,140,1377,720,211,218,1065,189,1853,11200,1799
Fairfield - West,1593,1099,374,143,1401,775,222,224,1011,184,1851,13769,1869
Greenfield Park - Prairiewood,696,478,179,55,626,303,91,77,387,96,740,5798,612
Horsley Park - Kemps Creek,411,213,122,71,276,226,36,64,210,49,280,2704,393
Smithfield - Wetherill Park,1771,1164,444,159,1419,837,210,264,1133,203,1716,12161,1490
St Johns Park - Wakeley,937,605,254,151,904,438,115,116,568,118,1114,7211,700
Wetherill Park Industrial,5,3,0,0,0,0,0,0,0,0,3,24,7
Casula,1163,1035,337,77,1063,563,144,213,872,155,1292,10636,1375
Chipping Norton - Moorebank,1451,1343,470,150,1155,754,192,286,1095,173,1538,13745,1439
Holsworthy - Wattle Grove,1256,1536,408,106,1011,565,139,182,1279,122,1549,13843,1614
Lurnea - Cartwright,985,980,222,70,864,489,152,206,885,136,1059,7504,1522
Warwick Farm,404,385,98,28,362,213,59,91,445,50,478,3582,731
Edmondson Park,287,554,81,18,437,162,52,33,333,28,616,9243,838
Liverpool - East,788,885,215,51,824,403,126,138,970,123,1114,11425,2365
Liverpool - West,1022,852,276,142,940,527,159,163,902,154,1169,8335,1484
Prestons,858,934,223,68,969,432,124,123,649,115,1108,10799,1038
Gymea - Grays Point,1486,1295,581,110,603,709,140,228,1176,144,1319,11725,1008
Miranda - Yowie Bay,1904,1463,657,374,909,913,197,322,1477,242,1781,12952,1342
Sylvania - Taren Point,1687,1011,680,262,783,857,164,268,1019,204,1284,10010,1185
Caringbah,1025,958,371,112,494,479,100,181,1053,92,969,8142,941
Caringbah South,1127,885,465,75,436,556,78,151,693,104,884,8506,764
Cronulla - Kurnell - Bundeena,2067,1652,851,143,708,998,210,344,1649,209,1593,15442,1854
Lilli Pilli - Port Hacking - Dolans Bay,241,198,104,3,104,120,27,29,142,15,220,2319,196
Woolooware - Burraneer,681,632,281,46,276,340,45,76,476,63,545,6013,487
Heathcote - Waterfall,763,597,299,119,261,410,89,114,655,88,752,3805,351
Illawong - Alfords Point,850,686,335,96,505,467,90,105,588,71,899,6871,498
Menai - Lucas Heights - Woronora,1775,1786,660,167,860,773,170,235,1556,159,1866,13223,977
Oyster Bay - Como - Jannali,1696,1749,678,152,753,795,169,253,1481,161,1614,14237,1167
Royal National Park,0,5,0,0,0,0,0,0,0,0,4,23,18
Sutherland - Kirrawee,2075,1934,747,366,1019,975,216,348,2259,247,2054,14089,1370
Engadine,1527,1525,576,87,739,731,154,259,1388,147,1403,10640,955
Loftus - Yarrawarrah,682,625,255,32,294,293,56,109,504,50,595,4566,371
Woronora Heights,303,297,108,14,126,130,35,43,228,20,264,2249,191
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0
No usual address (NSW),813,776,260,27,365,387,85,268,1585,79,894,4089,3980
